------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=5
------------------------------
sockperf: [Total Run] RunTime=5.100 sec; SentMessages=511; ReceivedMessages=510
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=4.997 sec; SentMessages=500; ReceivedMessages=500
sockperf: [2;35m====> avg-lat=3421.654 (std-dev=1263.934)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 500 observations[0m; each percentile contains 5.00 observations
sockperf: ---> <MAX> observation = 10081.938
sockperf: ---> percentile 99.999 = 10081.938
sockperf: ---> percentile 99.990 = 10081.938
sockperf: ---> percentile 99.900 = 10081.938
sockperf: ---> percentile 99.000 = 8256.876
sockperf: ---> percentile 90.000 = 4929.745
sockperf: ---> percentile 75.000 = 3487.742
sockperf: ---> percentile 50.000 = 3079.337
sockperf: ---> percentile 25.000 = 2730.634
sockperf: ---> <MIN> observation = 1531.790
------------------------------
txTime, rxTime
2.057648564, 2.062657137
2.067399100, 2.071230909
2.077414815, 2.081709764
2.087399020, 2.092716323
2.097399091, 2.101656640
2.107399025, 2.112531415
2.117399094, 2.122880402
2.127399256, 2.132454934
2.137399239, 2.142843585
2.147399092, 2.151729692
2.157565103, 2.162668585
2.167399024, 2.171411463
2.177404295, 2.182631582
2.187399031, 2.192402441
2.197437010, 2.202976999
2.207805720, 2.212580106
2.217455479, 2.222260764
2.227399031, 2.231141332
2.237399026, 2.242435782
2.247399095, 2.251201403
2.257399018, 2.262126593
2.267399093, 2.280949157
2.280949634, 2.286031506
2.287401762, 2.293878759
2.297410397, 2.303245785
2.307573483, 2.313932506
2.317399030, 2.323813292
2.327399027, 2.333862058
2.337407699, 2.342726428
2.347404900, 2.354380385
2.357555882, 2.362983895
2.367413232, 2.373549536
2.377419553, 2.384027744
2.387405047, 2.392927635
2.397401290, 2.403571351
2.407399126, 2.413935248
2.417399093, 2.423140822
2.427399025, 2.431870365
2.437422813, 2.443890719
2.447400153, 2.452466926
2.457399199, 2.463924029
2.467399943, 2.473094340
2.477399016, 2.483618763
2.487410014, 2.492548221
2.497399091, 2.504111744
2.507403884, 2.513104789
2.517399026, 2.523882615
2.527399098, 2.533600703
2.537399014, 2.542885598
2.547399024, 2.552895691
2.557401219, 2.563240897
2.567400312, 2.573884660
2.577399030, 2.584163778
2.587569858, 2.592759053
2.597450627, 2.602923845
2.607529211, 2.612183163
2.617399030, 2.623247511
2.627399030, 2.633173165
2.637500633, 2.644124532
2.647399094, 2.652639310
2.657401207, 2.662669859
2.667399094, 2.673184844
2.677433067, 2.682366401
2.687409439, 2.693267799
2.697399093, 2.702797631
2.707399084, 2.712980817
2.717400949, 2.723342286
2.727399024, 2.734137149
2.737634003, 2.743373908
2.747509932, 2.754314838
2.757401453, 2.763606207
2.767399017, 2.773345450
2.777399094, 2.783906660
2.787402088, 2.792849823
2.797402453, 2.803604342
2.807399030, 2.814287315
2.817399032, 2.822985318
2.827399016, 2.833284439
2.837401231, 2.843323738
2.847399027, 2.853718906
2.857399096, 2.863557772
2.867399094, 2.873017800
2.877399032, 2.883653209
2.887399033, 2.893528612
2.897399149, 2.902831712
2.907399112, 2.913235113
2.917399086, 2.923108416
2.927399027, 2.933672503
2.937409220, 2.942404527
2.947399099, 2.954108644
2.957399086, 2.963751590
2.967399096, 2.973637763
2.977399026, 2.983860736
2.987399029, 2.993058241
2.997399030, 3.002887014
3.007414941, 3.013461979
3.017418392, 3.022577270
3.027446940, 3.034703515
3.037399029, 3.042975001
3.047399095, 3.053307425
3.057587311, 3.063791463
3.067399093, 3.072562423
3.077399027, 3.084083202
3.087412782, 3.093399987
3.097399025, 3.102846023
3.107399104, 3.112768449
3.117399094, 3.123868255
3.127410654, 3.133277269
3.137399035, 3.143748916
3.147399095, 3.151785084
3.157575769, 3.163976163
3.167439469, 3.174140142
3.177471474, 3.183144844
3.187399029, 3.193858359
3.197399099, 3.203244331
3.207432725, 3.214308306
3.217399025, 3.223449220
