------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.100 sec; SentMessages=1011; ReceivedMessages=1010
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.980 sec; SentMessages=999; ReceivedMessages=999
sockperf: [2;35m====> avg-lat= 69.146 (std-dev=21.476)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 999 observations[0m; each percentile contains 9.99 observations
sockperf: ---> <MAX> observation =  149.678
sockperf: ---> percentile 99.999 =  149.678
sockperf: ---> percentile 99.990 =  149.678
sockperf: ---> percentile 99.900 =  141.751
sockperf: ---> percentile 99.000 =  122.387
sockperf: ---> percentile 90.000 =   97.485
sockperf: ---> percentile 75.000 =   83.458
sockperf: ---> percentile 50.000 =   68.345
sockperf: ---> percentile 25.000 =   53.330
sockperf: ---> <MIN> observation =   30.107
------------------------------
txTime, rxTime
2.061901385, 2.061991284
2.071901419, 2.072025381
2.081901387, 2.081999253
2.091901388, 2.092010417
2.101901392, 2.102035633
2.111901379, 2.111972610
2.121901392, 2.122059011
2.131901386, 2.132053396
2.141901378, 2.142007878
2.151901387, 2.151962649
2.161901382, 2.162037939
2.171901418, 2.172000146
2.181901384, 2.182015199
2.191901379, 2.192091094
2.201901387, 2.202054298
2.211901388, 2.212016728
2.221901389, 2.222011996
2.231901388, 2.232025808
2.241901389, 2.242087358
2.251901382, 2.252035309
2.261901422, 2.262046485
2.271901385, 2.271993408
2.281901382, 2.282026139
2.291901400, 2.292014056
2.301901389, 2.302021582
2.311901410, 2.312040253
2.321901387, 2.322057289
2.331901417, 2.332088841
2.341901391, 2.342066120
2.351901382, 2.352005990
2.361901385, 2.362077379
2.371901379, 2.372059705
2.381901390, 2.382053388
2.391901384, 2.391966808
2.401901382, 2.402068149
2.411901418, 2.412069553
2.421901382, 2.422036474
2.431901387, 2.432039243
2.441901391, 2.441996373
2.451901424, 2.451982498
2.461901387, 2.462099151
2.471901391, 2.472081568
2.481901392, 2.482008665
2.491901387, 2.492092024
2.501901393, 2.502088059
2.511901383, 2.511995868
2.521901386, 2.522014380
2.531901411, 2.532045429
2.541901433, 2.542006708
2.551901404, 2.552072651
2.561901403, 2.562050502
2.571901395, 2.572071655
2.581901390, 2.581992549
2.591901392, 2.592021945
2.601901399, 2.601965089
2.611901384, 2.612030577
2.621901432, 2.621992261
2.631901392, 2.632038033
2.641901390, 2.642050603
2.651901393, 2.652035451
2.661901392, 2.662057028
2.671901402, 2.672075454
2.681901391, 2.682037688
2.691901388, 2.691994335
2.701901392, 2.701976031
2.711901440, 2.711981002
2.721901384, 2.722062754
2.731901396, 2.732019851
2.741901397, 2.742016945
2.751901389, 2.751983187
2.761901389, 2.762020105
2.771901390, 2.772026957
2.781901393, 2.782004321
2.791901394, 2.792085921
2.801901388, 2.802040838
2.811901388, 2.812083359
2.821901394, 2.822090966
2.831901396, 2.831979499
2.841901394, 2.841961610
2.851901385, 2.852059835
2.861901442, 2.862098141
2.871901395, 2.872022521
2.881901395, 2.882067584
2.891901395, 2.892032174
2.901901385, 2.902066594
2.911901426, 2.912105919
2.921901407, 2.921974141
2.931901394, 2.932030873
2.941901390, 2.941991174
2.951901390, 2.952013842
2.961901385, 2.962093820
2.971901394, 2.971975279
2.981901445, 2.982027956
2.991901407, 2.991965243
3.001901411, 3.002024303
3.011901395, 3.012008078
3.021901393, 3.022141157
3.031901407, 3.032096958
3.041901408, 3.041977222
3.051901390, 3.052004972
3.061901394, 3.062070566
3.071901407, 3.072037279
3.081901439, 3.082112188
3.091901387, 3.091994104
3.101901392, 3.102127991
3.111901395, 3.111992650
3.121901410, 3.122043437
3.131901442, 3.132082095
3.141901383, 3.142044665
3.151901411, 3.152035786
3.161901412, 3.162001868
3.171901397, 3.172005400
3.181901396, 3.182031627
3.191901398, 3.192054607
3.201901404, 3.202019374
3.211901397, 3.212109178
3.221901392, 3.221982772
3.231901395, 3.231977416
3.241901389, 3.242079607
3.251901390, 3.252046766
3.261901393, 3.261969120
3.271901392, 3.271967363
3.281901388, 3.282027507
3.291901400, 3.292047031
3.301901395, 3.301969527
3.311901426, 3.311966881
3.321901392, 3.321995542
3.331901391, 3.332017378
3.341901397, 3.342062212
3.351901388, 3.352083569
3.361901400, 3.362079688
3.371901413, 3.372019223
3.381901434, 3.382076035
3.391901394, 3.392138779
3.401901391, 3.402057214
3.411901405, 3.412060636
3.421901406, 3.422003466
3.431901386, 3.432057527
3.441901393, 3.442019118
3.451901390, 3.452037357
3.461901433, 3.462002761
3.471901384, 3.472081834
3.481901384, 3.482058161
3.491901406, 3.492008766
3.501901404, 3.502080176
3.511901404, 3.512054871
3.521901412, 3.522120837
3.531901410, 3.532040264
3.541901419, 3.542044408
3.551901420, 3.552024430
3.561901494, 3.562086137
3.571901406, 3.572058055
3.581901471, 3.582057066
3.591901408, 3.592067554
3.601901409, 3.602013828
3.611901416, 3.612092260
3.621901412, 3.622039816
3.631901405, 3.632007616
3.641901500, 3.641986160
3.651901494, 3.652050595
3.661901404, 3.662168949
3.671901405, 3.672050725
3.681901408, 3.682154075
3.691901415, 3.692047423
3.701901413, 3.702044396
3.711901403, 3.712045650
3.721901409, 3.722063087
3.731901402, 3.732100034
3.741901405, 3.742102968
3.751901414, 3.751986469
3.761901411, 3.761975730
3.771901410, 3.772099203
3.781901407, 3.782011354
3.791901407, 3.792120457
3.801901417, 3.802080221
3.811901401, 3.812068318
3.821901407, 3.822070716
3.831901408, 3.832006096
3.841901406, 3.842141543
3.851901407, 3.852053577
3.861901412, 3.862055453
3.871901421, 3.872070524
3.881901421, 3.882039853
3.891901408, 3.891999057
3.901901409, 3.902039316
3.911901411, 3.912022442
3.921901403, 3.922065217
3.931901415, 3.932072137
3.941901422, 3.942069176
3.951901423, 3.952088591
3.961901406, 3.961997704
3.971901402, 3.972022464
3.981901413, 3.982028099
3.991901409, 3.992032761
4.001901417, 4.002045173
4.011901412, 4.012102373
4.021901410, 4.022045418
4.031920945, 4.032106665
4.041901402, 4.041999046
4.051901406, 4.052000522
4.061901407, 4.062073096
4.071901405, 4.072001012
4.081901406, 4.082023510
4.091901428, 4.092129570
4.101901413, 4.102072435
4.111901405, 4.112080467
4.121901405, 4.122052848
4.131901408, 4.132032496
4.141901429, 4.142045855
4.151901402, 4.152027453
4.161901410, 4.161976294
4.171901409, 4.171983812
4.181901407, 4.182059147
4.191901407, 4.192098125
4.201901428, 4.202066942
4.211901407, 4.212046658
4.221901417, 4.222033669
4.231901420, 4.232010166
4.241901410, 4.242052411
4.251901405, 4.252091789
4.261901410, 4.262054605
4.271901416, 4.272045998
4.281901415, 4.282039369
4.291901409, 4.292037349
4.301901427, 4.302035843
4.311901414, 4.312073529
4.321901411, 4.322042509
4.331901410, 4.332012174
4.341901432, 4.342013332
4.351901406, 4.352108083
4.361901408, 4.362003697
4.371901405, 4.372066573
4.381901406, 4.382127640
4.391901410, 4.391997881
4.401901414, 4.401975812
4.411901423, 4.412008345
4.421901411, 4.422058660
4.431901409, 4.432115783
4.441901415, 4.442100538
4.451901410, 4.452021529
4.461901410, 4.462021936
4.471901420, 4.472059585
4.481901406, 4.482064476
4.491901423, 4.492048991
4.501901409, 4.502057526
4.511901418, 4.512128564
4.521901423, 4.522052589
4.531901402, 4.532049440
4.541901405, 4.541985060
4.551901405, 4.552042227
4.561901409, 4.562033102
4.571901410, 4.572002018
4.581901419, 4.582010660
4.591901406, 4.592040233
4.601901407, 4.602095431
4.611901414, 4.612110851
4.621901412, 4.622049265
4.631901412, 4.632032089
4.641901412, 4.642047116
4.651901409, 4.652105921
4.661901406, 4.662105390
4.671901412, 4.672053928
4.681901407, 4.682119499
4.691901411, 4.692000487
4.701901403, 4.702028385
4.711901406, 4.712026989
4.721901407, 4.722013587
4.731901409, 4.732022221
4.741901409, 4.742062478
4.751901420, 4.752001098
4.761901402, 4.761973550
4.771901416, 4.772048017
4.781901405, 4.781998559
4.791901410, 4.792072643
4.801901407, 4.802073699
4.811901411, 4.812031341
4.821901412, 4.822060836
4.831901409, 4.832029205
4.841901407, 4.842071618
4.851901412, 4.851973207
4.861901410, 4.862075472
4.871901418, 4.872012569
4.881901418, 4.882122492
4.891901406, 4.892034046
4.901901411, 4.902043409
4.911901408, 4.912050994
4.921901409, 4.922066915
4.931901433, 4.932069385
4.941901410, 4.942040519
4.951901405, 4.952045635
4.961901408, 4.962004124
4.971901414, 4.972061278
4.981901407, 4.982041970
4.991901410, 4.991978042
5.001901405, 5.001977028
5.011901417, 5.012022088
5.021901412, 5.022159831
5.031901415, 5.031977324
5.041901414, 5.042076787
5.051901408, 5.051996750
5.061901432, 5.062055205
5.071901426, 5.072060048
5.081901407, 5.082059037
5.091901410, 5.092019958
5.101901407, 5.102077715
5.111901411, 5.111996570
5.121901412, 5.122053116
5.131901389, 5.132012662
5.141901397, 5.142011951
5.151901393, 5.152073238
5.161901394, 5.162046677
5.171901388, 5.172025477
5.181901405, 5.181990858
5.191901402, 5.192086050
5.201901392, 5.202055913
5.211901393, 5.212035165
5.221901407, 5.221982786
5.231901396, 5.232056004
5.241901393, 5.241978278
5.251901405, 5.252001257
5.261901406, 5.262055636
5.271901409, 5.272065308
5.281901406, 5.282070762
5.291901435, 5.291971987
5.301901403, 5.302013106
5.311901404, 5.311979805
5.321901403, 5.322024735
5.331901403, 5.332089714
5.341901411, 5.341994530
5.351901427, 5.352055501
5.361901383, 5.362072725
5.371901387, 5.372063227
5.381901407, 5.382031985
5.391901403, 5.392027038
5.401901411, 5.402042709
5.411901391, 5.412085633
5.421901384, 5.422028090
5.431901402, 5.432055796
5.441901410, 5.442131767
5.451901407, 5.452047293
5.461901385, 5.462021495
5.471901391, 5.472033727
5.481901392, 5.482030179
5.491901391, 5.492019860
5.501901392, 5.502001553
5.511901392, 5.512025410
5.521901400, 5.521981309
5.531901402, 5.532008320
5.541901410, 5.542038932
5.551901391, 5.552064683
5.561901390, 5.561985967
5.571901409, 5.572108146
5.581901401, 5.582070997
5.591901402, 5.592086404
5.601901963, 5.602201320
5.611907614, 5.612166822
5.621901392, 5.622146168
5.631901407, 5.632082231
5.641901394, 5.642019102
5.651901396, 5.652044594
5.661901403, 5.662059012
5.671901406, 5.672053529
5.681901408, 5.682043463
5.691901402, 5.692077189
5.701901407, 5.702067632
5.711901391, 5.712101404
5.721901379, 5.722074093
5.731901402, 5.732044249
5.741901406, 5.742032057
5.751901692, 5.752134449
5.761901405, 5.762131404
5.771901393, 5.772095176
5.781901399, 5.782045593
5.791902364, 5.792083764
5.801901407, 5.801996334
5.811901404, 5.812143848
5.821901404, 5.822110155
5.831901407, 5.832109590
5.841901402, 5.842045653
5.851901407, 5.852050401
5.861901406, 5.862125546
5.871901404, 5.872001845
5.881901389, 5.882109106
5.891901405, 5.892128589
5.901901400, 5.902043716
5.911901406, 5.912061028
5.921901406, 5.922030089
5.931901395, 5.932092877
5.941901397, 5.942184900
5.951901401, 5.952032185
5.961901405, 5.962147433
5.971901404, 5.972098344
5.981901402, 5.982068053
5.991901407, 5.992053814
6.001901409, 6.002077010
6.011901411, 6.012003338
6.021901404, 6.022044300
6.031901387, 6.032121806
6.041901407, 6.042034252
6.051901408, 6.052016282
6.061904205, 6.062027633
6.071901403, 6.072158802
6.081901400, 6.082142481
6.091906917, 6.092080015
6.101901388, 6.102025258
6.111901389, 6.112070006
6.121901394, 6.122062146
6.131905753, 6.132081704
6.141901404, 6.142072304
6.151901401, 6.152074345
6.161901407, 6.162012906
6.171901390, 6.172069510
6.181901405, 6.182058530
6.191901410, 6.192010848
6.201901395, 6.202075403
6.211901392, 6.212057763
6.221901387, 6.222038247
6.231901392, 6.232036849
6.241901396, 6.242018924
6.251901392, 6.251980554
6.261901388, 6.262020849
6.271901390, 6.272133767
6.281901400, 6.282018152
6.291901385, 6.292095589
6.301901423, 6.301982589
6.311901398, 6.312028481
6.321901385, 6.322034525
6.331901394, 6.332061093
6.341901408, 6.341993546
6.351901409, 6.352046905
6.361901406, 6.361971073
6.371901402, 6.372002716
6.381901410, 6.382047324
6.391901405, 6.392038773
6.401901420, 6.401988672
6.411901392, 6.411988529
6.421901385, 6.422042468
6.431901395, 6.432059971
6.441901402, 6.442044578
6.451901438, 6.452051518
6.461901402, 6.461965877
6.471901402, 6.472033821
6.481901404, 6.481977219
6.491901393, 6.491987033
6.501901395, 6.502002242
6.511901385, 6.511988997
6.521901392, 6.522047129
6.531901404, 6.532075134
6.541901411, 6.542078885
6.551901391, 6.552002831
6.561901393, 6.562010360
6.571901425, 6.571967603
6.581901390, 6.582054213
6.591901409, 6.592035408
6.601901391, 6.602017828
6.611901392, 6.612077616
6.621901385, 6.622039123
6.631901402, 6.631994900
6.641901406, 6.642019691
6.651901430, 6.651999757
6.661901391, 6.661965680
6.671901402, 6.671974148
6.681901388, 6.682038078
6.691901389, 6.692030632
6.701901395, 6.701998837
6.711901392, 6.711966918
6.721901391, 6.722052633
6.731901381, 6.732061385
6.741901420, 6.742144185
6.751901410, 6.751988417
6.761901390, 6.761969991
6.771901393, 6.772017310
6.781901392, 6.782000428
6.791901393, 6.791990025
6.801901392, 6.802048799
6.811901389, 6.812051901
6.821901390, 6.822049987
6.831901383, 6.832036603
6.841901417, 6.842016944
6.851901393, 6.851993343
6.861901388, 6.861966112
6.871901395, 6.872021310
6.881901388, 6.882048662
6.891901393, 6.892075429
6.901901394, 6.902052686
6.911901416, 6.912052604
6.921901383, 6.922035819
6.931901386, 6.931987306
6.941901390, 6.941967694
6.951901390, 6.952083808
6.961901392, 6.962064357
6.971901416, 6.972016650
6.981901395, 6.982013807
6.991901391, 6.992074809
7.001901392, 7.002083334
7.011901392, 7.011971063
7.021901396, 7.022002699
7.031901407, 7.032078985
7.041901405, 7.041967419
7.051901395, 7.052019966
7.061901387, 7.061968961
7.071901392, 7.072065356
7.081901394, 7.082075924
7.091901402, 7.092043796
7.101901385, 7.102017650
7.111901401, 7.111989612
7.121901397, 7.121987548
7.131901389, 7.132007505
7.141901395, 7.142020523
7.151901392, 7.152051821
7.161901398, 7.162037423
7.171901387, 7.171963096
7.181901391, 7.181966288
7.191901389, 7.192040548
7.201901395, 7.202094955
7.211901401, 7.211990671
7.221901392, 7.222028396
7.231901395, 7.232028908
7.241901397, 7.242010812
7.251901390, 7.251990690
7.261901395, 7.262050971
7.271901392, 7.272021902
7.281901397, 7.281967916
7.291901389, 7.292036643
7.301901387, 7.302073580
7.311901395, 7.312005099
7.321901390, 7.321978892
7.331901428, 7.332012579
7.341901395, 7.342039435
7.351901389, 7.352044006
7.361901390, 7.361966033
7.371901394, 7.372048258
7.381901391, 7.382041687
7.391901391, 7.391995967
7.401901394, 7.402126232
7.411901420, 7.412068565
7.421901398, 7.422045272
7.431901395, 7.432036187
7.441901389, 7.442014598
7.451901391, 7.451967239
7.461901394, 7.461992993
7.471901386, 7.472151318
7.481901405, 7.482065656
7.491901420, 7.491987040
7.501901389, 7.501984937
7.511901402, 7.511967549
7.521901384, 7.521965095
7.531901407, 7.531982711
7.541901405, 7.542057299
7.551901407, 7.552040540
7.561901396, 7.561998758
7.571901408, 7.571973304
7.581901409, 7.582006988
7.591901394, 7.591968465
7.601901393, 7.602056665
7.611901402, 7.612035079
7.621901386, 7.621963112
7.631901388, 7.631965703
7.641901407, 7.642083069
7.651901395, 7.651966746
7.661901396, 7.662045362
7.671901393, 7.672076037
7.681901394, 7.682017661
7.691901387, 7.692058356
7.701901392, 7.701966642
7.711901407, 7.712040996
7.721901388, 7.722064720
7.731901389, 7.731975142
7.741901392, 7.742023043
7.751901387, 7.752007954
7.761904883, 7.761970058
7.771909137, 7.772014869
7.781901388, 7.782027601
7.791901384, 7.791974629
7.801912049, 7.802058904
7.811901393, 7.812034345
7.821901390, 7.822066069
7.831901394, 7.831982710
7.841901437, 7.842094837
7.851901393, 7.852029268
7.861901396, 7.862030109
7.871901390, 7.871987113
7.881901388, 7.882081274
7.891901385, 7.891970018
7.901901390, 7.902014268
7.911901385, 7.912029350
7.921901396, 7.922031687
7.931901396, 7.932049411
7.941913273, 7.942097402
7.951901391, 7.952108451
7.961901392, 7.961970196
7.971901388, 7.972023953
7.981901392, 7.982068130
7.991901392, 7.992024373
8.001901383, 8.002045162
8.011901391, 8.012020903
8.021901382, 8.022082847
8.031901412, 8.031969860
8.041901387, 8.041975283
8.051901428, 8.052070145
8.061901403, 8.062026876
8.071901396, 8.072042222
8.081901388, 8.081976599
8.091901385, 8.092002673
8.101901389, 8.102112823
8.111901430, 8.112138375
8.121901394, 8.122008913
8.131901389, 8.132095565
8.141901387, 8.142053859
8.151901390, 8.152076485
8.161901391, 8.162052540
8.171901391, 8.171967019
8.181901388, 8.182136941
8.191901391, 8.191973317
8.201901382, 8.201968238
8.211901392, 8.212062295
8.221901394, 8.222062084
8.231901388, 8.231983083
8.241906024, 8.242094671
8.251901402, 8.252089386
8.261901390, 8.262082340
8.271901418, 8.272028852
8.281901399, 8.282096370
