------------------------------
test was performed using the following parameters: --mps=600000 --burst=1 --reply-every=1 --msg-size=14 --time=30
------------------------------
sockperf: [Total Run] RunTime=30.100 sec; SentMessages=26241; ReceivedMessages=26240
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=30.099 sec; SentMessages=26240; ReceivedMessages=26240
sockperf: [2;35m====> avg-lat=573.341 (std-dev=28.299)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 26240 observations[0m; each percentile contains 262.40 observations
sockperf: ---> <MAX> observation =  764.650
sockperf: ---> percentile 99.999 =  764.650
sockperf: ---> percentile 99.990 =  729.200
sockperf: ---> percentile 99.900 =  677.790
sockperf: ---> percentile 99.000 =  642.060
sockperf: ---> percentile 90.000 =  609.960
sockperf: ---> percentile 75.000 =  589.630
sockperf: ---> percentile 50.000 =  574.460
sockperf: ---> percentile 25.000 =  553.600
sockperf: ---> <MIN> observation =  437.800
------------------------------
txTime, rxTime
281404.561481206, 281404.562739667
281404.562740087, 281404.563980207
281404.563980487, 281404.565022607
281404.565022827, 281404.566172368
281404.566172588, 281404.567273048
281404.567273328, 281404.568373588
281404.568373828, 281404.569430908
281404.569431128, 281404.570601269
281404.570601449, 281404.571706349
281404.571706529, 281404.572805769
281404.572806029, 281404.573937490
281404.573937730, 281404.575048430
281404.575048610, 281404.576212730
281404.576212910, 281404.577321731
281404.577322011, 281404.578588791
281404.578589071, 281404.579701891
281404.579702151, 281404.580865152
281404.580865432, 281404.582081752
281404.582082012, 281404.583185612
281404.583185792, 281404.584296773
281404.584296953, 281404.585460893
281404.585461153, 281404.586628313
281404.586628493, 281404.587800954
281404.587801234, 281404.588908434
281404.588908634, 281404.590015794
281404.590015994, 281404.591124195
281404.591124435, 281404.592252475
281404.592252695, 281404.593357535
281404.593357755, 281404.594470195
281404.594470415, 281404.595592496
281404.595592756, 281404.596759536
281404.596759736, 281404.597862796
281404.597863016, 281404.599081577
281404.599081757, 281404.600248997
281404.600249317, 281404.601379237
281404.601379477, 281404.602485098
281404.602485278, 281404.603591018
281404.603591318, 281404.604754338
281404.604754758, 281404.605921319
281404.605921599, 281404.607082279
281404.607082539, 281404.608140279
281404.608140459, 281404.609252760
281404.609253180, 281404.610361320
281404.610361520, 281404.611467900
281404.611468080, 281404.612632481
281404.612632721, 281404.613789281
281404.613789541, 281404.614841221
281404.614841401, 281404.615953621
281404.615953881, 281404.617056322
281404.617056522, 281404.618218402
281404.618218622, 281404.619381262
281404.619381442, 281404.620433843
281404.620434063, 281404.621486863
281404.621487043, 281404.622544763
281404.622544983, 281404.623705884
281404.623706084, 281404.624758104
281404.624758324, 281404.625923244
281404.625923404, 281404.627027485
281404.627027865, 281404.628245685
281404.628245885, 281404.629408845
281404.629409025, 281404.630573426
281404.630573686, 281404.631737566
281404.631737866, 281404.632953806
281404.632954026, 281404.634059687
281404.634059887, 281404.635279707
281404.635279927, 281404.636553367
281404.636553667, 281404.637772148
281404.637772368, 281404.638879908
281404.638880128, 281404.639993988
281404.639994208, 281404.641096549
281404.641096889, 281404.642210389
281404.642210629, 281404.643364869
281404.643365109, 281404.644472049
281404.644472269, 281404.645580670
281404.645580970, 281404.646687810
281404.646688110, 281404.647794570
281404.647794890, 281404.648904111
281404.648904391, 281404.650066311
281404.650066611, 281404.651176291
281404.651176611, 281404.652225692
281404.652225892, 281404.653445572
281404.653445992, 281404.654498692
281404.654498992, 281404.655659253
281404.655659533, 281404.656764733
281404.656764933, 281404.657871333
281404.657871553, 281404.659088474
281404.659088714, 281404.660195094
281404.660195314, 281404.661361194
281404.661361434, 281404.662526115
281404.662526295, 281404.663690055
281404.663690275, 281404.664907055
281404.664907235, 281404.666068156
281404.666068336, 281404.667227996
