------------------------------
test was performed using the following parameters: --mps=600000 --burst=1 --reply-every=1 --msg-size=14 --time=30
------------------------------
sockperf: [Total Run] RunTime=30.100 sec; SentMessages=5888; ReceivedMessages=5887
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=30.099 sec; SentMessages=5887; ReceivedMessages=5887
sockperf: [2;35m====> avg-lat=2556.215 (std-dev=94.369)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 5887 observations[0m; each percentile contains 58.87 observations
sockperf: ---> <MAX> observation = 5001.590
sockperf: ---> percentile 99.999 = 5001.590
sockperf: ---> percentile 99.990 = 4614.340
sockperf: ---> percentile 99.900 = 2874.690
sockperf: ---> percentile 99.000 = 2725.850
sockperf: ---> percentile 90.000 = 2648.040
sockperf: ---> percentile 75.000 = 2612.180
sockperf: ---> percentile 50.000 = 2561.900
sockperf: ---> percentile 25.000 = 2503.480
sockperf: ---> <MIN> observation = 2189.250
------------------------------
txTime, rxTime
301403.697420209, 301403.702713889
301403.702715409, 301403.707843449
301403.707843809, 301403.713013889
301403.713014189, 301403.718252350
301403.718252590, 301403.723476630
301403.723476830, 301403.728736770
301403.728736990, 301403.733795550
301403.733795730, 301403.739008270
301403.739008430, 301403.744349411
301403.744349571, 301403.749480831
301403.749481051, 301403.754526811
301403.754527011, 301403.759629651
301403.759629831, 301403.764854411
301403.764854671, 301403.770019491
301403.770019711, 301403.775219312
301403.775219492, 301403.780444412
301403.780444672, 301403.785599352
301403.785599532, 301403.790728812
301403.790729072, 301403.795982032
301403.795982212, 301403.800970252
301403.800970992, 301403.806201173
301403.806201893, 301403.811378053
301403.811378793, 301403.816224553
301403.816225873, 301403.821272013
301403.821272873, 301403.826483773
301403.826484813, 301403.831706053
301403.831706793, 301403.836918574
301403.836919714, 301403.842175394
301403.842176114, 301403.847143354
301403.847144034, 301403.852348454
301403.852349194, 301403.857515774
301403.857516534, 301403.862710455
301403.862711215, 301403.867651635
301403.867652375, 301403.872804835
301403.872805535, 301403.878031675
301403.878032595, 301403.882834115
301403.882835035, 301403.887653475
301403.887654195, 301403.892637736
301403.892638436, 301403.897620976
301403.897621736, 301403.902685236
301403.902685936, 301403.907524296
301403.907524996, 301403.912630176
301403.912630876, 301403.917860436
301403.917861136, 301403.923010957
301403.923011617, 301403.927853337
301403.927853977, 301403.933050217
301403.933050997, 301403.938123517
301403.938124177, 301403.943375797
301403.943376417, 301403.948374157
301403.948374837, 301403.952998178
301403.952998798, 301403.958115178
301403.958115798, 301403.963175318
301403.963175938, 301403.968170878
301403.968171398, 301403.973166238
301403.973167138, 301403.978169298
301403.978170158, 301403.983352099
301403.983352839, 301403.988512699
301403.988513419, 301403.993575419
301403.993576139, 301403.998727639
301403.998728619, 301404.003863059
301404.003863819, 301404.008933539
301404.008934719, 301404.014108100
301404.014109000, 301404.019528900
301404.019530000, 301404.024915180
301404.024915980, 301404.030175980
301404.030176900, 301404.035149140
301404.035150180, 301404.040184141
301404.040184841, 301404.045123201
301404.045124141, 301404.050040741
301404.050041521, 301404.055103221
301404.055104161, 301404.059982321
301404.059983081, 301404.064933701
301404.064934561, 301404.069824122
301404.069825742, 301404.074975562
301404.074976562, 301404.079937862
301404.079938742, 301404.085104662
301404.085105602, 301404.090078622
301404.090079382, 301404.095253562
301404.095254322, 301404.100342743
301404.100343443, 301404.105182443
301404.105182723, 301404.110349663
301404.110349963, 301404.115610643
301404.115610883, 301404.120831623
301404.120831803, 301404.125962223
301404.125962403, 301404.130903744
301404.130903944, 301404.135984784
301404.135984984, 301404.141275444
301404.141275624, 301404.146591184
301404.146591484, 301404.151848704
301404.151848884, 301404.156796584
301404.156797024, 301404.161542185
301404.161542385, 301404.166756665
301404.166756825, 301404.171843445
301404.171843605, 301404.176924465
301404.176924765, 301404.182068985
301404.182069165, 301404.187097325
301404.187097525, 301404.192079026
301404.192079246, 301404.197168466
301404.197168686, 301404.202400346
301404.202400506, 301404.207317946
301404.207318606, 301404.212065066
301404.212065686, 301404.217041626
301404.217042226, 301404.222100047
301404.222100707, 301404.227268087
301404.227268747, 301404.232393167
301404.232393767, 301404.237644767
301404.237645827, 301404.242886947
301404.242887547, 301404.248090768
301404.248091408, 301404.253276668
301404.253277688, 301404.258418468
301404.258418868, 301404.263704468
301404.263704708, 301404.268969548
301404.268969768, 301404.273838848
301404.273839048, 301404.278633289
301404.278633569, 301404.283849229
301404.283849469, 301404.288923149
301404.288923389, 301404.293945149
301404.293945329, 301404.298757869
301404.298758329, 301404.303970009
301404.303970189, 301404.309047030
301404.309047290, 301404.314055370
301404.314055690, 301404.319216610
301404.319216850, 301404.324332830
301404.324333050, 301404.329185570
301404.329185770, 301404.334347830
301404.334348050, 301404.339698451
301404.339698931, 301404.345072171
301404.345072391, 301404.350075351
301404.350075611, 301404.355343451
301404.355343651, 301404.360458711
301404.360458971, 301404.365404352
301404.365404652, 301404.370441012
301404.370441232, 301404.375580392
301404.375580592, 301404.380651632
301404.380651932, 301404.385473072
301404.385473292, 301404.390525432
301404.390525652, 301404.395748653
301404.395748913, 301404.400902133
301404.400902413, 301404.405823953
301404.405824193, 301404.411179133
301404.411179313, 301404.416148913
301404.416149093, 301404.421284813
301404.421285093, 301404.426305594
301404.426305794, 301404.431283694
301404.431283874, 301404.436395914
301404.436396134, 301404.441329674
301404.441329934, 301404.446521334
301404.446521534, 301404.451520614
301404.451520854, 301404.457120235
301404.457120415, 301404.462641955
301404.462642215, 301404.467982315
301404.467982555, 301404.473605375
301404.473605735, 301404.479019035
301404.479019215, 301404.484519676
301404.484520056, 301404.490091136
301404.490091696, 301404.495748596
301404.495748836, 301404.501192636
301404.501192856, 301404.506469556
301404.506469796, 301404.511931256
301404.511931456, 301404.517508897
301404.517509117, 301404.522950237
301404.522950457, 301404.528667457
301404.528667777, 301404.534196657
301404.534196877, 301404.539807177
301404.539807397, 301404.545326178
301404.545326358, 301404.550718818
301404.550719118, 301404.556262358
301404.556262578, 301404.560641078
301404.560641718, 301404.565766438
301404.565767138, 301404.570540458
301404.570541138, 301404.574974499
301404.574975139, 301404.579966399
301404.579967019, 301404.584833079
301404.584833699, 301404.589855839
301404.589857179, 301404.595093079
301404.595093899, 301404.600219459
301404.600220659, 301404.605401620
301404.605402400, 301404.610596960
301404.610597700, 301404.615837300
301404.615838900, 301404.621159020
301404.621159660, 301404.626390140
301404.626390740, 301404.631504841
301404.631506121, 301404.636706821
301404.636707401, 301404.641779521
301404.641780141, 301404.647143421
301404.647144041, 301404.652047281
301404.652048381, 301404.657534581
301404.657535421, 301404.663082462
301404.663083022, 301404.668560182
301404.668560822, 301404.674527082
301404.674528062, 301404.680231122
301404.680231442, 301404.684947482
301404.684948022, 301404.690265423
301404.690266263, 301404.695469383
301404.695470683, 301404.700737203
301404.700738063, 301404.706332103
301404.706332843, 301404.711634303
301404.711635343, 301404.716887783
301404.716888723, 301404.722178724
301404.722179464, 301404.727641004
301404.727641764, 301404.733161104
301404.733161824, 301404.738748544
301404.738749484, 301404.743835464
301404.743836104, 301404.749407465
301404.749408305, 301404.754750525
301404.754751225, 301404.760223665
301404.760224365, 301404.765569945
301404.765570505, 301404.770602305
301404.770603625, 301404.775744045
301404.775744965, 301404.780901146
301404.780901846, 301404.785940586
301404.785941226, 301404.791276066
301404.791276926, 301404.796102506
301404.796103246, 301404.801120926
301404.801121786, 301404.806004986
301404.806005866, 301404.810701487
301404.810702187, 301404.815799427
301404.815800387, 301404.820953347
301404.820954167, 301404.826167867
301404.826168867, 301404.831403087
301404.831403827, 301404.836673067
301404.836674267, 301404.841740228
301404.841740988, 301404.846999008
301404.846999708, 301404.852020008
301404.852020808, 301404.857013048
301404.857014268, 301404.862298348
301404.862299168, 301404.867526849
301404.867527389, 301404.872523649
301404.872524389, 301404.877644089
301404.877644749, 301404.882635329
301404.882636709, 301404.887663689
301404.887664589, 301404.892318409
301404.892319629, 301404.897441950
301404.897442490, 301404.902490550
301404.902491210, 301404.907703390
301404.907703990, 301404.912511850
301404.912512810, 301404.917855670
301404.917856690, 301404.922905230
301404.922905930, 301404.928042371
301404.928043131, 301404.932975431
301404.932976391, 301404.937816631
301404.937817711, 301404.943090491
301404.943091611, 301404.948282791
301404.948283531, 301404.953435551
301404.953436311, 301404.958782232
301404.958782852, 301404.963777012
301404.963777992, 301404.968740452
301404.968741112, 301404.973920732
301404.973921292, 301404.978930692
301404.978931372, 301404.983856652
301404.983857372, 301404.989017913
301404.989018673, 301404.994306933
301404.994307773, 301404.999698873
301404.999700193, 301405.005048393
301405.005049493, 301405.009836313
301405.009836913, 301405.015001733
301405.015002873, 301405.020175754
301405.020176734, 301405.025331134
301405.025331954, 301405.030606214
301405.030606934, 301405.035845254
301405.035845954, 301405.040899794
301405.040900874, 301405.045924915
301405.045926155, 301405.051071335
301405.051072335, 301405.056177895
301405.056178675, 301405.061458555
301405.061459595, 301405.066615375
301405.066616195, 301405.071449875
301405.071450615, 301405.076329296
301405.076330076, 301405.081262396
301405.081263116, 301405.086391556
301405.086392876, 301405.091485896
301405.091486776, 301405.096604056
301405.096604756, 301405.101858116
301405.101858836, 301405.106847597
301405.106848637, 301405.112062297
301405.112063017, 301405.117148417
301405.117148657, 301405.122126397
301405.122126597, 301405.127016777
301405.127017017, 301405.132029977
301405.132030197, 301405.137052418
301405.137052598, 301405.142067758
301405.142067958, 301405.146858878
301405.146859238, 301405.151781878
301405.151782078, 301405.156853498
301405.156853698, 301405.161835298
301405.161835658, 301405.166928619
301405.166928879, 301405.171942659
301405.171942899, 301405.177140579
301405.177140779, 301405.182210619
301405.182210839, 301405.187438599
301405.187438899, 301405.192440299
301405.192440479, 301405.197562120
301405.197562340, 301405.202779540
301405.202779820, 301405.207803920
301405.207804200, 301405.213116300
301405.213116580, 301405.218097220
301405.218097420, 301405.223117661
301405.223117861, 301405.228355961
301405.228356201, 301405.233311381
301405.233311701, 301405.238485821
301405.238486081, 301405.243572981
301405.243573281, 301405.248828021
301405.248828321, 301405.254108062
301405.254108382, 301405.258956462
301405.258956722, 301405.264091902
301405.264092162, 301405.269044022
301405.269044462, 301405.274197822
301405.274198002, 301405.279243922
301405.279244102, 301405.284194403
301405.284194663, 301405.288995743
301405.288996003, 301405.294153583
301405.294153783, 301405.299178203
301405.299178583, 301405.304407883
301405.304408183, 301405.309586903
301405.309587203, 301405.314641404
301405.314641784, 301405.319709064
301405.319709264, 301405.324822104
301405.324822324, 301405.329838164
301405.329838424, 301405.334871704
301405.334871924, 301405.340181165
301405.340181385, 301405.345303945
301405.345304205, 301405.350192945
301405.350193165, 301405.355230505
301405.355230765, 301405.360334285
301405.360334585, 301405.365194345
301405.365194565, 301405.370198106
301405.370198386, 301405.375158146
301405.375158326, 301405.380432646
301405.380432886, 301405.385758386
301405.385758606, 301405.391145406
301405.391145626, 301405.396208446
301405.396208626, 301405.401480187
301405.401480427, 301405.406590447
301405.406590627, 301405.411680547
301405.411680827, 301405.416732847
301405.416733047, 301405.421884887
301405.421885127, 301405.426639807
301405.426640027, 301405.431780628
301405.431780948, 301405.437095548
301405.437095848, 301405.442293748
301405.442294088, 301405.447449848
301405.447450028, 301405.452425268
301405.452425508, 301405.457456348
301405.457456568, 301405.462445889
301405.462446129, 301405.467158849
301405.467159029, 301405.472348969
301405.472349229, 301405.477597929
301405.477598149, 301405.482714269
301405.482714489, 301405.487673789
301405.487674089, 301405.492817470
301405.492817710, 301405.497823510
301405.497823870, 301405.502675130
301405.502675330, 301405.507507950
301405.507508770, 301405.512485490
301405.512486290, 301405.517590551
301405.517591231, 301405.522656871
301405.522657631, 301405.527827451
301405.527828131, 301405.532758191
301405.532758931, 301405.537971531
301405.537972131, 301405.543309711
301405.543310311, 301405.548628112
301405.548629032, 301405.553853652
301405.553854492, 301405.559032352
301405.559033332, 301405.564041632
301405.564042312, 301405.569023612
301405.569024252, 301405.574271832
301405.574272592, 301405.579437333
301405.579438013, 301405.584476813
301405.584477453, 301405.589592513
301405.589593373, 301405.594978533
301405.594979313, 301405.600341453
301405.600342153, 301405.605465953
301405.605466553, 301405.610518674
301405.610519354, 301405.615451854
301405.615452514, 301405.620292174
301405.620292794, 301405.625663774
301405.625664454, 301405.630510114
301405.630510794, 301405.635736055
301405.635736715, 301405.641015475
301405.641016615, 301405.645996375
301405.645997115, 301405.650930395
301405.650931055, 301405.656072175
301405.656072795, 301405.661247615
301405.661248435, 301405.666489396
301405.666489996, 301405.671477696
301405.671478356, 301405.676018716
301405.676019336, 301405.680966816
301405.680967376, 301405.686023216
301405.686024016, 301405.691159376
301405.691160136, 301405.695771837
301405.695772457, 301405.700663657
301405.700664297, 301405.705737617
301405.705738337, 301405.710704077
301405.710704897, 301405.715760017
301405.715760957, 301405.720930377
301405.720930997, 301405.725889638
301405.725890478, 301405.731072878
301405.731073658, 301405.736199918
301405.736200818, 301405.741355398
301405.741355998, 301405.746604698
301405.746605398, 301405.751674838
301405.751675578, 301405.756704759
301405.756705719, 301405.761934939
301405.761935859, 301405.766976619
301405.766977419, 301405.772152579
301405.772153379, 301405.777351159
301405.777351879, 301405.782583400
301405.782584140, 301405.787685080
301405.787685800, 301405.793038900
301405.793039580, 301405.798026580
301405.798027240, 301405.803155160
301405.803155940, 301405.808224660
301405.808225300, 301405.813518901
301405.813519601, 301405.818500961
301405.818501841, 301405.823637201
301405.823637861, 301405.828874741
301405.828875481, 301405.834181841
301405.834182461, 301405.839182581
301405.839183201, 301405.843920162
301405.843921022, 301405.848955322
301405.848955882, 301405.854165722
301405.854166382, 301405.858987542
301405.858988182, 301405.863873182
301405.863873802, 301405.868969482
301405.868970102, 301405.874311023
301405.874311243, 301405.879512703
301405.879513003, 301405.884649043
301405.884649323, 301405.889721283
301405.889721543, 301405.894777003
301405.894777203, 301405.899553783
301405.899554023, 301405.904756664
301405.904756944, 301405.909843904
301405.909844144, 301405.914905584
301405.914905844, 301405.919961744
301405.919962164, 301405.925033204
301405.925033384, 301405.930184064
301405.930184364, 301405.935365205
301405.935365385, 301405.940571065
301405.940571325, 301405.945668465
301405.945668745, 301405.950854905
301405.950855085, 301405.956047465
301405.956047685, 301405.961234526
301405.961234746, 301405.966530006
301405.966530206, 301405.971740526
301405.971740826, 301405.976558366
301405.976558546, 301405.981502186
301405.981502446, 301405.986417826
301405.986418686, 301405.991501667
301405.991501927, 301405.996679967
301405.996680147, 301406.001761567
301406.001762127, 301406.006902787
301406.006902967, 301406.012080667
301406.012080907, 301406.017113947
301406.017114267, 301406.022088668
301406.022089148, 301406.027354468
301406.027354708, 301406.032608748
301406.032608968, 301406.037884308
301406.037884648, 301406.042834928
301406.042835208, 301406.048025608
301406.048025868, 301406.052987449
301406.052987689, 301406.057959929
301406.057960229, 301406.062992869
301406.062993229, 301406.068255729
301406.068256029, 301406.072932389
301406.072932589, 301406.077962229
301406.077962429, 301406.082880870
301406.082881350, 301406.088165950
301406.088166190, 301406.093176650
301406.093176970, 301406.098300090
301406.098300290, 301406.103606410
301406.103606710, 301406.108788771
301406.108789611, 301406.113924451
301406.113924671, 301406.119007451
301406.119007791, 301406.123993931
301406.123994171, 301406.129213631
301406.129213931, 301406.134370131
301406.134370391, 301406.139749612
301406.139749812, 301406.144883772
301406.144884012, 301406.149960092
301406.149960332, 301406.155036632
301406.155036792, 301406.159829632
301406.159829872, 301406.164509872
301406.164510132, 301406.169871773
301406.169872073, 301406.174503193
301406.174503473, 301406.179427153
301406.179427373, 301406.184433013
301406.184433253, 301406.189560413
301406.189560633, 301406.194750733
301406.194751013, 301406.199602814
301406.199603014, 301406.204570554
301406.204570814, 301406.209765554
301406.209765774, 301406.215065274
301406.215065514, 301406.220210174
301406.220210394, 301406.225349854
301406.225350074, 301406.230126695
301406.230126895, 301406.235312375
301406.235312635, 301406.240177915
301406.240178215, 301406.245166355
301406.245166735, 301406.250276315
301406.250276635, 301406.255467215
301406.255467415, 301406.260660196
301406.260660456, 301406.265755916
301406.265756156, 301406.270896876
301406.270897076, 301406.275993756
301406.275994016, 301406.281107236
301406.281107456, 301406.286259197
301406.286259477, 301406.291668917
301406.291669197, 301406.296905677
301406.296905977, 301406.302092997
301406.302093197, 301406.307146637
301406.307147117, 301406.312191837
301406.312192077, 301406.317469298
301406.317469518, 301406.322683518
301406.322683758, 301406.327836458
301406.327836758, 301406.332957858
301406.332958038, 301406.338049718
301406.338049918, 301406.343299458
301406.343299678, 301406.348483359
301406.348483879, 301406.353411019
301406.353411279, 301406.358228939
301406.358229179, 301406.363282639
301406.363282819, 301406.368489939
301406.368490319, 301406.373554799
301406.373555059, 301406.378424720
301406.378424940, 301406.383475140
301406.383475360, 301406.388731480
301406.388731760, 301406.393666820
301406.393667020, 301406.398866480
301406.398866740, 301406.404022081
301406.404022401, 301406.409329281
301406.409329561, 301406.414565701
301406.414565941, 301406.419521661
301406.419521861, 301406.424544761
301406.424544981, 301406.429781581
301406.429781821, 301406.434931622
301406.434931862, 301406.439951542
301406.439951742, 301406.445074562
301406.445074742, 301406.450365722
301406.450365982, 301406.455323162
301406.455323402, 301406.460302822
301406.460303082, 301406.465287343
301406.465287583, 301406.470214743
301406.470214983, 301406.475391623
301406.475391823, 301406.480753383
301406.480753683, 301406.485982643
301406.485982863, 301406.491137143
301406.491137443, 301406.496280904
301406.496281204, 301406.501268084
301406.501268364, 301406.506282544
301406.506282804, 301406.511482744
301406.511483064, 301406.516616364
301406.516616604, 301406.521854665
301406.521855185, 301406.527035205
301406.527035445, 301406.532289145
301406.532289685, 301406.537400145
301406.537400365, 301406.542481405
301406.542481625, 301406.547686965
301406.547687225, 301406.552675826
301406.552676066, 301406.557522126
301406.557522346, 301406.562709926
301406.562710126, 301406.567807106
301406.567807266, 301406.572896446
301406.572896646, 301406.578149526
301406.578149806, 301406.583181267
301406.583181487, 301406.588428187
301406.588428407, 301406.593591567
301406.593591827, 301406.598725727
301406.598726007, 301406.603817347
301406.603817527, 301406.608992307
301406.608992627, 301406.614107648
301406.614107968, 301406.619279908
301406.619280088, 301406.624475988
301406.624476248, 301406.629730928
301406.629731208, 301406.634848668
301406.634848948, 301406.640010209
301406.640010469, 301406.645332889
301406.645333189, 301406.650682769
301406.650683029, 301406.655724969
301406.655725169, 301406.660705489
301406.660705769, 301406.665944629
301406.665944869, 301406.671222730
301406.671222930, 301406.676475210
301406.676475470, 301406.681683710
301406.681683910, 301406.686789850
301406.686790070, 301406.692059310
301406.692059530, 301406.697141130
301406.697141390, 301406.702021151
301406.702021511, 301406.706673951
301406.706674171, 301406.711937551
301406.711937871, 301406.716757011
301406.716757231, 301406.721766551
301406.721766871, 301406.726878251
301406.726878511, 301406.731968392
301406.731968592, 301406.737215892
301406.737216392, 301406.742267432
301406.742267712, 301406.747356292
301406.747356492, 301406.752587192
301406.752587492, 301406.757774593
301406.757774873, 301406.762392153
301406.762392373, 301406.767585893
301406.767586093, 301406.772803573
301406.772803853, 301406.778053373
301406.778053673, 301406.782846733
301406.782846933, 301406.787979314
301406.787979554, 301406.793208694
301406.793209014, 301406.798291454
301406.798291774, 301406.803381934
301406.803382154, 301406.808238634
301406.808238834, 301406.813295114
301406.813295334, 301406.818525615
301406.818525975, 301406.823490775
301406.823491035, 301406.828426615
301406.828426855, 301406.833521015
301406.833521215, 301406.838787815
301406.838788035, 301406.843972615
301406.843972855, 301406.849125796
301406.849125996, 301406.854030656
301406.854030916, 301406.858992116
301406.858992556, 301406.863958776
301406.863958976, 301406.869131456
301406.869131696, 301406.874337676
301406.874337856, 301406.879662417
301406.879662697, 301406.884898617
301406.884898917, 301406.889720797
301406.889721077, 301406.894859457
301406.894859797, 301406.900030517
301406.900030777, 301406.905184678
301406.905184938, 301406.910200058
301406.910200278, 301406.915205998
301406.915206238, 301406.920172118
301406.920172378, 301406.924880778
301406.924881018, 301406.929692838
301406.929693118, 301406.934646179
301406.934646399, 301406.939619559
301406.939619859, 301406.944685199
301406.944685519, 301406.949815459
301406.949815759, 301406.954982279
301406.954982479, 301406.960039859
301406.960040239, 301406.964728940
301406.964729180, 301406.969765660
301406.969765920, 301406.974909640
301406.974909840, 301406.980099320
301406.980099600, 301406.984850160
301406.984850360, 301406.989696000
301406.989696280, 301406.994599181
301406.994599901, 301406.999490341
301406.999490661, 301407.004562481
301407.004562681, 301407.009423461
301407.009423701, 301407.014503161
301407.014503581, 301407.019534601
301407.019534981, 301407.024781142
301407.024781362, 301407.029843062
301407.029843302, 301407.034847802
301407.034848082, 301407.040108242
301407.040108522, 301407.045357002
301407.045357242, 301407.050453022
301407.050453262, 301407.055523623
301407.055523863, 301407.060718783
301407.060719063, 301407.065952303
301407.065952563, 301407.071182863
301407.071183163, 301407.076231223
301407.076231423, 301407.081130424
301407.081130664, 301407.086384724
301407.086384924, 301407.091534004
301407.091534224, 301407.096603404
301407.096603604, 301407.101708944
301407.101709284, 301407.106674504
301407.106674804, 301407.111938445
301407.111938685, 301407.116976425
301407.116976665, 301407.121645445
301407.121645685, 301407.126520585
301407.126520825, 301407.131420245
301407.131420505, 301407.136430725
301407.136430925, 301407.141417226
301407.141417466, 301407.146454066
301407.146454266, 301407.151555666
301407.151556046, 301407.156607206
301407.156607426, 301407.161833826
301407.161834126, 301407.166707146
301407.166707346, 301407.171597887
301407.171598127, 301407.176651127
301407.176651327, 301407.181876727
301407.181876967, 301407.187075247
301407.187075487, 301407.192070947
301407.192071387, 301407.197184887
301407.197185107, 301407.202225588
301407.202225828, 301407.207352368
301407.207352628, 301407.212505148
301407.212505388, 301407.217693628
301407.217693988, 301407.222820488
301407.222820748, 301407.228017828
301407.228018048, 301407.233218449
301407.233218789, 301407.238358389
301407.238358569, 301407.243359849
301407.243360229, 301407.248520869
301407.248521089, 301407.253685669
301407.253685969, 301407.258848550
301407.258848750, 301407.263973490
301407.263973790, 301407.269018230
301407.269018510, 301407.274067530
301407.274067830, 301407.278900630
301407.278900950, 301407.284096050
301407.284096310, 301407.289150431
301407.289150631, 301407.294144671
301407.294144891, 301407.299417151
301407.299417351, 301407.304663891
301407.304664231, 301407.309838951
301407.309839171, 301407.315131351
301407.315131611, 301407.320086072
301407.320086352, 301407.324747952
301407.324748332, 301407.329856652
301407.329856832, 301407.334849992
301407.334850212, 301407.340015632
301407.340015832, 301407.345235812
301407.345236112, 301407.350447653
301407.350447873, 301407.355428713
301407.355429013, 301407.360579773
301407.360580013, 301407.365782313
301407.365782613, 301407.371013393
301407.371013593, 301407.376082533
301407.376082733, 301407.381355414
301407.381355614, 301407.386560394
301407.386560634, 301407.391643154
301407.391643414, 301407.396741334
301407.396741534, 301407.401755894
301407.401756294, 301407.406429614
301407.406429854, 301407.411457555
301407.411457775, 301407.416501935
301407.416502155, 301407.421187475
301407.421187775, 301407.426394695
301407.426394975, 301407.431643075
301407.431643255, 301407.436477996
301407.436478236, 301407.441676836
301407.441677096, 301407.446862816
301407.446863056, 301407.451905776
301407.451905956, 301407.456992636
301407.456992876, 301407.462202756
301407.462202956, 301407.467368717
301407.467369017, 301407.472583197
301407.472583417, 301407.477628437
301407.477628697, 301407.482853597
301407.482853897, 301407.488040497
301407.488040737, 301407.493277377
301407.493277637, 301407.498133898
301407.498134098, 301407.503136718
301407.503136898, 301407.508376618
301407.508376878, 301407.513647658
301407.513648218, 301407.518568438
301407.518569498, 301407.523782738
301407.523783538, 301407.529060799
301407.529061759, 301407.533974459
301407.533975379, 301407.538700619
301407.538701459, 301407.543626779
301407.543627579, 301407.548450479
301407.548451279, 301407.553390919
301407.553391779, 301407.558543420
301407.558544200, 301407.563446800
301407.563447620, 301407.568460800
301407.568461780, 301407.573272520
301407.573273260, 301407.577842800
301407.577843500, 301407.582794280
301407.582794980, 301407.587876521
301407.587877281, 301407.592933341
301407.592934141, 301407.598198321
301407.598199041, 301407.603436021
301407.603436961, 301407.608194481
301407.608195301, 301407.613109822
301407.613110442, 301407.617838442
301407.617839262, 301407.622871222
301407.622871882, 301407.628331722
301407.628332422, 301407.633757842
301407.633758682, 301407.638984962
301407.638985602, 301407.643899583
301407.643900443, 301407.649358743
301407.649359663, 301407.654859143
301407.654859783, 301407.660074783
