------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.100 sec; SentMessages=1011; ReceivedMessages=1010
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.990 sec; SentMessages=1000; ReceivedMessages=1000
sockperf: [2;35m====> avg-lat= 70.874 (std-dev=22.642)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 1000 observations[0m; each percentile contains 10.00 observations
sockperf: ---> <MAX> observation =  162.745
sockperf: ---> percentile 99.999 =  162.745
sockperf: ---> percentile 99.990 =  162.745
sockperf: ---> percentile 99.900 =  149.123
sockperf: ---> percentile 99.000 =  125.470
sockperf: ---> percentile 90.000 =  100.182
sockperf: ---> percentile 75.000 =   86.667
sockperf: ---> percentile 50.000 =   69.525
sockperf: ---> percentile 25.000 =   53.887
sockperf: ---> <MIN> observation =   30.746
------------------------------
txTime, rxTime
2.061755765, 2.061859997
2.071755775, 2.071884794
2.081755764, 2.081899392
2.091755770, 2.091874029
2.101755773, 2.101923256
2.111755769, 2.111948124
2.121755768, 2.121937772
2.131755767, 2.131860264
2.141755769, 2.141875740
2.151755774, 2.151955957
2.161755773, 2.161872224
2.171755778, 2.171931192
2.181755772, 2.181941887
2.191755768, 2.191908716
2.201755772, 2.201888495
2.211755768, 2.211896794
2.221755767, 2.221856976
2.231755768, 2.231862510
2.241755765, 2.241871739
2.251755770, 2.251862727
2.261755773, 2.261929068
2.271755754, 2.271888381
2.281755754, 2.281982203
2.291755764, 2.291915142
2.301755768, 2.301893970
2.311755754, 2.311833555
2.321755770, 2.321922848
2.331755748, 2.331831480
2.341755765, 2.341854787
2.351755767, 2.351903423
2.361755763, 2.361902929
2.371755763, 2.371987739
2.381755789, 2.381951837
2.391755750, 2.391903608
2.401755764, 2.401954443
2.411755790, 2.411879811
2.421755769, 2.421948052
2.431755767, 2.431910769
2.441755764, 2.441936038
2.451755784, 2.451969292
2.461755765, 2.461871586
2.471755767, 2.471997611
2.481755773, 2.481883243
2.491755788, 2.491965687
2.501755772, 2.501934558
2.511755770, 2.511973417
2.521755773, 2.521962816
2.531755765, 2.531904295
2.541755773, 2.541852858
2.551755770, 2.551989279
2.561755764, 2.561904676
2.571755768, 2.571920228
2.581755770, 2.581999604
2.591755772, 2.591984968
2.601755783, 2.601901954
2.611755765, 2.611940635
2.621755777, 2.621985944
2.631755769, 2.631904970
2.641755764, 2.641992889
2.651755768, 2.651898755
2.661755773, 2.661864337
2.671755767, 2.671901187
2.681755772, 2.681893026
2.691755765, 2.691955648
2.701755757, 2.701862973
2.711755770, 2.711883129
2.721755773, 2.721903022
2.731755764, 2.731907598
2.741755773, 2.741928725
2.751755768, 2.751981764
2.761755783, 2.762022114
2.771755777, 2.771865495
2.781755755, 2.782019028
2.791755779, 2.792003526
2.801755770, 2.801973246
2.811755769, 2.811878025
2.821755765, 2.821866086
2.831755769, 2.831901107
2.841755782, 2.841962540
2.851755758, 2.851941448
2.861755775, 2.861873601
2.871756328, 2.871892216
2.881755773, 2.881952631
2.891755765, 2.891879420
2.901755773, 2.901870366
2.911755768, 2.911937304
2.921755765, 2.921910713
2.931755778, 2.931955850
2.941755770, 2.941981225
2.951755752, 2.951918083
2.961755777, 2.961917424
2.971755769, 2.971921786
2.981759234, 2.981963864
2.991755861, 2.991935184
3.001755763, 3.001938517
3.011755765, 3.011946336
3.021755770, 3.021976981
3.031755770, 3.031915300
3.041755764, 3.041908903
3.051755769, 3.051933030
3.061755768, 3.061954022
3.071755769, 3.071907508
3.081755762, 3.082021138
3.091755764, 3.091946913
3.101755768, 3.101954171
3.111755770, 3.111965123
3.121755764, 3.121934102
3.131755778, 3.131862156
3.141755787, 3.141973191
3.151755770, 3.152054017
3.161755763, 3.161926273
3.171755746, 3.171951097
3.181755769, 3.181960599
3.191755768, 3.191961510
3.201755772, 3.201967573
3.211755787, 3.211909297
3.221755768, 3.221890954
3.231755774, 3.231944776
3.241755767, 3.241967229
3.251755750, 3.252006691
3.261755752, 3.261975037
3.271755770, 3.271900245
3.281755758, 3.281877519
3.291755767, 3.291944100
3.301755755, 3.301927329
3.311755767, 3.311819855
3.321755773, 3.321936197
3.331755752, 3.331961517
3.341755768, 3.341904162
3.351755760, 3.351885923
3.361755760, 3.361853408
3.371755764, 3.371879962
3.381755767, 3.381990683
