------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.100 sec; SentMessages=1011; ReceivedMessages=1010
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.990 sec; SentMessages=1000; ReceivedMessages=1000
sockperf: [2;35m====> avg-lat= 58.481 (std-dev=13.930)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 1000 observations[0m; each percentile contains 10.00 observations
sockperf: ---> <MAX> observation =  119.182
sockperf: ---> percentile 99.999 =  119.182
sockperf: ---> percentile 99.990 =  119.182
sockperf: ---> percentile 99.900 =  109.457
sockperf: ---> percentile 99.000 =   95.168
sockperf: ---> percentile 90.000 =   78.018
sockperf: ---> percentile 75.000 =   67.184
sockperf: ---> percentile 50.000 =   55.593
sockperf: ---> percentile 25.000 =   49.240
sockperf: ---> <MIN> observation =   29.886
------------------------------
txTime, rxTime
2.062358305, 2.062467576
2.072358331, 2.072438905
2.082358322, 2.082526050
2.092358310, 2.092462707
2.102358318, 2.102455692
2.112358307, 2.112452602
2.122358316, 2.122450520
2.132358313, 2.132507041
2.142358312, 2.142443415
2.152358311, 2.152467830
2.162358313, 2.162558007
2.172358319, 2.172466029
2.182358311, 2.182452681
2.192358309, 2.192459280
2.202358313, 2.202454023
2.212358357, 2.212443826
2.222358308, 2.222534743
2.232358314, 2.232447090
2.242358311, 2.242490637
2.252358313, 2.252483454
2.262358322, 2.262466187
2.272363361, 2.272471610
2.282358314, 2.282483279
2.292358327, 2.292466655
2.302358332, 2.302440466
2.312358308, 2.312480399
2.322358328, 2.322506383
2.332358311, 2.332494238
2.342358311, 2.342473519
2.352358315, 2.352472056
2.362358315, 2.362470973
2.372358314, 2.372474399
2.382358315, 2.382458149
2.392370865, 2.392460533
2.402358312, 2.402452549
2.412358325, 2.412451358
2.422367454, 2.422490391
2.432358309, 2.432481228
2.442358315, 2.442461695
2.452358322, 2.452479198
2.462358324, 2.462451446
2.472358314, 2.472453632
2.482358314, 2.482467182
2.492358329, 2.492518227
2.502358309, 2.502452424
2.512358327, 2.512453607
2.522358333, 2.522420789
2.532358324, 2.532478209
2.542358330, 2.542474810
2.552358321, 2.552454691
2.562358313, 2.562514734
2.572358314, 2.572443783
2.582358318, 2.582433295
2.592358317, 2.592476140
2.602358319, 2.602476653
2.612358332, 2.612496234
2.622358325, 2.622458321
2.632358327, 2.632495599
2.642358329, 2.642460243
2.652358330, 2.652475124
2.662358321, 2.662488756
2.672358321, 2.672457442
2.682358325, 2.682466452
2.692358324, 2.692511055
2.702358327, 2.702458835
2.712358319, 2.712522584
2.722358317, 2.722455366
2.732358347, 2.732457833
2.742367530, 2.742489894
2.752358321, 2.752477779
2.762358329, 2.762444012
2.772358333, 2.772458505
2.782358316, 2.782493336
2.792358312, 2.792458581
2.802358333, 2.802471638
2.812358330, 2.812486840
2.822358316, 2.822461958
2.832358328, 2.832472060
2.842358334, 2.842441932
2.852358337, 2.852466090
2.862358318, 2.862481757
2.872358331, 2.872458753
2.882358319, 2.882464307
2.892358334, 2.892461242
2.902358314, 2.902437889
2.912369287, 2.912483914
2.922358315, 2.922483755
2.932358324, 2.932510388
2.942358323, 2.942487109
2.952358322, 2.952459825
2.962358316, 2.962467343
2.972358318, 2.972521761
2.982358342, 2.982472390
2.992358315, 2.992428346
3.002358318, 3.002458953
3.012358315, 3.012458594
3.022358321, 3.022489205
3.032358321, 3.032458676
3.042358317, 3.042484529
3.052358314, 3.052466454
3.062358314, 3.062470893
3.072358332, 3.072465829
3.082358316, 3.082456055
3.092358319, 3.092461831
3.102358320, 3.102465145
3.112358315, 3.112486065
3.122358324, 3.122484091
3.132358330, 3.132443887
3.142358314, 3.142519401
3.152358333, 3.152508759
3.162358319, 3.162492716
3.172358331, 3.172507624
3.182358341, 3.182458697
3.192358317, 3.192492384
3.202358332, 3.202506100
3.212358336, 3.212464776
3.222358328, 3.222430483
3.232358315, 3.232463893
3.242358336, 3.242491177
3.252358337, 3.252493746
3.262358320, 3.262467046
3.272358335, 3.272434478
3.282358339, 3.282455548
3.292358335, 3.292492406
3.302358319, 3.302478344
3.312358834, 3.312457089
3.322358326, 3.322459686
3.332358314, 3.332503476
3.342358319, 3.342479212
3.352358316, 3.352458632
3.362358319, 3.362462120
3.372358327, 3.372457919
3.382358321, 3.382463648
3.392358312, 3.392462518
3.402358320, 3.402475347
3.412358320, 3.412462399
3.422358336, 3.422459117
3.432358315, 3.432460154
3.442358315, 3.442475866
3.452358313, 3.452459668
3.462358335, 3.462447985
3.472358314, 3.472437920
3.482358318, 3.482436925
3.492358314, 3.492474884
3.502370003, 3.502467578
3.512358319, 3.512459073
3.522358318, 3.522537405
3.532358320, 3.532457488
3.542358319, 3.542438708
3.552358317, 3.552471629
3.562358319, 3.562496966
3.572358319, 3.572497900
3.582358320, 3.582457223
3.592358321, 3.592456487
3.602358317, 3.602468927
3.612358397, 3.612480544
3.622358339, 3.622461586
3.632358314, 3.632487611
3.642358335, 3.642443532
3.652358316, 3.652430269
3.662358309, 3.662461831
3.672358338, 3.672460238
3.682358330, 3.682449343
3.692358323, 3.692444028
3.702358325, 3.702474601
3.712358327, 3.712454560
3.722358322, 3.722456971
3.732358313, 3.732459531
3.742358334, 3.742453673
3.752358317, 3.752493951
3.762358315, 3.762447574
3.772358316, 3.772428182
3.782358393, 3.782497717
3.792358322, 3.792456583
3.802358324, 3.802502126
3.812358335, 3.812428141
3.822358323, 3.822484470
3.832358315, 3.832496032
3.842358317, 3.842484663
3.852358325, 3.852474987
3.862358335, 3.862496807
3.872358351, 3.872505497
3.882358319, 3.882429416
3.892358315, 3.892462277
3.902358336, 3.902506253
3.912358333, 3.912524570
3.922358322, 3.922458379
3.932358317, 3.932462157
3.942363773, 3.942501562
3.952365968, 3.952455365
3.962358346, 3.962460634
3.972358318, 3.972456070
3.982358330, 3.982451725
3.992358333, 3.992477307
4.002358322, 4.002484884
4.012358321, 4.012460231
4.022361165, 4.022435424
4.032358348, 4.032438580
4.042358319, 4.042431569
4.052358332, 4.052469571
4.062358317, 4.062462512
4.072358334, 4.072495693
4.082365224, 4.082541293
4.092358307, 4.092533315
4.102358314, 4.102487908
4.112358314, 4.112476402
4.122358309, 4.122456191
4.132358322, 4.132465285
4.142358318, 4.142507947
4.152358332, 4.152490904
4.162358332, 4.162484902
4.172358318, 4.172505001
4.182358319, 4.182492689
4.192358311, 4.192452821
4.202358312, 4.202444467
4.212358312, 4.212476546
4.222358316, 4.222499726
4.232358329, 4.232462781
4.242358318, 4.242477043
4.252358325, 4.252477039
4.262358328, 4.262433190
4.272358325, 4.272466217
4.282358322, 4.282434748
4.292358328, 4.292451291
4.302358312, 4.302457722
4.312358354, 4.312439179
4.322358317, 4.322496347
4.332358310, 4.332479087
4.342358329, 4.342451033
4.352358317, 4.352434405
4.362358312, 4.362504302
4.372358319, 4.372434562
4.382358737, 4.382507828
4.392358317, 4.392495320
4.402358325, 4.402459255
4.412358332, 4.412462934
4.422358319, 4.422458142
4.432358325, 4.432499012
4.442358323, 4.442525316
4.452358344, 4.452462517
4.462358325, 4.462466184
4.472358318, 4.472443798
4.482358332, 4.482507652
