------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.100 sec; SentMessages=1011; ReceivedMessages=1010
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.990 sec; SentMessages=1000; ReceivedMessages=1000
sockperf: [2;35m====> avg-lat= 51.563 (std-dev=13.485)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 1000 observations[0m; each percentile contains 10.00 observations
sockperf: ---> <MAX> observation =   95.113
sockperf: ---> percentile 99.999 =   95.113
sockperf: ---> percentile 99.990 =   95.113
sockperf: ---> percentile 99.900 =   91.365
sockperf: ---> percentile 99.000 =   87.091
sockperf: ---> percentile 90.000 =   70.716
sockperf: ---> percentile 75.000 =   59.968
sockperf: ---> percentile 50.000 =   50.455
sockperf: ---> percentile 25.000 =   40.367
sockperf: ---> <MIN> observation =   30.082
------------------------------
txTime, rxTime
2.061999676, 2.062133457
2.071999684, 2.072108444
2.081999687, 2.082104989
2.091999683, 2.092109405
2.101999683, 2.102131785
2.111999689, 2.112089225
2.121999688, 2.122104217
2.131999679, 2.132146281
2.141999665, 2.142079667
2.151999685, 2.152100427
2.161999665, 2.162103535
2.171999676, 2.172148346
2.181999682, 2.182124676
2.191999688, 2.192081921
2.201999677, 2.202139902
2.211999687, 2.212095206
2.221999685, 2.222111566
2.231999686, 2.232083335
2.241999668, 2.242071532
2.251999683, 2.252125133
2.261999684, 2.262136391
2.271999685, 2.272104991
2.281999690, 2.282078685
2.291999701, 2.292102103
2.301999686, 2.302071496
2.311999685, 2.312088832
2.321999674, 2.322074340
2.331999667, 2.332109046
2.341999663, 2.342092910
2.351999687, 2.352082079
2.361999681, 2.362075961
2.371999688, 2.372080063
2.381999690, 2.382129780
2.391999681, 2.392115573
2.401999664, 2.402086248
2.411999689, 2.412137743
2.421999680, 2.422102180
2.431999687, 2.432118483
2.441999681, 2.442114049
2.451999678, 2.452076303
2.461999685, 2.462087825
2.471999689, 2.472079025
2.481999687, 2.482073396
2.491999680, 2.492090977
2.501999689, 2.502076484
2.511999683, 2.512075063
2.521999684, 2.522154133
2.531999680, 2.532175782
2.541999683, 2.542088638
2.551999688, 2.552119962
2.561999696, 2.562111710
2.571999685, 2.572102223
2.581999680, 2.582074130
2.591999704, 2.592076855
2.601999682, 2.602072097
2.611999677, 2.612119652
2.621999690, 2.622138085
2.631999703, 2.632090011
2.641999664, 2.642107420
2.652009588, 2.652090682
2.661999690, 2.662118113
2.671999679, 2.672117314
2.681999685, 2.682083483
2.691999687, 2.692087791
2.701999704, 2.702107890
2.711999685, 2.712131391
2.721999688, 2.722074239
2.731999685, 2.732143897
2.741999679, 2.742073013
2.751999681, 2.752095767
2.761999695, 2.762141129
2.771999685, 2.772099385
2.781999700, 2.782139113
2.792002148, 2.792093009
2.801999684, 2.802098293
2.811999683, 2.812072845
2.821999697, 2.822121817
2.831999680, 2.832136606
2.841999683, 2.842112569
2.851999685, 2.852130226
2.862016601, 2.862169182
2.871999661, 2.872101150
2.881999679, 2.882113565
2.891999685, 2.892072566
2.901999668, 2.902148127
2.911999685, 2.912075918
2.921999681, 2.922078708
2.931999663, 2.932086286
2.941999684, 2.942133014
2.951999681, 2.952148104
2.961999678, 2.962110222
2.971999685, 2.972071354
2.981999685, 2.982074205
2.991999686, 2.992066364
3.001999680, 3.002097578
3.011999682, 3.012086220
3.021999687, 3.022098487
3.031999683, 3.032067904
3.041999684, 3.042107642
3.051999685, 3.052080783
3.061999683, 3.062147452
3.071999687, 3.072096084
3.081999677, 3.082123836
3.091999682, 3.092122162
3.101999684, 3.102093023
3.111999686, 3.112080533
3.121999687, 3.122139804
3.131999682, 3.132128940
3.141999687, 3.142101097
3.151999687, 3.152150128
3.161999687, 3.162115386
3.171999685, 3.172071661
3.181999680, 3.182114269
3.191999666, 3.192071166
3.201999665, 3.202116754
3.211999665, 3.212106312
3.221999686, 3.222086070
3.231999685, 3.232115830
3.241999680, 3.242068290
3.251999687, 3.252075205
3.261999680, 3.262104111
3.271999684, 3.272104036
3.281999684, 3.282096803
3.291999683, 3.292104901
3.301999683, 3.302074889
3.311999676, 3.312100293
3.321999686, 3.322104983
3.331999687, 3.332124188
3.341999685, 3.342143289
3.351999687, 3.352081170
3.361999684, 3.362131730
3.371999684, 3.372075086
3.381999687, 3.382067301
3.391999684, 3.392066337
3.401999687, 3.402126644
