------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.100 sec; SentMessages=1011; ReceivedMessages=1010
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.990 sec; SentMessages=1000; ReceivedMessages=1000
sockperf: [2;35m====> avg-lat= 50.609 (std-dev=12.830)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 1000 observations[0m; each percentile contains 10.00 observations
sockperf: ---> <MAX> observation =   97.206
sockperf: ---> percentile 99.999 =   97.206
sockperf: ---> percentile 99.990 =   97.206
sockperf: ---> percentile 99.900 =   92.352
sockperf: ---> percentile 99.000 =   85.697
sockperf: ---> percentile 90.000 =   67.742
sockperf: ---> percentile 75.000 =   58.332
sockperf: ---> percentile 50.000 =   49.748
sockperf: ---> percentile 25.000 =   38.860
sockperf: ---> <MIN> observation =   30.432
------------------------------
txTime, rxTime
2.061818858, 2.061923996
2.071817199, 2.071913892
2.081817200, 2.081921240
2.091817192, 2.091980708
2.101817194, 2.101903215
2.111817191, 2.111925514
2.121817202, 2.121928650
2.131817179, 2.131900361
2.141817192, 2.141932946
2.151817194, 2.151909012
2.161817181, 2.161966300
2.171817192, 2.171902563
2.181817194, 2.181899470
2.191817195, 2.191891967
2.201817199, 2.201953796
2.211817210, 2.211900311
2.221817204, 2.221914452
2.231817197, 2.231915650
2.241817199, 2.241894777
2.251817194, 2.251924879
2.261817209, 2.261932281
2.271817194, 2.271925905
2.281817182, 2.281898793
2.291817195, 2.291905653
2.301817176, 2.301968011
2.311817201, 2.311924287
2.321817217, 2.321892219
2.331817179, 2.331959784
2.341817200, 2.341928510
2.351817200, 2.351902901
2.361817177, 2.361894148
2.371817191, 2.371950573
2.381817192, 2.381901856
2.391817195, 2.391899832
2.401817200, 2.401894815
2.411817204, 2.411942650
2.421817184, 2.421903494
2.431817177, 2.431903243
2.441817179, 2.441887783
2.451817176, 2.451902674
2.461817175, 2.461886911
2.471817180, 2.471922358
2.481817210, 2.481924926
2.491817176, 2.491948775
2.501817180, 2.501923251
2.511817184, 2.511988110
2.521817180, 2.521928882
2.531817191, 2.531909830
2.541817187, 2.541974072
2.551817181, 2.551943293
2.561817184, 2.561971900
2.571817189, 2.571926882
2.581817202, 2.581925093
2.591817205, 2.591913351
2.601817194, 2.601923991
2.611817197, 2.611925509
2.621817192, 2.622011605
2.631817184, 2.631938043
2.641817180, 2.641882125
2.651817181, 2.651880904
2.661817185, 2.661891656
2.671817185, 2.671903307
2.681817195, 2.681903825
2.691817180, 2.691937748
2.701817175, 2.701887166
2.711817194, 2.711883882
2.721817190, 2.721880273
2.731817196, 2.731926404
2.741817176, 2.741910679
2.751817187, 2.751909325
2.761817191, 2.761891990
2.771817186, 2.771912284
2.781817186, 2.781900531
2.791817192, 2.791926293
2.801817177, 2.801894418
2.811817187, 2.811894497
2.821817191, 2.821903005
2.831817200, 2.831891680
2.841817187, 2.841996341
2.851817176, 2.851948734
2.861817172, 2.861947670
2.871817179, 2.871956386
2.881817187, 2.881913269
2.891817185, 2.891923766
2.901817175, 2.901881402
2.911817175, 2.911885813
2.921817185, 2.921921403
2.931817180, 2.931894433
2.941817184, 2.941913980
2.951817182, 2.951944165
2.961817194, 2.961961206
2.971817175, 2.971920569
2.981817184, 2.981914337
2.991817181, 2.991928108
3.001817197, 3.001905300
3.011817189, 3.011931064
3.021817179, 3.021890191
3.031817181, 3.031882975
3.041817181, 3.041881533
3.051817177, 3.051910301
3.061817182, 3.061956068
3.071817182, 3.071893073
3.081817182, 3.081934965
3.091817179, 3.091930990
3.101817180, 3.101942154
3.111817182, 3.111897609
3.121817189, 3.121911401
3.131817186, 3.131919820
3.141817177, 3.141935463
3.151817184, 3.151936136
3.161817181, 3.161934910
3.171817181, 3.171889885
3.181817184, 3.181910142
3.191817180, 3.191906597
3.201817169, 3.201907548
3.211817185, 3.211938092
3.221817172, 3.221890560
3.231817185, 3.231955695
3.241817185, 3.241961072
3.251817180, 3.251946582
3.261817182, 3.261947783
3.271817177, 3.271938272
3.281817180, 3.281888022
3.291817176, 3.291915996
3.301817175, 3.301936893
3.311817180, 3.311906766
3.321817179, 3.321944778
3.331817179, 3.331920376
3.341817182, 3.341901922
3.351817182, 3.351918374
3.361817184, 3.361888077
3.371817180, 3.371917989
3.381817180, 3.381893091
3.391817179, 3.391920507
3.401817182, 3.401889190
3.411817175, 3.411952661
3.421817182, 3.421919402
3.431817174, 3.431904816
3.441817191, 3.441945958
3.451817201, 3.451889773
3.461817207, 3.461939679
3.471817197, 3.471904045
3.481817205, 3.481933037
3.491817189, 3.491957250
3.501817192, 3.501959234
3.511817214, 3.511913195
3.521817171, 3.521927880
3.531817182, 3.531928951
3.541817176, 3.541903195
3.551817196, 3.551935582
3.561817209, 3.561909641
3.571817172, 3.571924430
3.581817206, 3.581910317
3.591817195, 3.591913856
3.601817177, 3.601886446
3.611817197, 3.611935083
3.621817189, 3.621931043
3.631817201, 3.631887349
3.641817189, 3.641890418
3.651817204, 3.651897717
3.661817177, 3.661928852
3.671817176, 3.671917897
3.681817209, 3.681928801
3.691817192, 3.691933968
3.701817191, 3.701898138
3.711817175, 3.711909643
3.721817200, 3.721907960
3.731817195, 3.731925207
3.741817204, 3.741890452
3.751817196, 3.751907678
3.761817197, 3.761913866
3.771817176, 3.771900597
3.781817202, 3.781930597
3.791817184, 3.791915799
3.801817199, 3.801891518
3.811817181, 3.811951223
3.821817212, 3.821912355
3.831817199, 3.831942392
3.841817177, 3.841915332
3.851817225, 3.851924499
3.861817212, 3.861904342
3.871817206, 3.871915290
3.881817202, 3.881942653
3.891817177, 3.891904236
3.901817202, 3.901937667
3.911817177, 3.911921969
3.921817197, 3.921905692
3.931817192, 3.931901112
3.941817175, 3.941889368
3.951817182, 3.951990443
3.961817179, 3.961927030
3.971817179, 3.971897482
3.981817210, 3.981947885
3.991817190, 3.991941555
4.001825011, 4.001968164
4.011817205, 4.011899881
4.021839702, 4.021977865
4.031817190, 4.031890627
4.041817192, 4.041928170
4.051817195, 4.051915125
4.061817196, 4.061915733
4.071817194, 4.071879456
4.081817192, 4.081972460
4.091817196, 4.091913050
4.101817197, 4.101960621
4.111817196, 4.111879028
4.121822542, 4.121994249
4.131817195, 4.131935031
4.141817195, 4.141908770
4.151817194, 4.151879072
4.161817199, 4.161881117
4.171817195, 4.171934031
4.181817196, 4.181889100
4.191818402, 4.191932964
4.201817194, 4.201978157
4.211817194, 4.211919942
4.221817194, 4.221909075
4.231817190, 4.231953874
4.241817189, 4.241892832
4.251818983, 4.251996111
4.261817923, 4.261918243
4.271817177, 4.271900297
4.281817197, 4.281923753
4.291817192, 4.291922349
4.301817194, 4.301884258
4.311817194, 4.311948201
4.321817190, 4.321878911
4.331817196, 4.331911073
4.341817196, 4.341935168
4.351817202, 4.351907320
4.361826595, 4.361903010
4.371817192, 4.371914739
4.381817191, 4.381917488
4.391817194, 4.391987755
4.401817190, 4.401920628
4.411817200, 4.411933729
4.421817195, 4.421911358
4.431817195, 4.431884120
