------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.100 sec; SentMessages=1011; ReceivedMessages=1010
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.990 sec; SentMessages=1000; ReceivedMessages=1000
sockperf: [2;35m====> avg-lat=121.228 (std-dev=29.294)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 1000 observations[0m; each percentile contains 10.00 observations
sockperf: ---> <MAX> observation =  206.879
sockperf: ---> percentile 99.999 =  206.879
sockperf: ---> percentile 99.990 =  206.879
sockperf: ---> percentile 99.900 =  202.911
sockperf: ---> percentile 99.000 =  186.782
sockperf: ---> percentile 90.000 =  158.989
sockperf: ---> percentile 75.000 =  140.877
sockperf: ---> percentile 50.000 =  120.960
sockperf: ---> percentile 25.000 =  101.475
sockperf: ---> <MIN> observation =   30.231
------------------------------
txTime, rxTime
2.062024595, 2.062150927
2.072024599, 2.072230620
2.082024599, 2.082285902
2.092024603, 2.092223855
2.102024610, 2.102218332
2.112024616, 2.112204302
2.122024616, 2.122155995
2.132024613, 2.132137967
2.142024599, 2.142249141
2.152024605, 2.152262678
2.162024604, 2.162302261
2.172024599, 2.172256114
2.182024600, 2.182171564
2.192024618, 2.192153162
2.202024608, 2.202164213
2.212024613, 2.212244431
2.222024598, 2.222298839
2.232024592, 2.232157166
2.242024596, 2.242221547
2.252024601, 2.252250967
2.262024589, 2.262141363
2.272024611, 2.272254202
2.282024616, 2.282216970
2.292024613, 2.292302855
2.302024610, 2.302210901
2.312024618, 2.312286590
2.322024606, 2.322286189
2.332024610, 2.332278146
2.342024615, 2.342316851
2.352024615, 2.352311777
2.362024591, 2.362144965
2.372024613, 2.372246996
2.382024606, 2.382225265
2.392024614, 2.392337203
2.402024610, 2.402363657
2.412024610, 2.412260458
2.422024614, 2.422196533
2.432024619, 2.432276767
2.442024609, 2.442139904
2.452024609, 2.452285996
2.462024610, 2.462150882
2.472024610, 2.472273823
2.482024611, 2.482284962
2.492024606, 2.492223727
2.502024619, 2.502340980
2.512024608, 2.512219811
2.522024611, 2.522248155
2.532024601, 2.532176392
2.542024626, 2.542230690
2.552024610, 2.552377969
2.562024614, 2.562217135
2.572024611, 2.572225042
2.582024609, 2.582262975
2.592024633, 2.592293702
2.602024618, 2.602309934
2.612024614, 2.612230777
2.622024618, 2.622264319
2.632024628, 2.632311088
2.642024613, 2.642284618
2.652030106, 2.652358796
2.662024618, 2.662276211
2.672024614, 2.672236107
2.682024596, 2.682277672
2.692024690, 2.692339501
2.702024613, 2.702324860
2.712025482, 2.712342333
2.722024633, 2.722338091
2.732024613, 2.732352081
2.742024613, 2.742307810
2.752024614, 2.752277618
2.762024619, 2.762249182
2.772024609, 2.772329878
2.782024616, 2.782332029
2.792024609, 2.792198198
2.802024615, 2.802305693
2.812024618, 2.812302662
2.822024595, 2.822262091
2.832024609, 2.832293703
2.842024611, 2.842223527
2.852024613, 2.852353983
2.862024609, 2.862337926
2.872024610, 2.872195051
2.882024611, 2.882296957
2.892034887, 2.892408453
2.902024616, 2.902199073
2.912025046, 2.912347598
2.922024611, 2.922320931
2.932024683, 2.932265582
2.942024609, 2.942307965
2.952025450, 2.952335410
2.962024619, 2.962211617
2.972025155, 2.972235463
2.982024608, 2.982225519
2.992024606, 2.992363201
3.002024616, 3.002207209
3.012024616, 3.012243611
3.022024609, 3.022232626
3.032024616, 3.032246505
3.042024608, 3.042297411
3.052024611, 3.052345572
3.062024608, 3.062295711
3.072024618, 3.072264254
3.082030592, 3.082269283
3.092024608, 3.092227097
3.102024611, 3.102393685
3.112024610, 3.112374449
3.122024594, 3.122135451
3.132024621, 3.132245907
3.142024592, 3.142320803
3.152024618, 3.152335161
3.162024604, 3.162290059
3.172024599, 3.172369952
3.182024608, 3.182306850
3.192024615, 3.192361126
3.202024606, 3.202255312
3.212024611, 3.212256673
3.222024620, 3.222154686
3.232024600, 3.232344210
3.242024610, 3.242308850
3.252024611, 3.252251226
3.262024623, 3.262366859
3.272024609, 3.272234666
3.282024611, 3.282321288
3.292024614, 3.292268900
3.302024609, 3.302130219
3.312024616, 3.312320785
3.322024606, 3.322302552
3.332024610, 3.332307672
3.342024616, 3.342333113
3.352025767, 3.352318230
3.362024608, 3.362240673
3.372024615, 3.372224451
3.382024599, 3.382220841
3.392024611, 3.392321781
3.402024598, 3.402195058
3.412024613, 3.412223784
3.422024614, 3.422225417
3.432024615, 3.432263858
3.442031571, 3.442392149
3.452024611, 3.452380957
3.462024606, 3.462305755
3.472024611, 3.472170830
3.482024606, 3.482294567
3.492024613, 3.492263809
3.502024613, 3.502213330
3.512024624, 3.512260124
3.522024611, 3.522332627
3.532024611, 3.532282685
3.542024606, 3.542230676
3.552024614, 3.552234211
3.562024618, 3.562430440
3.572024623, 3.572321638
3.582024616, 3.582301627
3.592024618, 3.592198300
3.602024613, 3.602221168
3.612024614, 3.612232075
3.622024618, 3.622265646
3.632024618, 3.632189596
3.642024615, 3.642276607
3.652024609, 3.652217376
3.662030403, 3.662322837
3.672024608, 3.672174339
3.682024615, 3.682296949
3.692024618, 3.692171806
3.702024618, 3.702280667
3.712024616, 3.712257037
3.722024620, 3.722239743
3.732024614, 3.732230990
3.742024616, 3.742194824
3.752026293, 3.752273809
3.762024609, 3.762319042
3.772024616, 3.772314298
3.782024618, 3.782170884
3.792024616, 3.792134690
3.802024608, 3.802232734
3.812024613, 3.812190001
3.822024613, 3.822258290
3.832024646, 3.832316141
3.842024638, 3.842214355
3.852024615, 3.852193050
3.862024601, 3.862294881
3.872031835, 3.872287660
3.882024608, 3.882235173
3.892024614, 3.892260964
3.902024623, 3.902256868
3.912024618, 3.912342650
3.922024611, 3.922278317
3.932024618, 3.932164556
3.942024618, 3.942228551
3.952024615, 3.952276354
3.962024618, 3.962361565
3.972024611, 3.972170854
3.982024639, 3.982260088
3.992024610, 3.992201996
4.002024613, 4.002233073
4.012024618, 4.012298490
4.022024609, 4.022211875
4.032024634, 4.032266191
4.042024616, 4.042263959
4.052028484, 4.052236180
4.062024613, 4.062340615
4.072024610, 4.072287456
4.082024609, 4.082263814
4.092024611, 4.092245290
4.102024609, 4.102198771
4.112024616, 4.112237671
4.122024616, 4.122288477
4.132024610, 4.132333144
4.142024619, 4.142384207
4.152024610, 4.152362550
4.162024610, 4.162198608
4.172024618, 4.172269685
4.182024611, 4.182352035
4.192024609, 4.192330051
4.202024614, 4.202294945
4.212024609, 4.212130036
4.222024616, 4.222235469
4.232024609, 4.232342588
4.242024613, 4.242173147
4.252024616, 4.252205047
4.262024618, 4.262265282
4.272024618, 4.272233348
4.282024615, 4.282393544
4.292024628, 4.292247528
4.302024618, 4.302386865
4.312024615, 4.312260149
4.322024609, 4.322258694
4.332024618, 4.332280640
4.342028058, 4.342360320
4.352024631, 4.352294688
4.362024608, 4.362341027
4.372024613, 4.372319058
4.382024611, 4.382274201
4.392024596, 4.392250103
4.402024616, 4.402307530
4.412030244, 4.412286837
4.422024613, 4.422347451
4.432024615, 4.432255327
4.442024591, 4.442236583
4.452024608, 4.452277746
4.462024609, 4.462270854
4.472024608, 4.472223658
4.482028583, 4.482341971
4.492024613, 4.492249394
4.502024618, 4.502367966
4.512024609, 4.512305758
4.522024611, 4.522292782
4.532024611, 4.532308135
4.542024610, 4.542337439
4.552024619, 4.552397055
4.562024614, 4.562242232
4.572024618, 4.572320577
4.582024610, 4.582328290
4.592032375, 4.592292578
4.602024615, 4.602211202
4.612024614, 4.612271831
4.622024614, 4.622340749
4.632024615, 4.632217001
4.642024613, 4.642327719
4.652024616, 4.652254386
4.662024598, 4.662214135
4.672024613, 4.672279852
4.682024600, 4.682391701
4.692024601, 4.692283897
4.702024613, 4.702315056
4.712024618, 4.712265146
4.722024615, 4.722238678
4.732024616, 4.732352856
4.742024618, 4.742248176
4.752024618, 4.752286510
4.762024618, 4.762289737
4.772024611, 4.772277875
4.782024618, 4.782331112
4.792024608, 4.792221078
4.802024613, 4.802281704
4.812024616, 4.812213645
4.822028667, 4.822406071
4.832024615, 4.832279265
4.842024618, 4.842338351
4.852024609, 4.852249895
4.862029568, 4.862335231
4.872024616, 4.872255396
4.882024609, 4.882254652
4.892024616, 4.892229292
4.902024610, 4.902381206
4.912024614, 4.912265580
4.922024615, 4.922388137
4.932024606, 4.932306923
4.942024613, 4.942267343
4.952024611, 4.952227563
4.962024608, 4.962215431
4.972024610, 4.972311428
4.982024614, 4.982301870
4.992024609, 4.992235984
5.002030469, 5.002411259
5.012024611, 5.012344538
5.022024599, 5.022300439
5.032024598, 5.032369477
5.042024592, 5.042256836
5.052024613, 5.052269163
5.062024616, 5.062279577
5.072024609, 5.072245436
5.082024610, 5.082299496
5.092024615, 5.092265594
5.102024613, 5.102227059
5.112024686, 5.112224091
5.122024613, 5.122248065
5.132024610, 5.132261250
5.142024618, 5.142224271
5.152024615, 5.152302499
5.162024613, 5.162222732
5.172024613, 5.172312971
5.182024606, 5.182226635
5.192024615, 5.192298277
5.202024616, 5.202261704
5.212024611, 5.212241252
5.222024611, 5.222183750
5.232024611, 5.232265601
5.242024614, 5.242207042
5.252024613, 5.252166166
5.262024614, 5.262180369
5.272024610, 5.272189888
5.282024609, 5.282221820
5.292024613, 5.292226447
5.302024611, 5.302306246
5.312024613, 5.312229501
5.322024615, 5.322341140
5.332024609, 5.332233101
5.342024599, 5.342239206
5.352024610, 5.352303680
5.362024600, 5.362125800
5.372024613, 5.372179994
5.382024610, 5.382298220
5.392024618, 5.392234435
5.402024614, 5.402239882
5.412024611, 5.412277294
5.422024618, 5.422250186
5.432024608, 5.432328018
5.442024615, 5.442362572
5.452024613, 5.452210017
5.462024611, 5.462363501
5.472024611, 5.472384096
5.482024614, 5.482332396
5.492024611, 5.492266329
5.502024613, 5.502206306
5.512024681, 5.512269069
5.522024615, 5.522200797
5.532024614, 5.532185442
5.542024611, 5.542331643
5.552024615, 5.552295951
5.562024618, 5.562416780
5.572024614, 5.572395516
5.582024613, 5.582236167
5.592024618, 5.592134614
5.602033564, 5.602335734
5.612024613, 5.612327705
5.622024592, 5.622239523
5.632024596, 5.632236406
5.642024596, 5.642188703
5.652024603, 5.652232106
5.662024618, 5.662210686
5.672024616, 5.672263772
5.682024611, 5.682298006
5.692024619, 5.692293075
5.702024609, 5.702381233
5.712024618, 5.712339457
5.722024614, 5.722293626
5.732024619, 5.732257575
5.742024606, 5.742306723
5.752024620, 5.752320166
5.762024611, 5.762343222
5.772024615, 5.772299169
5.782024623, 5.782283905
5.792024610, 5.792365767
5.802024616, 5.802264554
5.812024610, 5.812342540
5.822024618, 5.822324532
5.832024620, 5.832354428
5.842027023, 5.842305162
5.852024615, 5.852280607
5.862024623, 5.862306587
5.872030497, 5.872277760
5.882024616, 5.882194833
5.892024618, 5.892267305
5.902026457, 5.902414469
5.912024620, 5.912277835
5.922024616, 5.922236926
5.932024611, 5.932220040
5.942024610, 5.942298064
5.952024589, 5.952263021
5.962024595, 5.962268485
5.972024610, 5.972183808
5.982024609, 5.982205874
5.992024606, 5.992337734
6.002024610, 6.002289625
6.012024610, 6.012272045
6.022024606, 6.022300574
6.032024610, 6.032312303
6.042024611, 6.042234298
6.052024611, 6.052290820
6.062024613, 6.062326287
6.072024618, 6.072203626
6.082024613, 6.082094619
6.092024614, 6.092121243
6.102024608, 6.102277816
6.112027962, 6.112264111
6.122024619, 6.122246260
6.132024611, 6.132199664
6.142024616, 6.142200743
6.152025228, 6.152188520
6.162024615, 6.162280689
6.172024615, 6.172085078
6.182031223, 6.182375626
6.192024611, 6.192369963
6.202024615, 6.202283967
6.212024608, 6.212211296
6.222024616, 6.222277405
6.232024615, 6.232118287
6.242024609, 6.242267069
6.252024611, 6.252299813
6.262024611, 6.262239640
6.272024618, 6.272286788
6.282024606, 6.282206222
6.292024614, 6.292288100
6.302024614, 6.302261612
6.312024615, 6.312228715
6.322024610, 6.322284073
6.332024611, 6.332242058
6.342024610, 6.342214388
6.352024614, 6.352311668
6.362024618, 6.362207127
6.372024614, 6.372286002
6.382024618, 6.382184476
6.392024609, 6.392280718
6.402028894, 6.402292171
6.412024615, 6.412272976
6.422024613, 6.422172180
6.432024611, 6.432247625
6.442024608, 6.442194631
6.452024609, 6.452178040
6.462024618, 6.462239701
6.472024610, 6.472381321
6.482024613, 6.482270086
6.492024618, 6.492277364
6.502024610, 6.502306365
6.512024615, 6.512269387
6.522024616, 6.522259611
6.532024595, 6.532209815
6.542024615, 6.542268420
6.552024616, 6.552222839
6.562024615, 6.562246329
6.572024614, 6.572316226
6.582024610, 6.582294011
6.592024610, 6.592199466
6.602025413, 6.602274830
6.612024614, 6.612228896
6.622024595, 6.622211184
6.632024614, 6.632219228
6.642024619, 6.642297125
6.652024606, 6.652086816
6.662024606, 6.662202208
6.672024613, 6.672275202
6.682024614, 6.682355472
6.692024614, 6.692300998
6.702024613, 6.702199768
6.712024608, 6.712229455
6.722024609, 6.722275136
6.732024610, 6.732259709
6.742024606, 6.742183098
6.752024609, 6.752250271
6.762024610, 6.762282465
6.772024606, 6.772183456
6.782024606, 6.782283326
6.792024618, 6.792277885
6.802024610, 6.802325357
6.812024611, 6.812223748
6.822024601, 6.822255247
6.832024605, 6.832164820
6.842024610, 6.842248521
