------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.100 sec; SentMessages=1011; ReceivedMessages=1010
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.992 sec; SentMessages=1000; ReceivedMessages=1000
sockperf: [2;35m====> avg-lat=874.786 (std-dev=44.101)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 1000 observations[0m; each percentile contains 10.00 observations
sockperf: ---> <MAX> observation = 1015.967
sockperf: ---> percentile 99.999 = 1015.967
sockperf: ---> percentile 99.990 = 1015.967
sockperf: ---> percentile 99.900 = 1004.525
sockperf: ---> percentile 99.000 =  982.912
sockperf: ---> percentile 90.000 =  943.075
sockperf: ---> percentile 75.000 =  902.867
sockperf: ---> percentile 50.000 =  866.263
sockperf: ---> percentile 25.000 =  842.054
sockperf: ---> <MIN> observation =  768.487
------------------------------
txTime, rxTime
2.063324580, 2.065171739
2.073324580, 2.074948781
2.083324587, 2.085212698
2.093324592, 2.094939213
2.103324584, 2.104995083
2.113324584, 2.115219878
2.123324594, 2.124953854
2.133325787, 2.135216423
2.143324585, 2.144928863
2.153324582, 2.155142225
2.163324585, 2.165013590
2.173324594, 2.174976721
2.183324595, 2.185233725
2.193324588, 2.194926769
2.203324585, 2.205029778
2.213325270, 2.215050090
2.223324584, 2.225013397
2.233324594, 2.235057394
2.243324590, 2.245257025
2.253324583, 2.254984050
2.263324580, 2.265160606
2.273324601, 2.275023662
2.283324595, 2.285006748
2.293324589, 2.295225043
2.303324584, 2.305015444
2.313324593, 2.315046071
2.323324592, 2.325010269
2.333324589, 2.335010133
2.343324580, 2.345021808
2.353324583, 2.355166684
2.363325425, 2.365054014
2.373324597, 2.375184839
2.383324579, 2.384999115
2.393324603, 2.394997699
2.403324589, 2.404962522
2.413324595, 2.414960251
2.423324646, 2.425210797
2.433324590, 2.435093072
2.443324578, 2.444951462
2.453324604, 2.455026513
2.463325192, 2.465131831
2.473324583, 2.475049907
2.483324588, 2.485077629
2.493324573, 2.495059646
2.503324582, 2.505048988
2.513324597, 2.514976923
2.523324585, 2.525158763
2.533324582, 2.535149124
2.543324575, 2.544980411
2.553324593, 2.555040284
2.563324590, 2.564989270
2.573324584, 2.574965638
2.583324592, 2.585094381
2.593324583, 2.595123891
2.603324597, 2.605012649
2.613324578, 2.615235014
2.623331472, 2.625068447
2.633324584, 2.635048565
2.643324575, 2.645064971
2.653324601, 2.655053253
2.663324603, 2.665024578
2.673324594, 2.675076658
2.683324582, 2.685009769
2.693324584, 2.695019534
2.703324584, 2.705192691
2.713324593, 2.714995665
2.723324597, 2.725057617
2.733324587, 2.734996859
2.743324583, 2.744993109
2.753324592, 2.754959107
2.763333931, 2.765104661
2.773324585, 2.775139724
2.783324585, 2.785254328
2.793324580, 2.794995345
2.803324593, 2.805191916
2.813324575, 2.815085922
2.823324579, 2.825085362
2.833324582, 2.835216531
2.843324574, 2.845078319
2.853324583, 2.854985313
