------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.100 sec; SentMessages=1011; ReceivedMessages=1010
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.992 sec; SentMessages=1000; ReceivedMessages=1000
sockperf: [2;35m====> avg-lat=838.273 (std-dev=20.729)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 1000 observations[0m; each percentile contains 10.00 observations
sockperf: ---> <MAX> observation =  900.031
sockperf: ---> percentile 99.999 =  900.031
sockperf: ---> percentile 99.990 =  900.031
sockperf: ---> percentile 99.900 =  893.756
sockperf: ---> percentile 99.000 =  881.325
sockperf: ---> percentile 90.000 =  865.368
sockperf: ---> percentile 75.000 =  852.187
sockperf: ---> percentile 50.000 =  838.370
sockperf: ---> percentile 25.000 =  823.324
sockperf: ---> <MIN> observation =  785.872
------------------------------
txTime, rxTime
2.063538817, 2.065281169
2.073538818, 2.075186642
2.083538815, 2.085230010
2.093538813, 2.095203452
2.103538817, 2.105131502
2.113538819, 2.115277018
2.123538811, 2.125268336
2.133538824, 2.135217861
2.143538820, 2.145182268
2.153538820, 2.155180563
2.163538821, 2.165224793
2.173538819, 2.175179721
2.183538817, 2.185157378
2.193538813, 2.195162571
2.203538818, 2.205234557
2.213538813, 2.215230155
2.223538819, 2.225167031
2.233538814, 2.235244515
2.243538821, 2.245215365
2.253538817, 2.255142557
2.263538819, 2.265199960
2.273538815, 2.275194053
2.283538822, 2.285173320
2.293538816, 2.295165242
2.303538817, 2.305224396
2.313538821, 2.315185929
2.323538824, 2.325272365
2.333538813, 2.335213195
2.343538818, 2.345209971
2.353538821, 2.355232071
2.363538821, 2.365229858
2.373538821, 2.375244983
2.383538821, 2.385145972
2.393538815, 2.395174358
2.403538816, 2.405180230
2.413538816, 2.415281747
2.423538823, 2.425219779
2.433538812, 2.435216712
2.443538820, 2.445152395
