------------------------------
test was performed using the following parameters: --mps=600000 --burst=1 --reply-every=1 --msg-size=14 --time=30
------------------------------
sockperf: [Total Run] RunTime=30.100 sec; SentMessages=17038; ReceivedMessages=17037
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=30.098 sec; SentMessages=17037; ReceivedMessages=17037
sockperf: [2;35m====> avg-lat=883.107 (std-dev=24.733)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 17037 observations[0m; each percentile contains 170.37 observations
sockperf: ---> <MAX> observation = 1220.510
sockperf: ---> percentile 99.999 = 1220.510
sockperf: ---> percentile 99.990 = 1051.500
sockperf: ---> percentile 99.900 =  941.859
sockperf: ---> percentile 99.000 =  927.800
sockperf: ---> percentile 90.000 =  912.410
sockperf: ---> percentile 75.000 =  894.909
sockperf: ---> percentile 50.000 =  886.830
sockperf: ---> percentile 25.000 =  879.640
sockperf: ---> <MIN> observation =  803.840
------------------------------
txTime, rxTime
264940.554153304, 264940.555951323
264940.555952143, 264940.557772603
264940.557773603, 264940.559486922
264940.559487282, 264940.561257202
264940.561257622, 264940.563049962
264940.563050622, 264940.564823461
264940.564824261, 264940.566641101
264940.566641481, 264940.568414681
264940.568415121, 264940.570217300
264940.570217960, 264940.571988800
264940.571989620, 264940.573758360
264940.573758740, 264940.575488519
264940.575488919, 264940.577269039
264940.577269799, 264940.579088978
264940.579089298, 264940.580813058
264940.580813478, 264940.582579178
264940.582579558, 264940.584360977
264940.584361637, 264940.586127157
264940.586127497, 264940.587959757
264940.587960197, 264940.589765996
264940.589766736, 264940.591530036
264940.591530776, 264940.593344596
264940.593345056, 264940.595074815
264940.595075075, 264940.596824755
264940.596825315, 264940.598574335
264940.598574835, 264940.600407954
264940.600408274, 264940.602139354
264940.602139734, 264940.603918773
264940.603919573, 264940.605688133
264940.605688593, 264940.607463213
264940.607463573, 264940.609315012
264940.609315372, 264940.611084972
264940.611085252, 264940.612880852
264940.612881152, 264940.614655091
264940.614655391, 264940.616443171
264940.616443451, 264940.618173291
264940.618173611, 264940.619940130
264940.619940430, 264940.621769830
264940.621770170, 264940.623503989
264940.623504689, 264940.625264469
264940.625264809, 264940.627040789
264940.627041189, 264940.628833608
264940.628834228, 264940.630655708
264940.630655908, 264940.632446848
264940.632447148, 264940.634227927
264940.634228187, 264940.636012527
264940.636012927, 264940.637791767
264940.637792007, 264940.639508146
264940.639508466, 264940.641285466
264940.641285806, 264940.643147305
264940.643147665, 264940.644864645
264940.644865025, 264940.646631585
264940.646632005, 264940.648425144
264940.648425744, 264940.650195144
264940.650196084, 264940.652031324
264940.652031644, 264940.653798543
264940.653798783, 264940.655600623
264940.655600863, 264940.657383283
264940.657383643, 264940.659157242
264940.659157482, 264940.660875862
264940.660876362, 264940.662671201
264940.662671841, 264940.664490081
264940.664490481, 264940.666214861
264940.666215261, 264940.667987440
264940.667987900, 264940.669787900
264940.669788520, 264940.671559620
264940.671560060, 264940.673387259
264940.673387499, 264940.675181439
264940.675181719, 264940.676968719
264940.676968959, 264940.678744878
264940.678745258, 264940.680518438
264940.680518758, 264940.682273937
264940.682274837, 264940.684026937
264940.684027437, 264940.685856437
264940.685856737, 264940.687577696
264940.687578076, 264940.689367536
264940.689368376, 264940.691129956
264940.691130376, 264940.692908775
264940.692909235, 264940.694754575
264940.694754895, 264940.696531435
264940.696531655, 264940.698309814
264940.698310054, 264940.700095514
264940.700095834, 264940.701881513
264940.701881733, 264940.703605793
264940.703606133, 264940.705376193
264940.705376693, 264940.707205532
264940.707205892, 264940.708945872
264940.708946812, 264940.710705252
264940.710705592, 264940.712477831
264940.712478231, 264940.714273111
264940.714273831, 264940.716104171
264940.716104491, 264940.717883210
264940.717883410, 264940.719658970
264940.719659210, 264940.721441609
264940.721441949, 264940.723228989
264940.723229189, 264940.724951269
264940.724951689, 264940.726719548
264940.726719988, 264940.728553968
264940.728554308, 264940.730277648
264940.730278088, 264940.732050447
264940.732050907, 264940.733841747
264940.733842387, 264940.735619427
264940.735620227, 264940.737437906
264940.737438246, 264940.739213306
264940.739213646, 264940.741007305
264940.741007525, 264940.742787925
264940.742788225, 264940.744568245
264940.744568585, 264940.746290644
264940.746291044, 264940.748079124
264940.748080004, 264940.749903144
264940.749903464, 264940.751632803
264940.751633103, 264940.753400963
264940.753401463, 264940.755216683
264940.755217503, 264940.756978382
264940.756978662, 264940.758806182
264940.758806422, 264940.760595221
264940.760595441, 264940.762407181
264940.762407421, 264940.764177821
264940.764178161, 264940.765954860
264940.765955100, 264940.767701940
264940.767702600, 264940.769456040
264940.769456340, 264940.771285199
264940.771285519, 264940.773008899
264940.773009199, 264940.774787179
264940.774787799, 264940.776552658
264940.776553118, 264940.778328338
264940.778328638, 264940.780182097
264940.780182437, 264940.781966317
264940.781966637, 264940.783741417
264940.783741657, 264940.785519716
264940.785520076, 264940.787299776
264940.787300016, 264940.789028016
264940.789028356, 264940.790794675
264940.790795155, 264940.792625275
264940.792625535, 264940.794359455
264940.794360115, 264940.796119154
264940.796119514, 264940.797890794
264940.797891154, 264940.799682173
264940.799682833, 264940.801506473
264940.801506873, 264940.803285513
264940.803285813, 264940.805078972
264940.805079272, 264940.806865512
264940.806865812, 264940.808656252
264940.808656532, 264940.810372411
264940.810372791, 264940.812143951
264940.812144471, 264940.813994411
264940.813994771, 264940.815713890
264940.815714250, 264940.817485510
264940.817485950, 264940.819275229
264940.819275849, 264940.821060349
