------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=20
------------------------------
sockperf: [Total Run] RunTime=20.100 sec; SentMessages=2011; ReceivedMessages=2010
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=19.990 sec; SentMessages=2000; ReceivedMessages=2000
sockperf: [2;35m====> avg-lat= 30.416 (std-dev=2.820)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 2000 observations[0m; each percentile contains 20.00 observations
sockperf: ---> <MAX> observation =   43.408
sockperf: ---> percentile 99.999 =   43.408
sockperf: ---> percentile 99.990 =   43.408
sockperf: ---> percentile 99.900 =   42.534
sockperf: ---> percentile 99.000 =   36.098
sockperf: ---> percentile 90.000 =   32.459
sockperf: ---> percentile 75.000 =   31.634
sockperf: ---> percentile 50.000 =   30.670
sockperf: ---> percentile 25.000 =   29.615
sockperf: ---> <MIN> observation =    8.908
------------------------------
txTime, rxTime
2.062104942, 2.062169892
2.072104930, 2.072168747
2.082104926, 2.082135047
2.092104945, 2.092170846
2.102104936, 2.102162517
2.112104938, 2.112165415
2.122104926, 2.122165481
2.132104934, 2.132161985
2.142104947, 2.142168171
2.152104941, 2.152168600
2.162104935, 2.162161910
2.172104932, 2.172164896
2.182104927, 2.182167840
2.192104930, 2.192160674
2.202104926, 2.202166290
2.212104927, 2.212167063
2.222104934, 2.222171396
2.232104943, 2.232162148
2.242104935, 2.242165204
2.252104928, 2.252149982
2.262104935, 2.262166298
2.272104932, 2.272164974
2.282104930, 2.282162783
2.292104934, 2.292167559
2.302104931, 2.302168092
2.312104931, 2.312163879
2.322104928, 2.322162252
2.332104932, 2.332166097
2.342104936, 2.342169325
2.352104935, 2.352163022
2.362104926, 2.362165571
2.372104928, 2.372166261
2.382104931, 2.382167577
2.392104934, 2.392162197
2.402104932, 2.402162109
2.412104929, 2.412168473
2.422104935, 2.422165245
2.432104927, 2.432169509
2.442104946, 2.442170197
2.452104927, 2.452166970
2.462104946, 2.462165003
2.472104940, 2.472168817
2.482104931, 2.482168197
2.492104934, 2.492166935
2.502104930, 2.502148989
2.512104927, 2.512166905
2.522104929, 2.522162916
2.532104931, 2.532166162
2.542104928, 2.542166698
2.552104925, 2.552166744
2.562104934, 2.562163169
2.572104932, 2.572166605
2.582104947, 2.582166051
