------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=20
------------------------------
sockperf: [Total Run] RunTime=20.100 sec; SentMessages=2011; ReceivedMessages=2010
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=19.990 sec; SentMessages=2000; ReceivedMessages=2000
sockperf: [2;35m====> avg-lat= 71.576 (std-dev=32.936)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 2000 observations[0m; each percentile contains 20.00 observations
sockperf: ---> <MAX> observation =  191.583
sockperf: ---> percentile 99.999 =  191.583
sockperf: ---> percentile 99.990 =  191.583
sockperf: ---> percentile 99.900 =  181.598
sockperf: ---> percentile 99.000 =  164.470
sockperf: ---> percentile 90.000 =  121.307
sockperf: ---> percentile 75.000 =   89.260
sockperf: ---> percentile 50.000 =   65.819
sockperf: ---> percentile 25.000 =   48.483
sockperf: ---> <MIN> observation =   11.815
------------------------------
txTime, rxTime
2.061921518, 2.062041957
2.071921517, 2.072018749
2.081921513, 2.082036284
2.091921510, 2.092032319
2.101921509, 2.102042365
2.111921514, 2.112030697
2.121921514, 2.122001947
2.131921515, 2.132019510
2.141921519, 2.142059849
2.151921511, 2.152067256
2.161921516, 2.162063695
2.171921515, 2.172032336
2.181921516, 2.182059967
2.191921517, 2.192095017
2.201921509, 2.202039846
2.211921515, 2.212020298
2.221921509, 2.222047606
2.231921523, 2.232031758
2.241921528, 2.242019809
2.251921511, 2.252009823
2.261921519, 2.262068255
2.271921517, 2.272053359
2.281921522, 2.282066496
2.291921514, 2.292047370
2.301921517, 2.302042002
2.311921520, 2.312102158
2.321921513, 2.322038389
2.331921511, 2.332078489
2.341921528, 2.342011644
2.351921511, 2.352036824
2.361921509, 2.362065276
2.371921526, 2.371995244
2.381921517, 2.382047305
2.391921517, 2.392003992
2.401921519, 2.402017976
2.411921515, 2.412046143
2.421921513, 2.422020106
2.431921515, 2.432015473
2.441921509, 2.442036627
2.451921511, 2.452084592
2.461921526, 2.462030264
2.471921520, 2.472026358
2.481921517, 2.482203480
2.491921529, 2.492121262
2.501921509, 2.502088918
2.511921515, 2.512074579
2.521921516, 2.522086243
