------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=20
------------------------------
sockperf: [Total Run] RunTime=20.100 sec; SentMessages=2011; ReceivedMessages=2010
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=19.990 sec; SentMessages=2000; ReceivedMessages=2000
sockperf: [2;35m====> avg-lat= 33.018 (std-dev=3.102)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 2000 observations[0m; each percentile contains 20.00 observations
sockperf: ---> <MAX> observation =   50.444
sockperf: ---> percentile 99.999 =   50.444
sockperf: ---> percentile 99.990 =   50.444
sockperf: ---> percentile 99.900 =   42.074
sockperf: ---> percentile 99.000 =   38.115
sockperf: ---> percentile 90.000 =   36.130
sockperf: ---> percentile 75.000 =   34.775
sockperf: ---> percentile 50.000 =   33.155
sockperf: ---> percentile 25.000 =   31.765
sockperf: ---> <MIN> observation =   10.815
------------------------------
txTime, rxTime
2.061852947, 2.061918789
2.071852943, 2.071923528
2.081852944, 2.081917773
2.091852948, 2.091920225
2.101852946, 2.101920736
2.111852943, 2.111924080
2.121852941, 2.121919776
2.131852942, 2.131919507
2.141852954, 2.141922938
2.151852945, 2.151925911
2.161852942, 2.161911670
2.171852945, 2.171914113
2.181852950, 2.181924460
2.191852949, 2.191915790
2.201852942, 2.201922838
2.211852947, 2.211916720
2.221852943, 2.221928814
2.231852946, 2.231920729
2.241852942, 2.241921032
2.251852947, 2.251919100
2.261852943, 2.261924488
2.271852949, 2.271925731
2.281852951, 2.281913358
2.291852944, 2.291924312
2.301852946, 2.301920359
2.311852951, 2.311925919
2.321852944, 2.321918445
2.331852948, 2.331924604
2.341852947, 2.341919190
2.351852948, 2.351914676
2.361852945, 2.361925608
2.371852947, 2.371915811
2.381852946, 2.381924500
2.391852943, 2.391917042
2.401852951, 2.401918717
2.411852950, 2.411918309
2.421852946, 2.421882226
2.431852951, 2.431919440
2.441852945, 2.441911971
2.451852942, 2.451918826
2.461852947, 2.461912221
2.471852951, 2.471909497
2.481852941, 2.481913146
2.491852944, 2.491881553
2.501852952, 2.501883313
2.511852945, 2.511919097
2.521852949, 2.521917170
2.531852951, 2.531915867
2.541852948, 2.541918545
2.551852944, 2.551920075
2.561852951, 2.561919133
2.571852949, 2.571917850
2.581852943, 2.581916251
2.591852943, 2.591882770
2.601852941, 2.601885511
2.611852942, 2.611916555
2.621852950, 2.621926436
2.631852949, 2.631916371
2.641852949, 2.641921409
2.651852945, 2.651921747
2.661852944, 2.661924041
2.671852951, 2.671919853
2.681852942, 2.681913748
2.691852942, 2.691915794
2.701852946, 2.701916268
2.711852945, 2.711927981
2.721852941, 2.721917434
2.731852948, 2.731923353
2.741852947, 2.741921833
2.751852946, 2.751927087
2.761852951, 2.761921188
2.771852942, 2.771918674
2.781852949, 2.781927497
2.791852943, 2.791919958
2.801852951, 2.801917741
2.811852945, 2.811923107
2.821852944, 2.821919499
2.831852945, 2.831915134
2.841853005, 2.841926191
2.851852958, 2.851917660
2.861852944, 2.861923045
2.871852945, 2.871926812
2.881852941, 2.881919725
2.891852939, 2.891925168
2.901852955, 2.901920826
2.911852943, 2.911921805
2.921852951, 2.921924847
2.931852948, 2.931918006
2.941852950, 2.941919273
2.951852952, 2.951917843
2.961852951, 2.961920105
2.971852944, 2.971916815
2.981852943, 2.981916231
2.991852948, 2.991925271
3.001852944, 3.001919667
3.011852948, 3.011923585
3.021852949, 3.021915758
3.031852945, 3.031919514
3.041852945, 3.041912572
3.051852950, 3.051919550
3.061852943, 3.061920360
3.071852948, 3.071917275
3.081852945, 3.081911690
3.091852948, 3.091918637
3.101852944, 3.101917724
3.111852946, 3.111918565
3.121852944, 3.121933384
3.131852945, 3.131910568
3.141852950, 3.141920373
3.151852949, 3.151920608
3.161852945, 3.161919949
3.171852947, 3.171918671
3.181852947, 3.181917873
3.191852964, 3.191925683
3.201852954, 3.201918674
3.211852942, 3.211913303
3.221852950, 3.221921463
3.231852949, 3.231922462
3.241852951, 3.241926811
3.251852945, 3.251917791
3.261852944, 3.261927122
3.271852946, 3.271925455
3.281852951, 3.281917949
3.291852950, 3.291920337
3.301852947, 3.301926270
3.311852948, 3.311922727
3.321852944, 3.321912143
3.331852950, 3.331919145
3.341852946, 3.341917543
3.351852951, 3.351924677
3.361852945, 3.361917835
3.371852947, 3.371924761
3.381852952, 3.381918093
3.391852951, 3.391919646
3.401852949, 3.401911637
3.411852942, 3.411915692
3.421852943, 3.421925710
3.431852951, 3.431916696
3.441852941, 3.441919226
3.451852944, 3.451910807
3.461852949, 3.461919534
3.471852949, 3.471920645
3.481852949, 3.481914047
3.491853042, 3.491921218
3.501852949, 3.501927841
3.511852952, 3.511919494
3.521852949, 3.521920818
3.531852948, 3.531917969
3.541852951, 3.541914736
3.551852948, 3.551927511
3.561852945, 3.561917923
3.571852951, 3.571937099
3.581852948, 3.581917851
3.591852948, 3.591917017
3.601852948, 3.601919619
3.611852944, 3.611913226
3.621852949, 3.621921997
3.631852946, 3.631915260
3.641852949, 3.641927107
3.651852945, 3.651911645
3.661852949, 3.661921744
3.671852943, 3.671925384
3.681852944, 3.681912948
3.691852942, 3.691920465
3.701852946, 3.701920293
3.711852945, 3.711921154
3.721852942, 3.721921027
3.731852944, 3.731917653
3.741852944, 3.741919528
3.751852949, 3.751910906
3.761852945, 3.761920125
3.771852950, 3.771916773
3.781852947, 3.781921985
3.791852951, 3.791918492
3.801852945, 3.801916840
3.811852948, 3.811917174
3.821852946, 3.821916136
3.831852943, 3.831917805
3.841852951, 3.841916038
3.851852950, 3.851918710
3.861852944, 3.861921101
3.871852943, 3.871913591
3.881852949, 3.881920563
3.891852945, 3.891917025
3.901852944, 3.901922577
3.911852946, 3.911916861
3.921852944, 3.921910672
3.931852942, 3.931914004
3.941852944, 3.941915669
3.951852940, 3.951916326
3.961852951, 3.961925104
3.971852948, 3.971920400
3.981852949, 3.981916791
3.991852951, 3.991919036
4.001852945, 4.001922885
4.011852950, 4.011922162
4.021852945, 4.021920332
4.031852949, 4.031917609
4.041852952, 4.041915858
4.051853013, 4.051878368
