------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=20
------------------------------
sockperf: [Total Run] RunTime=20.100 sec; SentMessages=2011; ReceivedMessages=2010
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=19.980 sec; SentMessages=1999; ReceivedMessages=1999
sockperf: [2;35m====> avg-lat= 32.510 (std-dev=3.571)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 1999 observations[0m; each percentile contains 19.99 observations
sockperf: ---> <MAX> observation =  111.780
sockperf: ---> percentile 99.999 =  111.780
sockperf: ---> percentile 99.990 =  111.780
sockperf: ---> percentile 99.900 =   58.399
sockperf: ---> percentile 99.000 =   39.871
sockperf: ---> percentile 90.000 =   35.411
sockperf: ---> percentile 75.000 =   33.704
sockperf: ---> percentile 50.000 =   32.356
sockperf: ---> percentile 25.000 =   30.996
sockperf: ---> <MIN> observation =   11.006
------------------------------
txTime, rxTime
2.061712010, 2.061778631
2.071712015, 2.071774192
2.081712010, 2.081778160
2.091712016, 2.091773250
2.101712011, 2.101774542
2.111712012, 2.111776958
2.121712008, 2.121772563
2.131712012, 2.131776817
2.141712017, 2.141778949
2.151712027, 2.151778122
2.161712012, 2.161773370
2.171712013, 2.171780338
2.181712009, 2.181785921
2.191712019, 2.191772415
2.201712015, 2.201781444
2.211712031, 2.211776524
2.221712031, 2.221773756
2.231712017, 2.231776299
2.241712018, 2.241778900
2.251712020, 2.251772593
2.261712014, 2.261777386
2.271712025, 2.271773940
2.281712024, 2.281774590
2.291712016, 2.291776475
2.301712015, 2.301777061
2.311712083, 2.311777692
2.321712012, 2.321778993
2.331712019, 2.331774392
2.341712021, 2.341780816
2.351712012, 2.351775691
2.361712015, 2.361770541
2.371712020, 2.371784249
2.381712014, 2.381770360
2.391712013, 2.391779809
2.401712012, 2.401776790
2.411712026, 2.411780576
2.421712014, 2.421775322
2.431712012, 2.431777106
2.441712012, 2.441782718
2.451712012, 2.451773422
2.461712017, 2.461771199
2.471712015, 2.471774617
2.481712009, 2.481776508
2.491712019, 2.491780422
2.501712017, 2.501769138
2.511712013, 2.511775504
2.521712017, 2.521776999
2.531712012, 2.531783909
2.541712014, 2.541777811
2.551712079, 2.551772946
2.561712013, 2.561779412
2.571712017, 2.571779498
2.581712014, 2.581770865
2.591712012, 2.591774023
2.601712007, 2.601779368
2.611712021, 2.611770917
2.621712016, 2.621779225
2.631712029, 2.631776755
2.641712015, 2.641783588
2.651712022, 2.651779998
2.661712011, 2.661774059
2.671712010, 2.671773590
2.681712014, 2.681774042
2.691712009, 2.691781430
2.701712013, 2.701776400
2.711712015, 2.711775689
2.721712082, 2.721774117
2.731712016, 2.731775870
2.741712011, 2.741775174
2.751712013, 2.751773631
2.761712012, 2.761773228
2.771712017, 2.771777022
2.781712026, 2.781776741
2.791712012, 2.791779348
2.801712010, 2.801776517
2.811712016, 2.811781796
2.821712015, 2.821776539
2.831712020, 2.831777268
2.841712007, 2.841772474
2.851712012, 2.851776330
