------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=20
------------------------------
sockperf: [Total Run] RunTime=20.100 sec; SentMessages=2011; ReceivedMessages=2010
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=19.980 sec; SentMessages=1999; ReceivedMessages=1999
sockperf: [2;35m====> avg-lat=117.369 (std-dev=8.082)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 1999 observations[0m; each percentile contains 19.99 observations
sockperf: ---> <MAX> observation =  152.837
sockperf: ---> percentile 99.999 =  152.837
sockperf: ---> percentile 99.990 =  152.837
sockperf: ---> percentile 99.900 =  146.672
sockperf: ---> percentile 99.000 =  137.464
sockperf: ---> percentile 90.000 =  127.603
sockperf: ---> percentile 75.000 =  122.427
sockperf: ---> percentile 50.000 =  117.352
sockperf: ---> percentile 25.000 =  112.110
sockperf: ---> <MIN> observation =   86.197
------------------------------
txTime, rxTime
2.061909801, 2.062142969
2.071909801, 2.072140309
2.081909786, 2.082135298
2.091909796, 2.092165644
2.101909804, 2.102160758
2.111909792, 2.112149902
2.121909805, 2.122135565
2.131909801, 2.132140670
2.141909805, 2.142139393
2.151909788, 2.152154643
2.161909798, 2.162131830
2.171909802, 2.172145896
2.181909796, 2.182141179
2.191909789, 2.192138311
2.201909808, 2.202143123
2.211909789, 2.212175087
2.221909792, 2.222160052
2.231909801, 2.232182446
2.241909806, 2.242157716
2.251909808, 2.252176557
2.261909788, 2.262163622
2.271909805, 2.272158131
2.281909788, 2.282136377
2.291909791, 2.292163467
2.301909795, 2.302143193
2.311909796, 2.312184061
2.321909788, 2.322124552
2.331909805, 2.332167778
2.341909809, 2.342173383
2.351909801, 2.352152242
2.361909802, 2.362179875
2.371909791, 2.372166373
2.381909810, 2.382132151
2.391909791, 2.392146891
2.401909804, 2.402138462
2.411909788, 2.412120183
2.421909786, 2.422158117
2.431909802, 2.432140581
2.441909807, 2.442110133
2.451909791, 2.452133093
2.461909788, 2.462133479
2.471909807, 2.472141600
2.481909804, 2.482138336
2.491909808, 2.492164472
2.501909805, 2.502144510
2.511909805, 2.512157426
2.521909798, 2.522135136
2.531909791, 2.532096476
2.541909789, 2.542138337
2.551909791, 2.552161147
2.561909791, 2.562139163
2.571909788, 2.572112191
2.581909804, 2.582146237
2.591909810, 2.592132861
2.601909792, 2.602132211
2.611909788, 2.612151642
2.621909789, 2.622152600
2.631909792, 2.632151124
2.641909807, 2.642137338
2.651909804, 2.652149981
2.661909805, 2.662145455
2.671909796, 2.672138360
2.681909807, 2.682140490
2.691909792, 2.692119370
2.701909809, 2.702165858
2.711909802, 2.712152635
