------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=20
------------------------------
sockperf: [Total Run] RunTime=20.100 sec; SentMessages=2011; ReceivedMessages=2010
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=19.990 sec; SentMessages=2000; ReceivedMessages=2000
sockperf: [2;35m====> avg-lat= 70.589 (std-dev=16.420)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 2000 observations[0m; each percentile contains 20.00 observations
sockperf: ---> <MAX> observation =  147.947
sockperf: ---> percentile 99.999 =  147.947
sockperf: ---> percentile 99.990 =  147.947
sockperf: ---> percentile 99.900 =  139.179
sockperf: ---> percentile 99.000 =  107.479
sockperf: ---> percentile 90.000 =   92.062
sockperf: ---> percentile 75.000 =   82.127
sockperf: ---> percentile 50.000 =   69.986
sockperf: ---> percentile 25.000 =   58.697
sockperf: ---> <MIN> observation =   27.488
------------------------------
txTime, rxTime
2.061920294, 2.062070137
2.071920323, 2.072053956
2.081920306, 2.082064139
2.091920311, 2.092032886
2.101920301, 2.102089181
2.111920292, 2.112085940
2.121920307, 2.122075416
2.131920311, 2.132040784
2.141920303, 2.142083079
2.151920289, 2.152055065
2.161920301, 2.162124486
2.171920293, 2.172049101
2.181920292, 2.182039532
2.191920292, 2.192088755
2.201920325, 2.202056915
2.211920293, 2.212107256
2.221920298, 2.222028651
2.231920292, 2.232057605
2.241920287, 2.242095781
2.251920291, 2.252081288
2.261920291, 2.262095907
2.271920307, 2.272070173
2.281920300, 2.282101115
2.291920302, 2.292102177
2.301920292, 2.302032282
2.311920305, 2.312039153
2.321920291, 2.322031514
2.331920292, 2.332020256
2.341920295, 2.342050496
2.351920297, 2.352033082
2.361920294, 2.362029327
2.371920297, 2.372031703
2.381920292, 2.382076801
2.391920290, 2.392091609
2.401920291, 2.402106180
2.411920289, 2.412100391
2.421920287, 2.422073726
2.431920289, 2.432067062
2.441920287, 2.442040416
2.451920324, 2.452109102
2.461920292, 2.462068157
2.471920295, 2.472099829
2.481920292, 2.482117138
2.491920295, 2.492057298
2.501920285, 2.502005601
2.511920290, 2.512105952
2.521920287, 2.522008625
2.531920290, 2.532041384
2.541920294, 2.542093177
2.551920289, 2.552054112
2.561920306, 2.562049546
2.571920302, 2.572060934
2.581920292, 2.582019623
2.591920289, 2.592067021
2.601920295, 2.602012283
2.611920323, 2.612087217
2.621920292, 2.622105025
2.631920289, 2.632020963
2.641920303, 2.642054700
2.651920312, 2.652090839
2.661920304, 2.662035905
2.671920302, 2.672067117
2.681920307, 2.682056985
2.691920292, 2.692103887
2.701920285, 2.702016987
2.711920289, 2.712061022
2.721920300, 2.722054492
2.731920301, 2.732070007
2.741920292, 2.742044769
2.751920292, 2.752023448
2.761920282, 2.762104924
2.771920287, 2.772058954
2.781920322, 2.782026130
2.791920289, 2.792030456
2.801920285, 2.802019188
2.811920293, 2.812047506
2.821920294, 2.822083162
2.831920290, 2.832034698
2.841920291, 2.842102006
2.851920293, 2.852050639
2.861920291, 2.862080444
2.871920296, 2.872056763
2.881920287, 2.882039081
2.891920292, 2.892096605
2.901920304, 2.902066422
2.911920307, 2.912042963
2.921920287, 2.922060232
2.931920295, 2.932056093
2.941920291, 2.942060425
2.951920293, 2.952090675
2.961920287, 2.962057461
2.971920324, 2.972017555
2.981920291, 2.982102738
2.991920296, 2.992033361
3.001920294, 3.002036673
3.011920289, 3.012072457
3.021920291, 3.022024076
3.031920290, 3.032024996
3.041920294, 3.042066111
3.051920293, 3.052059547
3.061920282, 3.062083401
3.071920290, 3.072117982
3.081920316, 3.082037966
3.091920296, 3.092027702
3.101920304, 3.102026238
3.111920295, 3.112068976
3.121920285, 3.122070480
3.131920292, 3.132058273
3.141920304, 3.142075389
3.151920289, 3.152094328
3.161920300, 3.162065941
3.171920305, 3.172036118
3.181920285, 3.182018671
3.191920293, 3.192084238
3.201920295, 3.202091664
3.211920287, 3.212063472
3.221920287, 3.222098379
3.231920309, 3.232082382
3.241920302, 3.242053573
3.251920301, 3.252072055
3.261920294, 3.262091162
3.271920287, 3.272113300
3.281920294, 3.282061857
3.291920293, 3.292095469
3.301920287, 3.302057534
3.311920295, 3.312078444
3.321920295, 3.322084809
3.331920285, 3.332040208
3.341920289, 3.342039127
3.351920292, 3.352102310
3.361920324, 3.362043911
3.371920291, 3.372107988
3.381920289, 3.382083027
3.391920287, 3.392055790
3.401920287, 3.402106473
3.411920311, 3.412073421
3.421920303, 3.422068128
3.431920296, 3.432066561
3.441920291, 3.442079184
3.451920305, 3.452032541
3.461920287, 3.462051283
3.471920289, 3.472071689
3.481920294, 3.482045319
3.491920287, 3.492039765
3.501920285, 3.502074826
3.511920295, 3.512066788
3.521920292, 3.522093462
3.531920287, 3.532071548
3.541920292, 3.542035373
3.551920295, 3.552062042
3.561920294, 3.562103384
3.571920289, 3.572037293
3.581920292, 3.582045654
3.591920295, 3.592022157
3.601920292, 3.602088713
3.611920295, 3.612041179
3.621920291, 3.622077149
3.631920305, 3.632093121
3.641920304, 3.642052855
3.651920287, 3.652059687
3.661920291, 3.662105604
3.671920290, 3.672042368
3.681920292, 3.682062749
3.691920287, 3.692007725
3.701920291, 3.702073392
3.711920287, 3.712049548
3.721920335, 3.722063801
3.731920290, 3.732056527
3.741920292, 3.742031878
3.751920287, 3.752124182
3.761920294, 3.762100618
3.771920301, 3.772004439
3.781920295, 3.782074021
3.791920293, 3.792044561
3.801920285, 3.802085966
3.811920290, 3.812028391
3.821920292, 3.822058485
3.831920290, 3.832026479
3.841920292, 3.842107318
3.851920289, 3.852087205
3.861920295, 3.862027092
3.871920292, 3.872030835
3.881920285, 3.882097725
3.891920293, 3.892032613
3.901920301, 3.902021290
3.911920290, 3.912072698
3.921920294, 3.922098162
3.931920290, 3.932092649
3.941920292, 3.942089993
3.951920295, 3.952143323
3.961920287, 3.962007347
3.971920293, 3.972045852
3.981920285, 3.982031020
3.991920289, 3.992060263
4.001920291, 4.002103892
4.011920305, 4.012101838
4.021920291, 4.022054712
4.031920287, 4.032103805
4.041920287, 4.042119614
4.051920287, 4.052028781
4.061920287, 4.062016598
4.071920295, 4.072086277
4.081920285, 4.082108472
4.091920307, 4.092046187
4.101920285, 4.102060546
4.111920290, 4.112077987
4.121920287, 4.122077059
4.131920289, 4.132071484
4.141920287, 4.142025104
4.151920304, 4.152029544
4.161920287, 4.162032781
4.171920296, 4.172096045
4.181920287, 4.182052701
4.191920301, 4.192035676
4.201920291, 4.202010491
4.211920295, 4.212037291
4.221920289, 4.222023189
4.231920294, 4.232058539
4.241920291, 4.242004497
4.251920294, 4.252084138
4.261920284, 4.262100203
4.271920287, 4.272081463
4.281920300, 4.282031701
