------------------------------
test was performed using the following parameters: --mps=200 --burst=1 --reply-every=1 --msg-size=14 --time=20
------------------------------
sockperf: [Total Run] RunTime=20.100 sec; SentMessages=4021; ReceivedMessages=4020
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=19.990 sec; SentMessages=3999; ReceivedMessages=3999
sockperf: [2;35m====> avg-lat=235.632 (std-dev=44.660)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 3999 observations[0m; each percentile contains 39.99 observations
sockperf: ---> <MAX> observation =  347.080
sockperf: ---> percentile 99.999 =  347.080
sockperf: ---> percentile 99.990 =  347.080
sockperf: ---> percentile 99.900 =  339.945
sockperf: ---> percentile 99.000 =  319.260
sockperf: ---> percentile 90.000 =  281.071
sockperf: ---> percentile 75.000 =  260.621
sockperf: ---> percentile 50.000 =  242.277
sockperf: ---> percentile 25.000 =  222.609
sockperf: ---> <MIN> observation =   33.172
------------------------------
txTime, rxTime
2.057288479, 2.057832272
2.062288482, 2.062817174
2.067288486, 2.067835351
2.072288486, 2.072800308
2.077288486, 2.077914921
2.082288487, 2.082523213
2.087288484, 2.087826744
2.092288486, 2.092862237
2.097288482, 2.097756116
2.102288486, 2.102845733
2.107288481, 2.107831770
2.112288483, 2.112776825
2.117288484, 2.117841374
2.122288484, 2.122505912
2.127288486, 2.127823082
2.132288483, 2.132719030
2.137288483, 2.137733432
2.142288483, 2.142699802
2.147288481, 2.147788987
2.152288481, 2.152782175
2.157288483, 2.157719018
2.162288478, 2.162745769
2.167288483, 2.167733199
2.172288484, 2.172712414
2.177288482, 2.177709171
2.182288486, 2.182799772
2.187288483, 2.187820258
2.192288496, 2.192783966
2.197288500, 2.197797661
2.202288500, 2.202793457
2.207288479, 2.207809930
2.212288498, 2.212925123
2.217288500, 2.217719001
2.222288483, 2.222803868
2.227288486, 2.227904303
2.232288483, 2.232792563
2.237288482, 2.237806121
2.242288500, 2.242781525
2.247288498, 2.247725544
2.252288496, 2.252872568
2.257288495, 2.257717587
2.262288484, 2.262786917
2.267288495, 2.267781827
2.272288498, 2.272734708
2.277288501, 2.277732169
2.282288479, 2.282711086
2.287288481, 2.287727129
2.292288482, 2.292746706
2.297288500, 2.297748517
2.302288495, 2.302728852
2.307288500, 2.307721689
2.312288497, 2.312721790
2.317288478, 2.317725727
2.322288481, 2.322705850
2.327288482, 2.327786456
2.332288493, 2.332770102
2.337288487, 2.337786922
2.342288487, 2.342793730
2.347288484, 2.347787265
2.352288501, 2.352785905
2.357288496, 2.357783491
2.362288495, 2.362813325
2.367288497, 2.367770142
2.372288500, 2.372783690
2.377288500, 2.377754462
2.382288486, 2.382819630
2.387288495, 2.387762255
2.392288486, 2.392801020
2.397288484, 2.397794950
2.402288482, 2.402810835
2.407288478, 2.407726884
2.412288486, 2.412743522
2.417288486, 2.417740983
2.422288498, 2.422813224
2.427288501, 2.427794812
2.432288501, 2.432771436
2.437288481, 2.437822111
2.442288484, 2.442522313
2.447288483, 2.447886364
2.452288477, 2.452692227
2.457288496, 2.457785373
2.462288482, 2.462830512
2.467288500, 2.467722808
2.472288479, 2.472740635
2.477288497, 2.477753607
2.482288478, 2.482791477
2.487288492, 2.487774267
2.492288487, 2.492736719
2.497288495, 2.497760291
2.502288486, 2.502760578
2.507288483, 2.507797126
2.512288481, 2.512764780
2.517288477, 2.517784368
2.522288481, 2.522795592
2.527288495, 2.527788527
2.532288493, 2.532727684
2.537288500, 2.537778209
2.542288497, 2.542792941
2.547288495, 2.547760034
2.552288496, 2.552731842
2.557288492, 2.557758500
2.562288486, 2.562737977
2.567288486, 2.567708217
2.572288481, 2.572731774
2.577288478, 2.577785557
2.582288482, 2.582767575
2.587288487, 2.587733488
2.592288495, 2.592752935
2.597288481, 2.597733132
2.602288497, 2.602755064
2.607288495, 2.607756345
2.612288484, 2.612743378
2.617288497, 2.617746396
2.622288501, 2.622720699
2.627288496, 2.627785716
2.632288479, 2.632821115
2.637288482, 2.637792270
2.642288495, 2.642835752
2.647288498, 2.647798921
2.652288483, 2.652806660
2.657288477, 2.657781781
2.662288484, 2.662800991
2.667288501, 2.667790233
2.672288495, 2.672777347
2.677288486, 2.677776362
