------------------------------
test was performed using the following parameters: --mps=200 --burst=1 --reply-every=1 --msg-size=14 --time=20
------------------------------
sockperf: [Total Run] RunTime=20.100 sec; SentMessages=4021; ReceivedMessages=4020
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=19.996 sec; SentMessages=4000; ReceivedMessages=4000
sockperf: [2;35m====> avg-lat=334.717 (std-dev=18.688)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 4000 observations[0m; each percentile contains 40.00 observations
sockperf: ---> <MAX> observation =  394.436
sockperf: ---> percentile 99.999 =  394.436
sockperf: ---> percentile 99.990 =  394.436
sockperf: ---> percentile 99.900 =  389.525
sockperf: ---> percentile 99.000 =  376.932
sockperf: ---> percentile 90.000 =  359.216
sockperf: ---> percentile 75.000 =  347.754
sockperf: ---> percentile 50.000 =  334.553
sockperf: ---> percentile 25.000 =  321.542
sockperf: ---> <MIN> observation =  278.601
------------------------------
txTime, rxTime
2.057139214, 2.057734410
2.062139207, 2.062799075
2.067139210, 2.067780752
2.072139210, 2.072794690
2.077139212, 2.077750185
2.082139213, 2.082789235
2.087144581, 2.087772807
2.092139212, 2.092776571
2.097139219, 2.097771751
2.102139214, 2.102826526
2.107139215, 2.107801076
2.112139212, 2.112814565
2.117139215, 2.117756210
2.122139212, 2.122817705
2.127139541, 2.127833128
2.132139218, 2.132854733
2.137139212, 2.137860834
2.142139212, 2.142858003
2.147139217, 2.147799865
2.152139219, 2.152816485
2.157139233, 2.157856517
2.162139234, 2.162822820
2.167139234, 2.167813569
2.172139230, 2.172756836
2.177139234, 2.177795349
2.182139228, 2.182787613
2.187139232, 2.187756235
2.192139229, 2.192844293
2.197139232, 2.197862267
2.202139230, 2.202825134
2.207139230, 2.207815986
2.212139230, 2.212858076
2.217139230, 2.217824758
2.222139234, 2.222864674
2.227139234, 2.227831636
2.232139232, 2.232823087
2.237139232, 2.237815956
2.242139228, 2.242781132
2.247139234, 2.247774346
2.252139230, 2.252764839
2.257139233, 2.257828109
2.262139232, 2.262797093
2.267139230, 2.267787119
2.272139232, 2.272815415
2.277139232, 2.277843008
2.282139210, 2.282808825
2.287139219, 2.287800410
2.292139213, 2.292814704
2.297139217, 2.297778863
2.302139234, 2.302780518
2.307139233, 2.307766883
2.312139232, 2.312856713
2.317139233, 2.317824337
2.322139229, 2.322863825
2.327139233, 2.327804744
2.332139230, 2.332796711
2.337139215, 2.337837387
2.342139227, 2.342827435
2.347139228, 2.347771795
2.352139232, 2.352787029
2.357139228, 2.357778490
2.362139227, 2.362794513
2.367139225, 2.367791921
2.372139215, 2.372777218
2.377139215, 2.377864150
2.382139214, 2.382801385
2.387139233, 2.387823416
2.392139230, 2.392842349
2.397139234, 2.397802881
2.402139234, 2.402772766
2.407139230, 2.407813367
2.412139230, 2.412750940
2.417139233, 2.417718015
2.422139229, 2.422763811
2.427139227, 2.427802866
2.432139233, 2.432838805
2.437139225, 2.437806284
2.442139227, 2.442797356
2.447139233, 2.447773662
2.452139215, 2.452788956
2.457139218, 2.457803996
2.462139213, 2.462794781
2.467139212, 2.467764140
2.472139214, 2.472729952
2.477139217, 2.477771176
2.482139213, 2.482784474
2.487139212, 2.487801906
2.492139210, 2.492841678
2.497139212, 2.497833029
2.502139218, 2.502823350
2.507139214, 2.507817867
2.512139214, 2.512840456
2.517139215, 2.517808968
2.522139218, 2.522814837
2.527139217, 2.527819315
2.532139229, 2.532851737
2.537139229, 2.537808323
2.542139229, 2.542815057
2.547139227, 2.547810926
2.552139227, 2.552792083
2.557139232, 2.557861499
2.562139233, 2.562759322
2.567139232, 2.567766201
2.572139228, 2.572804847
2.577139227, 2.577748228
2.582139233, 2.582784768
2.587139227, 2.587741440
2.592139228, 2.592757128
2.597139233, 2.597832461
2.602139227, 2.602844508
2.607139230, 2.607850807
2.612139217, 2.612824027
2.617139210, 2.617791042
2.622139217, 2.622797904
2.627139218, 2.627765691
2.632139230, 2.632778988
2.637139229, 2.637774441
2.642139228, 2.642787576
2.647139234, 2.647831160
2.652139230, 2.652800628
2.657139230, 2.657841396
2.662139228, 2.662837168
2.667139227, 2.667815154
2.672139233, 2.672790599
2.677139227, 2.677852586
2.682139233, 2.682773355
2.687139228, 2.687788950
2.692139232, 2.692838724
2.697139219, 2.697807732
2.702139218, 2.702839727
2.707139217, 2.707821893
2.712139217, 2.712769057
2.717139227, 2.717761989
2.722139230, 2.722854244
2.727139232, 2.727793689
2.732139229, 2.732825102
2.737139229, 2.737814024
2.742139228, 2.742743340
2.747139228, 2.747755031
2.752139229, 2.752745233
2.757139217, 2.757888756
2.762139212, 2.762876526
2.767139219, 2.767816595
2.772139213, 2.772810161
2.777139215, 2.777896774
2.782139215, 2.782828953
2.787139213, 2.787857095
2.792139218, 2.792882162
2.797139230, 2.797777936
2.802139229, 2.802786652
2.807139234, 2.807777082
2.812139229, 2.812809822
2.817139230, 2.817773714
2.822139227, 2.822800947
2.827139227, 2.827742123
2.832139227, 2.832782490
2.837139233, 2.837709505
2.842139227, 2.842762629
2.847139233, 2.847828275
2.852139212, 2.852748987
2.857139214, 2.857859635
2.862139210, 2.862801575
2.867139217, 2.867858667
2.872139230, 2.872746880
2.877139233, 2.877800877
2.882139232, 2.882817969
2.887139229, 2.887771133
2.892139227, 2.892809594
2.897139229, 2.897778783
2.902139228, 2.902768395
2.907139229, 2.907828745
2.912139233, 2.912835784
2.917139229, 2.917842512
2.922139227, 2.922854001
2.927139227, 2.927830610
2.932139232, 2.932886101
2.937139219, 2.937855744
2.942139219, 2.942824857
2.947139217, 2.947841408
2.952139234, 2.952853437
2.957139233, 2.957802831
2.962139229, 2.962764285
2.967139230, 2.967825366
2.972139228, 2.972786188
2.977139228, 2.977748915
2.982139228, 2.982763146
2.987139229, 2.987789337
2.992139228, 2.992819890
2.997139233, 2.997794379
3.002139232, 3.002830937
3.007139229, 3.007754128
3.012139230, 3.012728219
3.017139230, 3.017827070
3.022139227, 3.022769973
3.027139233, 3.027816691
3.032139228, 3.032881129
3.037139233, 3.037781247
3.042139232, 3.042807725
3.047139233, 3.047812288
3.052139227, 3.052779139
3.057139228, 3.057843320
3.062139233, 3.062813343
3.067139233, 3.067790639
3.072139229, 3.072805219
3.077139230, 3.077816996
3.082139227, 3.082748014
3.087139229, 3.087831092
3.092139215, 3.092805869
3.097139218, 3.097777154
3.102139214, 3.102834845
3.107139215, 3.107807608
3.112139228, 3.112810413
3.117139230, 3.117805520
3.122139229, 3.122784815
3.127139228, 3.127761717
3.132139233, 3.132845659
3.137139228, 3.137865302
3.142139232, 3.142873091
3.147139230, 3.147831979
3.152139227, 3.152832615
3.157139230, 3.157808855
3.162139230, 3.162875555
3.167139232, 3.167740088
3.172139233, 3.172825930
3.177139232, 3.177798449
3.182139225, 3.182767583
3.187139227, 3.187791825
3.192139230, 3.192829220
3.197139232, 3.197833759
3.202139230, 3.202859002
3.207139233, 3.207867522
3.212139230, 3.212862430
3.217139229, 3.217842845
3.222139228, 3.222803637
3.227139230, 3.227782281
3.232139228, 3.232832765
3.237139233, 3.237829344
3.242139232, 3.242839436
3.247139232, 3.247784453
3.252139225, 3.252788821
3.257139234, 3.257822472
3.262139233, 3.262767073
3.267139232, 3.267762247
3.272139233, 3.272782764
3.277139227, 3.277806934
3.282139233, 3.282802228
3.287139229, 3.287823327
3.292139232, 3.292797572
3.297139230, 3.297793659
3.302139227, 3.302788199
3.307139214, 3.307778931
3.312139229, 3.312803106
3.317139228, 3.317748598
3.322139227, 3.322787019
3.327139230, 3.327806405
3.332139212, 3.332871186
3.337139218, 3.337805008
3.342139229, 3.342835543
3.347139232, 3.347867121
3.352139227, 3.352824871
3.357139234, 3.357776205
3.362139225, 3.362765216
3.367139233, 3.367798124
3.372139230, 3.372785382
3.377139229, 3.377808651
3.382139229, 3.382800645
3.387139230, 3.387750402
3.392139225, 3.392753947
3.397139228, 3.397782034
3.402139233, 3.402785006
3.407139228, 3.407820583
3.412139232, 3.412779905
3.417139230, 3.417759159
3.422139227, 3.422838789
3.427139227, 3.427803586
3.432139233, 3.432769419
3.437139232, 3.437833345
3.442139234, 3.442860082
3.447139228, 3.447849980
3.452139234, 3.452817075
3.457139227, 3.457841356
3.462139232, 3.462853430
3.467139230, 3.467788144
3.472139233, 3.472842035
3.477139232, 3.477868458
3.482139230, 3.482831171
3.487139233, 3.487782955
3.492139230, 3.492760466
3.497139230, 3.497813540
3.502139228, 3.502809139
3.507139232, 3.507765731
3.512139214, 3.512796233
3.517139230, 3.517708365
3.522139228, 3.522808662
3.527139238, 3.527830289
3.532139228, 3.532845820
3.537139229, 3.537823935
3.542139230, 3.542821617
3.547139227, 3.547836766
3.552139233, 3.552769433
3.557139233, 3.557831399
3.562139227, 3.562796455
3.567139232, 3.567789016
3.572139213, 3.572773286
3.577139214, 3.577813088
3.582139219, 3.582876609
3.587139232, 3.587746204
3.592139228, 3.592786982
3.597139214, 3.597830547
3.602139233, 3.602855022
3.607139228, 3.607916742
3.612139230, 3.612855037
3.617139235, 3.617825987
3.622139228, 3.622766266
3.627139233, 3.627819041
3.632139230, 3.632785929
3.637139225, 3.637828639
3.642139229, 3.642761519
3.647139233, 3.647773763
3.652139229, 3.652809304
3.657139218, 3.657804667
3.662139219, 3.662863003
3.667139215, 3.667853809
3.672139227, 3.672823905
3.677139214, 3.677827645
3.682139229, 3.682769017
3.687139232, 3.687743913
3.692139233, 3.692861215
3.697139233, 3.697772842
3.702139228, 3.702814366
3.707139227, 3.707764056
3.712139229, 3.712822743
3.717139233, 3.717884281
3.722139232, 3.722877415
3.727139228, 3.727851233
3.732139232, 3.732815448
3.737139229, 3.737831403
3.742139227, 3.742825056
3.747139233, 3.747849220
3.752139233, 3.752834504
3.757139212, 3.757837885
3.762139228, 3.762862598
3.767139230, 3.767840515
3.772139228, 3.772837164
3.777139228, 3.777783096
3.782139228, 3.782811471
3.787139230, 3.787789539
3.792139230, 3.792760675
3.797139233, 3.797765691
3.802139228, 3.802821449
3.807139230, 3.807759033
3.812139219, 3.812834527
3.817139219, 3.817839872
3.822139215, 3.822882310
3.827139233, 3.827830872
3.832139234, 3.832827606
3.837139210, 3.837825526
3.842139232, 3.842835663
3.847139234, 3.847817907
3.852139232, 3.852790112
3.857139232, 3.857862458
3.862139230, 3.862791006
3.867139233, 3.867739672
3.872139229, 3.872770010
3.877139229, 3.877837242
3.882139228, 3.882802703
3.887139230, 3.887803347
3.892139232, 3.892866365
3.897139212, 3.897819959
3.902139215, 3.902853535
3.907139215, 3.907820979
3.912139214, 3.912875196
3.917139227, 3.917796964
3.922139232, 3.922800762
3.927139229, 3.927823261
3.932139230, 3.932793740
3.937139228, 3.937784038
3.942139229, 3.942859529
3.947139233, 3.947796002
3.952139233, 3.952819181
3.957139230, 3.957838787
3.962139233, 3.962870131
3.967139230, 3.967773055
3.972139210, 3.972810329
3.977139215, 3.977753595
3.982139228, 3.982797861
3.987139234, 3.987760655
3.992139233, 3.992769824
3.997139207, 3.997744542
4.002139225, 4.002808819
4.007139225, 4.007796172
4.012139229, 4.012883115
4.017139230, 4.017831994
4.022139229, 4.022823559
4.027139229, 4.027785339
4.032139232, 4.032822171
4.037139225, 4.037804246
4.042139224, 4.042811745
4.047139228, 4.047781688
4.052139213, 4.052792844
4.057139217, 4.057822093
4.062139209, 4.062824095
4.067139225, 4.067807355
4.072139212, 4.072749117
4.077139207, 4.077817437
4.082139209, 4.082853140
4.087139225, 4.087816711
4.092139225, 4.092839551
4.097139230, 4.097802232
4.102139210, 4.102812379
4.107139230, 4.107809611
4.112139228, 4.112798897
4.117139213, 4.117848756
4.122139210, 4.122805260
4.127139225, 4.127804984
4.132139228, 4.132764601
4.137139215, 4.137794221
4.142139213, 4.142801432
4.147139214, 4.147745430
4.152139213, 4.152751129
4.157139213, 4.157768058
4.162139213, 4.162790586
4.167139228, 4.167799495
4.172139232, 4.172805832
4.177139229, 4.177822725
4.182139210, 4.182831744
4.187139228, 4.187871636
4.192139208, 4.192830799
4.197139230, 4.197849664
4.202139229, 4.202763376
4.207139228, 4.207778662
4.212139230, 4.212841899
4.217139209, 4.217797917
4.222139230, 4.222855876
4.227139228, 4.227840852
4.232139229, 4.232784145
4.237139209, 4.237798989
4.242139214, 4.242755113
4.247139232, 4.247814294
4.252139213, 4.252875456
4.257139210, 4.257876381
4.262139230, 4.262826609
4.267139215, 4.267841631
4.272139213, 4.272846189
4.277139227, 4.277768015
4.282139224, 4.282762380
4.287139230, 4.287773556
4.292139232, 4.292791725
4.297139210, 4.297791383
4.302139209, 4.302813017
4.307140792, 4.307819348
4.312139210, 4.312751686
4.317139224, 4.317788287
4.322139213, 4.322806456
4.327139230, 4.327811112
4.332139225, 4.332867176
4.337139229, 4.337898558
4.342139225, 4.342914410
4.347139214, 4.347812931
4.352139227, 4.352806492
4.357139207, 4.357784010
4.362139210, 4.362837196
4.367139228, 4.367834238
4.372139212, 4.372790442
4.377139217, 4.377842134
4.382139212, 4.382864510
4.387139214, 4.387787340
4.392139212, 4.392808667
4.397139210, 4.397846704
4.402139209, 4.402870406
4.407139230, 4.407778163
4.412139214, 4.412795657
4.417139209, 4.417767499
4.422139214, 4.422798793
4.427139224, 4.427876194
4.432139213, 4.432884045
4.437139212, 4.437820430
4.442139230, 4.442808406
4.447139228, 4.447773198
4.452139213, 4.452826097
4.457139232, 4.457787350
4.462139208, 4.462804824
4.467139212, 4.467888593
4.472139225, 4.472845055
4.477139210, 4.477836380
4.482139229, 4.482860791
