------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.100 sec; SentMessages=1011; ReceivedMessages=1010
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.990 sec; SentMessages=1000; ReceivedMessages=1000
sockperf: [2;35m====> avg-lat= 63.545 (std-dev=20.007)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 1000 observations[0m; each percentile contains 10.00 observations
sockperf: ---> <MAX> observation =  129.558
sockperf: ---> percentile 99.999 =  129.558
sockperf: ---> percentile 99.990 =  129.558
sockperf: ---> percentile 99.900 =  127.529
sockperf: ---> percentile 99.000 =  115.501
sockperf: ---> percentile 90.000 =   90.225
sockperf: ---> percentile 75.000 =   75.956
sockperf: ---> percentile 50.000 =   62.355
sockperf: ---> percentile 25.000 =   48.321
sockperf: ---> <MIN> observation =   28.836
------------------------------
txTime, rxTime
2.061594120, 2.061716085
2.071594133, 2.071720100
2.081594139, 2.081771215
2.091594133, 2.091716710
2.101594130, 2.101736494
2.111594124, 2.111699409
2.121594135, 2.121783201
2.131594140, 2.131740081
2.141594130, 2.141654881
2.151594138, 2.151683440
2.161594125, 2.161685087
2.171594135, 2.171783328
2.181594130, 2.181725977
2.191594120, 2.191753608
2.201594137, 2.201653060
2.211594128, 2.211654130
2.221594119, 2.221741488
2.231594137, 2.231725016
2.241594135, 2.241683401
2.251594130, 2.251671156
2.261594130, 2.261654217
2.271594134, 2.271714783
2.281594138, 2.281683631
2.291594130, 2.291673919
2.301594132, 2.301720344
2.311594114, 2.311738054
2.321594137, 2.321747856
2.331594118, 2.331711688
2.341594129, 2.341740739
2.351594127, 2.351760623
2.361594128, 2.361739447
2.371594123, 2.371778123
2.381594135, 2.381729171
2.391594120, 2.391755733
2.401594137, 2.401675584
2.411594140, 2.411700938
2.421594119, 2.421659884
2.431594132, 2.431657729
2.441594135, 2.441698028
2.451594135, 2.451692347
2.461594130, 2.461797807
2.471594138, 2.471771650
2.481594140, 2.481738083
2.491594134, 2.491698364
2.501594133, 2.501692306
2.511594139, 2.511748372
2.521594135, 2.521796915
2.531594128, 2.531705058
2.541594120, 2.541741163
2.551594138, 2.551748696
2.561594129, 2.561733888
2.571594132, 2.571751009
2.581594132, 2.581825135
2.591594135, 2.591714453
2.601594138, 2.601714318
2.611594134, 2.611741139
2.621594133, 2.621688087
2.631594139, 2.631708009
2.641594376, 2.641784407
2.651594124, 2.651726965
2.661594134, 2.661695452
2.671594134, 2.671709902
2.681594135, 2.681670005
2.691594134, 2.691770054
2.701594130, 2.701699072
2.711594135, 2.711726515
2.721594139, 2.721659781
2.731594140, 2.731692360
2.741594135, 2.741652857
2.751594137, 2.751675983
2.761594137, 2.761732217
2.771594140, 2.771712516
2.781594132, 2.781748991
2.791594135, 2.791656551
2.801594139, 2.801754149
2.811594134, 2.811693494
2.821594132, 2.821746155
2.831594135, 2.831699968
2.841594130, 2.841692424
2.851594130, 2.851653069
2.861594307, 2.861796789
2.871594120, 2.871717893
2.881594135, 2.881693219
2.891594129, 2.891655252
2.901594130, 2.901696418
2.911594133, 2.911734589
2.921594135, 2.921730531
