------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.100 sec; SentMessages=1011; ReceivedMessages=1010
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.980 sec; SentMessages=999; ReceivedMessages=999
sockperf: [2;35m====> avg-lat= 99.701 (std-dev=27.549)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 999 observations[0m; each percentile contains 9.99 observations
sockperf: ---> <MAX> observation =  188.439
sockperf: ---> percentile 99.999 =  188.439
sockperf: ---> percentile 99.990 =  188.439
sockperf: ---> percentile 99.900 =  187.445
sockperf: ---> percentile 99.000 =  164.461
sockperf: ---> percentile 90.000 =  135.476
sockperf: ---> percentile 75.000 =  118.584
sockperf: ---> percentile 50.000 =   99.487
sockperf: ---> percentile 25.000 =   79.761
sockperf: ---> <MIN> observation =   31.967
------------------------------
txTime, rxTime
2.061889732, 2.062097010
2.071889727, 2.072052978
2.081889728, 2.082100696
2.091889732, 2.092110148
2.101889732, 2.102075451
2.111889728, 2.112032189
2.121889927, 2.122020813
2.131889728, 2.132128897
2.141889739, 2.142105870
2.151889739, 2.152073878
2.161889725, 2.162060365
2.171889730, 2.172096724
2.181889728, 2.182132625
2.191889725, 2.192038965
2.201889738, 2.202078422
2.211889728, 2.212076116
2.221889737, 2.222113475
2.231889738, 2.232053332
2.241889727, 2.242029215
2.251889728, 2.252133182
2.261889732, 2.262066686
2.271889725, 2.272046616
2.281889729, 2.282079340
2.291889734, 2.292152110
2.301889727, 2.302088754
2.311889728, 2.312154742
2.321889727, 2.322021064
2.331889725, 2.332060161
2.341889728, 2.342148236
2.351889730, 2.352114881
2.361889725, 2.362170695
2.371889732, 2.372189814
2.381889735, 2.382242225
2.391889738, 2.392171707
2.401889727, 2.402143708
2.411889740, 2.412227364
2.421889725, 2.422102393
2.431889739, 2.432055885
2.441889729, 2.442037222
2.451889732, 2.451994995
2.461889728, 2.462102811
2.471889729, 2.472036271
2.481889732, 2.482138375
2.491889728, 2.492030107
2.501889727, 2.502105503
2.511889730, 2.512102686
2.521889729, 2.522059632
2.531889733, 2.532117201
2.541889735, 2.542165247
2.551889735, 2.552117997
2.561889728, 2.562140995
2.571889733, 2.572137437
2.581889727, 2.582178117
2.591889728, 2.592173202
2.601889725, 2.602208896
2.611889740, 2.612137594
2.621889732, 2.622125977
2.631889745, 2.632056639
2.641889742, 2.642022708
2.651889739, 2.652151721
