------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.100 sec; SentMessages=1011; ReceivedMessages=1010
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.990 sec; SentMessages=1000; ReceivedMessages=1000
sockperf: [2;35m====> avg-lat= 99.897 (std-dev=25.349)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 1000 observations[0m; each percentile contains 10.00 observations
sockperf: ---> <MAX> observation =  186.319
sockperf: ---> percentile 99.999 =  186.319
sockperf: ---> percentile 99.990 =  186.319
sockperf: ---> percentile 99.900 =  167.522
sockperf: ---> percentile 99.000 =  156.002
sockperf: ---> percentile 90.000 =  132.196
sockperf: ---> percentile 75.000 =  117.532
sockperf: ---> percentile 50.000 =  100.447
sockperf: ---> percentile 25.000 =   81.844
sockperf: ---> <MIN> observation =   29.700
------------------------------
txTime, rxTime
2.062108490, 2.062274752
2.072108504, 2.072286461
2.082108495, 2.082251800
2.092108497, 2.092213256
2.102108509, 2.102340222
2.112108501, 2.112309741
2.122108504, 2.122341160
2.132108500, 2.132321780
2.142108505, 2.142359313
2.152108499, 2.152308263
2.162108510, 2.162255265
2.172108487, 2.172337473
2.182108504, 2.182287585
2.192108502, 2.192309254
2.202108507, 2.202262048
2.212108490, 2.212260567
2.222108494, 2.222262560
2.232108501, 2.232322591
2.242108492, 2.242236500
2.252108490, 2.252262282
2.262108502, 2.262339659
2.272108494, 2.272257603
2.282108505, 2.282294738
2.292108500, 2.292355826
2.302108502, 2.302301928
2.312108490, 2.312378471
2.322108487, 2.322268508
2.332108502, 2.332258024
2.342108490, 2.342316037
2.352108506, 2.352315072
2.362108495, 2.362227086
2.372108497, 2.372289404
2.382108504, 2.382326086
2.392108492, 2.392272252
2.402108496, 2.402283809
2.412108500, 2.412309394
2.422108504, 2.422369343
2.432108492, 2.432205466
2.442108501, 2.442247142
2.452108512, 2.452268353
2.462108509, 2.462266480
2.472108511, 2.472301202
2.482108505, 2.482296527
2.492108507, 2.492240729
2.502108501, 2.502352499
2.512108490, 2.512349061
2.522108504, 2.522325992
2.532108506, 2.532289757
2.542108507, 2.542266869
2.552108859, 2.552390620
2.562108507, 2.562303489
2.572108506, 2.572311498
2.582108500, 2.582303286
2.592108504, 2.592331224
2.602108494, 2.602219305
2.612108509, 2.612406264
2.622108509, 2.622269676
2.632108502, 2.632332544
2.642108507, 2.642328062
2.652108491, 2.652318011
2.662108509, 2.662351604
2.672108536, 2.672420542
2.682108501, 2.682360664
2.692108494, 2.692340252
2.702108502, 2.702369678
2.712108504, 2.712318505
2.722108507, 2.722330831
2.732108502, 2.732372215
2.742108499, 2.742284221
2.752108505, 2.752238926
2.762108505, 2.762358409
2.772108496, 2.772356769
2.782108504, 2.782386434
2.792108502, 2.792272611
2.802108531, 2.802335289
2.812108505, 2.812276289
2.822108497, 2.822363316
2.832108504, 2.832391021
2.842108497, 2.842245296
2.852108506, 2.852269859
2.862108492, 2.862289384
2.872108490, 2.872399716
2.882108491, 2.882325973
2.892108490, 2.892279203
2.902108490, 2.902251313
2.912108511, 2.912331432
2.922108505, 2.922334606
2.932108510, 2.932325745
2.942108502, 2.942327487
2.952108507, 2.952364653
2.962108501, 2.962352660
2.972108492, 2.972376292
2.982108490, 2.982327131
2.992108491, 2.992411594
3.002108495, 3.002274970
3.012108504, 3.012209194
3.022108495, 3.022266140
3.032108494, 3.032348890
3.042108482, 3.042282863
3.052108495, 3.052301211
3.062108511, 3.062263131
3.072108774, 3.072357309
3.082108491, 3.082262279
3.092108492, 3.092340166
3.102108497, 3.102287309
3.112108511, 3.112250631
3.122108482, 3.122365007
3.132108501, 3.132213582
3.142108491, 3.142241170
3.152108499, 3.152312313
3.162108497, 3.162330425
3.172108489, 3.172347248
3.182108504, 3.182309404
3.192108495, 3.192270757
3.202108501, 3.202254631
3.212108501, 3.212274268
3.222108504, 3.222231227
3.232108501, 3.232342207
3.242108502, 3.242286379
3.252108504, 3.252327791
3.262108494, 3.262377658
3.272108505, 3.272383265
3.282108499, 3.282206061
3.292108502, 3.292340315
3.302108502, 3.302313955
3.312108500, 3.312288550
3.322108486, 3.322316520
3.332108497, 3.332247907
3.342108490, 3.342270437
3.352108484, 3.352293477
3.362108499, 3.362305743
3.372108500, 3.372340266
3.382108504, 3.382351279
3.392108505, 3.392307467
3.402108500, 3.402356093
3.412108506, 3.412287559
3.422108481, 3.422359204
3.432108507, 3.432301683
3.442108490, 3.442372063
3.452108492, 3.452246668
3.462108489, 3.462277199
3.472108485, 3.472299410
3.482108507, 3.482255813
3.492108502, 3.492372896
3.502108504, 3.502368402
3.512108507, 3.512313052
3.522108504, 3.522306534
3.532108499, 3.532398839
3.542108501, 3.542376395
3.552108490, 3.552213821
3.562108494, 3.562284393
3.572108486, 3.572355700
3.582108504, 3.582267177
3.592108502, 3.592206069
3.602108495, 3.602299185
3.612108490, 3.612247456
3.622108505, 3.622334532
3.632108495, 3.632243022
3.642108500, 3.642232896
3.652108496, 3.652360409
3.662108504, 3.662347743
3.672108504, 3.672340879
3.682108505, 3.682433818
3.692108504, 3.692360623
3.702108497, 3.702400326
3.712108494, 3.712293675
3.722108484, 3.722311165
3.732108495, 3.732361388
3.742108506, 3.742243593
3.752108494, 3.752312063
3.762108499, 3.762314451
3.772108505, 3.772346023
3.782108494, 3.782194111
3.792108504, 3.792327499
3.802108504, 3.802337689
3.812108512, 3.812329187
3.822108501, 3.822359496
3.832108504, 3.832268814
3.842108491, 3.842318665
3.852108490, 3.852341745
3.862108514, 3.862307678
3.872108492, 3.872266694
3.882108502, 3.882255508
3.892108492, 3.892363436
3.902108501, 3.902357732
3.912108506, 3.912336315
3.922108485, 3.922299503
3.932108501, 3.932309408
3.942108501, 3.942284988
3.952108490, 3.952346406
3.962108485, 3.962368135
3.972108490, 3.972261138
3.982108506, 3.982283041
3.992108506, 3.992310507
4.002108492, 4.002315986
4.012108487, 4.012338335
4.022108501, 4.022274006
4.032108505, 4.032228315
4.042110730, 4.042296937
4.052108504, 4.052301111
4.062108502, 4.062328443
4.072108509, 4.072324501
4.082108487, 4.082428941
4.092108497, 4.092293993
4.102108490, 4.102314414
4.112108489, 4.112334180
4.122108486, 4.122316232
4.132108497, 4.132193951
4.142108496, 4.142290145
4.152108499, 4.152275422
4.162108502, 4.162287280
4.172108490, 4.172314416
4.182108492, 4.182301866
4.192108501, 4.192261742
4.202108502, 4.202273851
4.212108485, 4.212324988
4.222108500, 4.222224260
4.232108509, 4.232350272
4.242108504, 4.242296451
4.252108499, 4.252346437
4.262108500, 4.262272408
4.272108490, 4.272270998
4.282108489, 4.282303625
4.292108496, 4.292369700
4.302108596, 4.302382765
4.312108491, 4.312260204
4.322108502, 4.322272420
4.332108500, 4.332293531
4.342108501, 4.342317558
4.352108504, 4.352361796
4.362108487, 4.362343329
4.372108500, 4.372389867
4.382108512, 4.382376614
4.392108504, 4.392355939
4.402108499, 4.402313386
4.412108506, 4.412334689
4.422108502, 4.422255440
4.432108507, 4.432426622
4.442108496, 4.442239067
4.452108491, 4.452332878
4.462108491, 4.462322325
4.472108499, 4.472272240
4.482108507, 4.482215208
4.492108505, 4.492360174
4.502108507, 4.502223056
4.512108535, 4.512351170
4.522108497, 4.522443543
4.532108501, 4.532344518
4.542108507, 4.542310853
4.552108501, 4.552408542
4.562108492, 4.562333843
4.572108494, 4.572309139
4.582108491, 4.582329004
4.592108494, 4.592295701
4.602108485, 4.602340998
4.612108739, 4.612409521
4.622108489, 4.622305689
4.632108495, 4.632265681
4.642108491, 4.642333937
4.652108500, 4.652396860
4.662108484, 4.662340298
4.672108501, 4.672337452
4.682108490, 4.682271599
4.692108497, 4.692331272
4.702108507, 4.702287242
4.712108484, 4.712327274
4.722108500, 4.722356419
4.732108505, 4.732262222
4.742108496, 4.742289828
4.752108491, 4.752277370
4.762108487, 4.762276729
