------------------------------
test was performed using the following parameters: --mps=200 --burst=1 --reply-every=1 --msg-size=14 --time=20
------------------------------
sockperf: [Total Run] RunTime=20.100 sec; SentMessages=2589; ReceivedMessages=2588
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=19.994 sec; SentMessages=2576; ReceivedMessages=2576
sockperf: [2;35m====> avg-lat=3880.745 (std-dev=492.147)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 2576 observations[0m; each percentile contains 25.76 observations
sockperf: ---> <MAX> observation = 7272.911
sockperf: ---> percentile 99.999 = 7272.911
sockperf: ---> percentile 99.990 = 7272.911
sockperf: ---> percentile 99.900 = 7243.912
sockperf: ---> percentile 99.000 = 5002.591
sockperf: ---> percentile 90.000 = 3939.413
sockperf: ---> percentile 75.000 = 3930.709
sockperf: ---> percentile 50.000 = 3924.060
sockperf: ---> percentile 25.000 = 3916.038
sockperf: ---> <MIN> observation = 1609.065
------------------------------
txTime, rxTime
2.062405770, 2.070270471
2.070270651, 2.078094452
2.078094631, 2.085944843
2.085945020, 2.093803411
2.093803590, 2.101639667
2.101639847, 2.109473814
2.109473990, 2.117321209
2.117321388, 2.125135895
2.125136075, 2.132979442
2.132979487, 2.140828613
2.140828793, 2.148651450
2.148651628, 2.156500913
2.156501091, 2.164344206
2.164344386, 2.172191632
2.172191809, 2.180045269
2.180045450, 2.187882478
2.187882651, 2.195724732
2.195724906, 2.203554705
2.203554880, 2.211371314
2.211371491, 2.219222877
2.219223057, 2.227070444
2.227070621, 2.234883813
2.234883985, 2.242738421
2.242738604, 2.250579711
2.250579890, 2.258416717
2.258416898, 2.266270368
2.266270547, 2.274096412
2.274096587, 2.281918327
2.281918502, 2.289794206
2.289794383, 2.297636478
2.297636649, 2.305463547
2.305463724, 2.313305196
2.313305373, 2.321160706
2.321160875, 2.328996467
2.328996642, 2.336826931
2.336827116, 2.344655294
2.344655477, 2.352498081
2.352498261, 2.360353286
2.360353458, 2.368190870
2.368191051, 2.376030753
2.376030946, 2.383850934
2.383851117, 2.391703260
2.391703443, 2.399533579
2.399533761, 2.407349638
2.407349816, 2.415200591
2.415200773, 2.423048563
2.423048725, 2.430889314
2.430889486, 2.438723039
2.438723216, 2.446547153
2.446547320, 2.454405632
2.454405808, 2.462246135
2.462246310, 2.470093402
2.470093575, 2.477930698
2.477930870, 2.485787930
2.485788107, 2.493622528
2.493622709, 2.501462385
2.501462563, 2.509312005
2.509312187, 2.517125349
2.517125522, 2.524959971
2.524960151, 2.532831891
2.532832081, 2.540639458
2.540639636, 2.548492941
2.548493119, 2.556345764
2.556345943, 2.564178203
2.564178385, 2.572022183
2.572022374, 2.579861268
2.579861460, 2.587677102
2.587677296, 2.595560205
2.595560385, 2.603372643
2.603372835, 2.611222080
2.611222269, 2.619066515
2.619066704, 2.626884181
2.626884363, 2.634737706
2.634737893, 2.642584055
2.642584243, 2.650403952
2.650404136, 2.658264696
2.658264876, 2.666115219
2.666115399, 2.673959089
2.673959267, 2.681796389
2.681796569, 2.689623294
2.689623472, 2.697466549
2.697466729, 2.705318262
2.705318443, 2.713152199
2.713152381, 2.720988364
2.720988546, 2.728824523
2.728824705, 2.736643047
2.736643228, 2.744458898
2.744459073, 2.752295066
2.752295239, 2.760118655
2.760118828, 2.767993079
2.767993250, 2.775811661
2.775811839, 2.783661989
2.783662168, 2.791489008
2.791489186, 2.799316938
2.799317122, 2.807161293
