------------------------------
test was performed using the following parameters: --mps=200 --burst=1 --reply-every=1 --msg-size=14 --time=20
------------------------------
sockperf: [Total Run] RunTime=20.100 sec; SentMessages=3350; ReceivedMessages=3349
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=19.975 sec; SentMessages=3331; ReceivedMessages=3331
sockperf: [2;35m====> avg-lat=2998.206 (std-dev=330.549)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 3331 observations[0m; each percentile contains 33.31 observations
sockperf: ---> <MAX> observation = 7379.348
sockperf: ---> percentile 99.999 = 7379.348
sockperf: ---> percentile 99.990 = 7379.348
sockperf: ---> percentile 99.900 = 5220.460
sockperf: ---> percentile 99.000 = 3429.630
sockperf: ---> percentile 90.000 = 3388.603
sockperf: ---> percentile 75.000 = 3362.964
sockperf: ---> percentile 50.000 = 2836.100
sockperf: ---> percentile 25.000 = 2823.678
sockperf: ---> <MIN> observation =  109.147
------------------------------
txTime, rxTime
2.084407736, 2.099166433
2.099166612, 2.099410096
2.099410190, 2.105245978
2.105246168, 2.116061188
2.116061333, 2.125625112
2.125625183, 2.130610252
2.130610314, 2.135999685
2.135999803, 2.146023493
2.146023665, 2.150970254
2.150970439, 2.155731258
2.155731446, 2.160619691
2.160619871, 2.165467819
2.165468006, 2.165686300
2.165686361, 2.172416299
2.172416478, 2.179243016
2.179243210, 2.184817941
2.184818126, 2.190460992
2.190461180, 2.196178368
2.196178554, 2.201748143
2.201748329, 2.207390737
2.207390919, 2.213035519
2.213035703, 2.218684209
2.218684394, 2.224332595
2.224332788, 2.230007312
2.230007502, 2.235670246
2.235670435, 2.241320414
2.241320607, 2.246985268
2.246985453, 2.252639781
2.252639968, 2.258292211
2.258292397, 2.263933614
2.263933803, 2.269607736
2.269607921, 2.275270922
2.275271109, 2.280932545
2.280932732, 2.286583600
2.286583791, 2.292253661
2.292253855, 2.297905374
2.297905566, 2.303550755
2.303550949, 2.309223151
2.309223326, 2.314885588
2.314885781, 2.320536506
2.320536686, 2.326199288
2.326199476, 2.331850261
2.331850444, 2.337500875
2.337501063, 2.343164316
2.343164502, 2.348818703
2.348818892, 2.354480927
2.354481112, 2.360141082
2.360141274, 2.365802552
2.365802746, 2.371453104
2.371453292, 2.377114502
2.377114695, 2.382769605
2.382769788, 2.388429599
2.388429784, 2.394099571
2.394099755, 2.399750965
2.399751159, 2.405410231
2.405410424, 2.411058797
2.411058988, 2.416704439
2.416704633, 2.422367233
2.422367423, 2.428037283
2.428037470, 2.433700488
2.433700676, 2.439351453
2.439351637, 2.445026348
2.445026535, 2.450684464
2.450684654, 2.456338315
