------------------------------
test was performed using the following parameters: --mps=200 --burst=1 --reply-every=1 --msg-size=14 --time=20
------------------------------
sockperf: [Total Run] RunTime=20.100 sec; SentMessages=3433; ReceivedMessages=3432
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=20.001 sec; SentMessages=3416; ReceivedMessages=3416
sockperf: [2;35m====> avg-lat=2927.432 (std-dev=690.120)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 3416 observations[0m; each percentile contains 34.16 observations
sockperf: ---> <MAX> observation = 13055.219
sockperf: ---> percentile 99.999 = 13055.219
sockperf: ---> percentile 99.990 = 13055.219
sockperf: ---> percentile 99.900 = 10616.250
sockperf: ---> percentile 99.000 = 4471.350
sockperf: ---> percentile 90.000 = 3387.081
sockperf: ---> percentile 75.000 = 2840.708
sockperf: ---> percentile 50.000 = 2828.955
sockperf: ---> percentile 25.000 = 2821.290
sockperf: ---> <MIN> observation =   65.048
------------------------------
txTime, rxTime
2.065497067, 2.071157367
2.071157541, 2.076801205
2.076801385, 2.082427463
2.082427636, 2.088090929
2.088091102, 2.093722634
2.093722809, 2.099514386
2.099514594, 2.105100567
2.105100790, 2.110749304
2.110749510, 2.116482896
2.116483124, 2.122161636
2.122161841, 2.127863636
2.127863795, 2.138581236
2.138581443, 2.145180854
2.145181037, 2.151928591
2.151928778, 2.152941078
2.152941270, 2.160799664
2.160799854, 2.161916570
2.161916774, 2.169727838
2.169728016, 2.175392456
2.175392654, 2.176517798
2.176518199, 2.179803789
2.179803978, 2.187635590
2.187635779, 2.189862650
2.189863101, 2.193139131
2.193139321, 2.201024925
2.201025112, 2.207758485
2.207758668, 2.213449470
2.213449652, 2.214545563
2.214545749, 2.217831632
2.217832032, 2.225683227
2.225683410, 2.227912663
2.227912851, 2.231249648
2.231249748, 2.234529093
2.234529182, 2.253192312
2.253192508, 2.268923472
2.268923656, 2.269322495
2.269322586, 2.285403745
2.285403918, 2.285729175
2.285729656, 2.307792411
2.307792628, 2.313410182
2.313410367, 2.314150519
2.314150711, 2.321083495
2.321083670, 2.327811139
2.327811318, 2.333455755
2.333455932, 2.338433912
2.338433986, 2.345139738
2.345139922, 2.351891410
2.351891589, 2.357551557
2.357551734, 2.363212191
2.363212372, 2.368884584
2.368884765, 2.374549183
2.374549378, 2.380209441
2.380209638, 2.385873525
2.385873722, 2.391527703
2.391527899, 2.397199993
2.397200180, 2.402855120
2.402855303, 2.408520370
2.408520559, 2.414178538
2.414178719, 2.419845378
2.419845575, 2.425525661
2.425525751, 2.431206164
2.431206230, 2.436891798
2.436891854, 2.442575913
2.442576016, 2.448281960
2.448282044, 2.453946185
2.453946236, 2.455088997
2.455089167, 2.462949224
2.462949410, 2.468635146
2.468635213, 2.479292270
2.479292486, 2.501092426
2.501092612, 2.501401751
2.501401852, 2.522343787
2.522343976, 2.522696853
2.522696922, 2.528469389
2.528469574, 2.529230263
2.529230670, 2.536254664
2.536254847, 2.543033215
2.543033388, 2.548731984
2.548732183, 2.559406488
2.559406673, 2.566062125
2.566062298, 2.572816979
2.572817154, 2.573845713
2.573845909, 2.581818886
2.581819085, 2.582782726
2.582783160, 2.589558717
2.589558892, 2.595244016
2.595244196, 2.600930270
2.600930448, 2.606616023
2.606616200, 2.612267617
2.612267799, 2.617956868
2.617957048, 2.619102535
2.619102725, 2.626915789
2.626915970, 2.632580050
2.632580229, 2.638245413
2.638245599, 2.643941395
2.643941576, 2.649618596
2.649618768, 2.655279325
2.655279502, 2.656410180
2.656410591, 2.664277580
2.664277760, 2.665388977
2.665389171, 2.668679289
2.668679720, 2.676481651
2.676481837, 2.683291720
2.683291901, 2.688964184
2.688964359, 2.694623330
2.694623512, 2.700301343
2.700301516, 2.705983498
2.705983683, 2.711652434
2.711652612, 2.712815250
2.712815665, 2.720610341
2.720610530, 2.726303286
2.726303463, 2.727444727
2.727445141, 2.735306902
2.735307084, 2.740977395
2.740977575, 2.742099383
2.742099797, 2.749956211
2.749956386, 2.755626743
2.755626924, 2.761298501
2.761298668, 2.766986311
2.766986491, 2.772650037
2.772650217, 2.778334388
2.778334564, 2.784034430
2.784034604, 2.785133008
2.785133203, 2.788426843
2.788427264, 2.796260569
2.796260749, 2.798479740
2.798480168, 2.806308025
2.806308202, 2.807423334
2.807423521, 2.815280139
2.815280324, 2.816387264
2.816387451, 2.819673521
2.819673712, 2.828616413
2.828616601, 2.830825981
2.830826168, 2.834118241
2.834118665, 2.837425379
2.837425790, 2.846379678
2.846379863, 2.853146902
2.853147085, 2.854272676
2.854273104, 2.857566399
2.857566813, 2.860807534
2.860807725, 2.868676336
2.868676523, 2.874370284
2.874370463, 2.880057080
2.880057260, 2.885720571
2.885720757, 2.891379165
2.891379358, 2.897077571
2.897077747, 2.902752207
2.902752393, 2.908437213
2.908437390, 2.914120812
2.914120989, 2.919792898
2.919793084, 2.920920793
2.920921211, 2.928716595
2.928716778, 2.930927003
2.930927427, 2.938769736
2.938769919, 2.939880589
2.939880786, 2.947751171
2.947751355, 2.953403145
2.953403334, 2.959075153
2.959075349, 2.964755196
2.964755379, 2.970411293
2.970411478, 2.971528123
2.971528314, 2.974827049
2.974827470, 2.982663900
2.982664082, 2.988300635
2.988300819, 2.994000091
2.994000268, 2.999662928
2.999663115, 3.005307668
3.005307853, 3.010950458
3.010950635, 3.016633096
3.016633276, 3.022324953
3.022325135, 3.023449335
3.023449790, 3.031280464
3.031280653, 3.036974046
3.036974235, 3.038091903
3.038092090, 3.041375563
3.041375981, 3.049199985
3.049200165, 3.050257523
3.050257713, 3.057087286
3.057087472, 3.062757481
3.062757665, 3.068440859
3.068441031, 3.074137871
3.074138047, 3.075236444
3.075236628, 3.083082630
3.083082813, 3.088749922
3.088750107, 3.094414261
3.094414449, 3.100109231
3.100109418, 3.105754340
3.105754529, 3.106838082
3.106838268, 3.113627312
3.113627497, 3.119334925
3.119335113, 3.125038783
3.125038968, 3.130752281
3.130752457, 3.136445870
3.136446048, 3.142142227
3.142142414, 3.147832378
3.147832574, 3.153499436
3.153499629, 3.159198488
3.159198679, 3.164930342
3.164930533, 3.170606865
3.170607050, 3.176340791
3.176340976, 3.182030549
3.182030734, 3.187694880
3.187695064, 3.193392985
3.193393165, 3.199090067
3.199090248, 3.204768627
3.204768808, 3.209758012
3.209758095, 3.220051409
3.220051595, 3.226425050
3.226425236, 3.231811977
3.231812169, 3.237189525
3.237189711, 3.242693237
3.242693427, 3.248241453
3.248241644, 3.253814660
3.253814849, 3.259448189
3.259448376, 3.265108347
3.265108530, 3.270792141
3.270792326, 3.276393810
3.276393993, 3.282000628
3.282000810, 3.287587245
3.287587435, 3.288657923
3.288658111, 3.295404074
3.295404250, 3.309904384
3.309904473, 3.317388306
3.317388483, 3.322350887
3.322350973, 3.328051205
3.328051380, 3.333556814
3.333556990, 3.340283912
3.340284084, 3.345927669
3.345927846, 3.351553121
3.351553298, 3.357196773
3.357196950, 3.362822177
3.362822348, 3.368468003
3.368468180, 3.374128224
3.374128394, 3.379797111
3.379797294, 3.385435071
3.385435238, 3.391081000
3.391081171, 3.396708417
3.396708591, 3.402344943
3.402345111, 3.407993933
3.407994102, 3.413646883
3.413647054, 3.419291763
3.419291931, 3.424928421
3.424928592, 3.430586339
3.430586518, 3.436230262
3.436230441, 3.441872000
3.441872179, 3.447507610
3.447507776, 3.453133959
3.453134128, 3.458771814
3.458771984, 3.464391786
3.464391959, 3.470048853
3.470049022, 3.475742825
3.475743004, 3.481396385
3.481396571, 3.487039231
3.487039415, 3.492679810
3.492679999, 3.498329852
3.498330037, 3.503997216
3.503997404, 3.509668509
3.509668693, 3.515312434
3.515312623, 3.520973826
3.520974014, 3.526619340
3.526619523, 3.532263065
3.532263245, 3.537928443
3.537928628, 3.543584563
3.543584739, 3.549228380
3.549228560, 3.554880277
3.554880452, 3.560552718
3.560552895, 3.566199361
3.566199547, 3.571882346
3.571882531, 3.577535195
3.577535379, 3.583187370
3.583187557, 3.588840240
3.588840424, 3.594489162
3.594489348, 3.600162579
3.600162761, 3.605808577
3.605808763, 3.611475948
3.611476136, 3.617145165
3.617145348, 3.622802481
3.622802669, 3.628468537
3.628468719, 3.634134794
3.634134982, 3.639834070
3.639834252, 3.645511488
3.645511669, 3.651152299
3.651152482, 3.656765362
3.656765541, 3.662481700
3.662481882, 3.668147100
3.668147280, 3.673776425
3.673776608, 3.679461162
3.679461347, 3.685083512
3.685083691, 3.690798087
3.690798266, 3.696455122
3.696455307, 3.702104974
3.702105164, 3.707768263
3.707768444, 3.713434437
3.713434624, 3.719099783
3.719099969, 3.724771209
3.724771385, 3.730427322
3.730427501, 3.736090511
3.736090685, 3.741779347
3.741779521, 3.747384185
3.747384368, 3.753095522
3.753095704, 3.758765464
3.758765646, 3.764438363
3.764438542, 3.770076073
3.770076259, 3.775785354
3.775785543, 3.781447600
3.781447782, 3.787097577
3.787097761, 3.792801252
3.792801434, 3.798412656
3.798412832, 3.804080082
3.804080263, 3.809742280
3.809742461, 3.815387156
3.815387343, 3.821056549
3.821056735, 3.826695960
3.826696147, 3.832364412
3.832364592, 3.838009246
3.838009423, 3.843632669
3.843632849, 3.849324566
3.849324741, 3.855009299
3.855009480, 3.860658193
3.860658371, 3.866301925
3.866302107, 3.871980589
3.871980768, 3.877653102
3.877653280, 3.883294675
3.883294866, 3.888959920
3.888960108, 3.894633483
3.894633669, 3.900277276
3.900277460, 3.905951699
3.905951887, 3.911522865
3.911523052, 3.917276167
3.917276350, 3.922935278
3.922935463, 3.928575038
3.928575214, 3.934219832
3.934220008, 3.939890198
3.939890375, 3.945576950
