------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.100 sec; SentMessages=1011; ReceivedMessages=1010
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.990 sec; SentMessages=1000; ReceivedMessages=1000
sockperf: [2;35m====> avg-lat= 55.307 (std-dev=12.744)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 1000 observations[0m; each percentile contains 10.00 observations
sockperf: ---> <MAX> observation =  110.168
sockperf: ---> percentile 99.999 =  110.168
sockperf: ---> percentile 99.990 =  110.168
sockperf: ---> percentile 99.900 =   94.584
sockperf: ---> percentile 99.000 =   86.592
sockperf: ---> percentile 90.000 =   73.467
sockperf: ---> percentile 75.000 =   62.978
sockperf: ---> percentile 50.000 =   53.068
sockperf: ---> percentile 25.000 =   47.978
sockperf: ---> <MIN> observation =   31.838
------------------------------
txTime, rxTime
2.061693386, 2.061850588
2.071693397, 2.071829062
2.081693395, 2.081806628
2.091693387, 2.091772484
2.101693392, 2.101821260
2.111693397, 2.111784054
2.121693380, 2.121797714
2.131693392, 2.131796640
2.141693397, 2.141812566
2.151693396, 2.151806419
2.161693391, 2.161798277
2.171693432, 2.171827239
2.181693392, 2.181834689
2.191693396, 2.191790025
2.201693389, 2.201798035
2.211693391, 2.211817366
2.221693397, 2.221796675
2.231693404, 2.231775988
2.241693399, 2.241796565
2.251693391, 2.251836568
2.261693378, 2.261827977
2.271693395, 2.271780531
2.281693371, 2.281796294
2.291693379, 2.291833499
2.301693387, 2.301787091
2.311693396, 2.311802680
2.321693397, 2.321809567
2.331693395, 2.331797561
2.341693396, 2.341797856
2.351693393, 2.351816531
2.361693396, 2.361805880
2.371693382, 2.371833239
2.381693394, 2.381798886
2.391693394, 2.391799620
2.401693388, 2.401769775
2.411693397, 2.411839736
2.421693372, 2.421798642
2.431693377, 2.431865635
2.441693389, 2.441798970
2.451693394, 2.451807727
2.461693397, 2.461797147
2.471693389, 2.471828656
2.481693397, 2.481807356
2.491693382, 2.491799425
2.501693393, 2.501799890
2.511693387, 2.511797116
2.521693393, 2.521806189
2.531693393, 2.531798276
2.541693402, 2.541831494
2.551693377, 2.551796321
2.561693377, 2.561849261
2.571693392, 2.571771634
2.581693396, 2.581857771
2.591693390, 2.591799717
2.601693394, 2.601800533
2.611693389, 2.611797701
2.621693394, 2.621776369
2.631693396, 2.631803200
2.641693389, 2.641858412
2.651693392, 2.651833170
2.661693394, 2.661858523
2.671693410, 2.671861633
2.681693378, 2.681800515
2.691693377, 2.691812210
2.701693377, 2.701810899
2.711693388, 2.711764563
2.721693412, 2.721770941
2.731693400, 2.731805369
2.741693399, 2.741832045
2.751693401, 2.751830680
2.761693371, 2.761823446
2.771693375, 2.771860314
2.781693390, 2.781795848
2.791693382, 2.791797291
2.801693390, 2.801803949
2.811693390, 2.811806118
2.821693382, 2.821849503
2.831693394, 2.831795177
2.841693395, 2.841799174
2.851693398, 2.851760238
