------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.100 sec; SentMessages=1011; ReceivedMessages=1010
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.990 sec; SentMessages=1000; ReceivedMessages=1000
sockperf: [2;35m====> avg-lat=103.413 (std-dev=30.078)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 1000 observations[0m; each percentile contains 10.00 observations
sockperf: ---> <MAX> observation =  207.816
sockperf: ---> percentile 99.999 =  207.816
sockperf: ---> percentile 99.990 =  207.816
sockperf: ---> percentile 99.900 =  205.453
sockperf: ---> percentile 99.000 =  172.713
sockperf: ---> percentile 90.000 =  142.842
sockperf: ---> percentile 75.000 =  123.230
sockperf: ---> percentile 50.000 =  102.111
sockperf: ---> percentile 25.000 =   82.895
sockperf: ---> <MIN> observation =   18.587
------------------------------
txTime, rxTime
2.061816437, 2.062016547
2.071816428, 2.072058583
2.081820111, 2.082099489
2.091816436, 2.091958548
2.101816433, 2.101991190
2.111816424, 2.111966913
2.121816441, 2.121885688
2.131816437, 2.132010690
2.141816587, 2.142068302
2.151816437, 2.152050095
2.161816433, 2.161959430
2.171816435, 2.171991165
2.181816435, 2.182103897
2.191816432, 2.192135578
2.201816435, 2.202139946
2.211816433, 2.212068233
2.221816422, 2.222154185
2.231816433, 2.232080376
2.241816438, 2.242061162
2.251816437, 2.252043512
2.261816432, 2.262120465
2.271816435, 2.272025610
2.281816437, 2.281951453
2.291816435, 2.292058825
2.301816437, 2.302063536
2.311816438, 2.312027338
2.321816441, 2.322145745
2.331816432, 2.332006990
2.341816436, 2.342075153
2.351817487, 2.352150099
2.361816432, 2.362082360
2.371816430, 2.372015257
2.381816436, 2.382099590
2.391816436, 2.392034363
2.401816437, 2.402145601
2.411816433, 2.411997875
2.421816438, 2.421968236
2.431816437, 2.432135610
2.441816936, 2.442086448
2.451816436, 2.451894435
2.461819443, 2.462083893
2.471822449, 2.472141409
2.481830248, 2.482169612
2.491816440, 2.492100052
2.501816435, 2.501965427
2.511816493, 2.512132708
2.521816436, 2.522007213
2.531816431, 2.532002321
2.541816435, 2.542036906
2.551816432, 2.551935680
2.561816435, 2.562064737
2.571816431, 2.571944143
2.581816432, 2.582054493
2.591816433, 2.592080482
2.601816437, 2.602048827
2.611816436, 2.611915654
2.621816430, 2.622049546
2.631816436, 2.631995043
2.641816433, 2.642130811
2.651816432, 2.652101021
2.661816435, 2.662006824
2.671816430, 2.672019836
2.681816437, 2.682155308
2.691816413, 2.692010838
2.701816457, 2.702022232
2.711816430, 2.712080928
2.721816433, 2.722050408
2.731816414, 2.732019614
2.741816419, 2.741947386
2.751816418, 2.751963176
2.761816418, 2.762036176
2.771816417, 2.772040338
2.781816436, 2.782024146
2.791816417, 2.792007931
2.801816417, 2.801984619
2.811816419, 2.811989797
2.821816430, 2.822028848
2.831816413, 2.831994584
2.841816414, 2.842057320
2.851816433, 2.851944689
2.861816417, 2.861929930
2.871816419, 2.871917242
2.881816414, 2.882070760
2.891816419, 2.892158685
2.901816414, 2.901941391
2.911816432, 2.912075666
2.921816417, 2.922141671
2.931816418, 2.932078675
2.941816416, 2.941984385
2.951816417, 2.951943382
2.961816417, 2.962021088
2.971816416, 2.972022714
2.981816416, 2.981984017
2.991816422, 2.992011566
3.001816432, 3.001976947
3.011816428, 3.011965746
3.021816435, 3.022154323
3.031816436, 3.032078232
3.041816419, 3.041998665
3.051816421, 3.052090785
3.061816430, 3.062068645
3.071816441, 3.072032095
