------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.100 sec; SentMessages=1011; ReceivedMessages=1010
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.990 sec; SentMessages=1000; ReceivedMessages=1000
sockperf: [2;35m====> avg-lat= 50.804 (std-dev=14.086)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 1000 observations[0m; each percentile contains 10.00 observations
sockperf: ---> <MAX> observation =  100.962
sockperf: ---> percentile 99.999 =  100.962
sockperf: ---> percentile 99.990 =  100.962
sockperf: ---> percentile 99.900 =   98.163
sockperf: ---> percentile 99.000 =   87.541
sockperf: ---> percentile 90.000 =   71.410
sockperf: ---> percentile 75.000 =   59.290
sockperf: ---> percentile 50.000 =   48.785
sockperf: ---> percentile 25.000 =   39.052
sockperf: ---> <MIN> observation =   25.595
------------------------------
txTime, rxTime
2.062005134, 2.062067461
2.072005120, 2.072089613
2.082005132, 2.082090756
2.092005130, 2.092067278
2.102005136, 2.102083712
2.112005141, 2.112106046
2.122005120, 2.122073100
2.132005140, 2.132096953
2.142005118, 2.142081300
2.152005121, 2.152084009
2.162005118, 2.162080092
2.172005127, 2.172107836
2.182005117, 2.182067984
2.192005139, 2.192066249
2.202005117, 2.202113806
2.212005117, 2.212070717
2.222005118, 2.222067346
2.232005138, 2.232064942
2.242005120, 2.242144182
2.252005121, 2.252090936
2.262005126, 2.262075309
2.272005129, 2.272110325
2.282005126, 2.282096718
2.292005121, 2.292077529
2.302005121, 2.302065931
2.312005118, 2.312094811
2.322005121, 2.322100291
2.332005137, 2.332066773
2.342005138, 2.342076060
2.352005116, 2.352100582
2.362005135, 2.362085387
2.372005138, 2.372081617
2.382005124, 2.382082735
2.392005121, 2.392085349
2.402005119, 2.402067627
2.412005119, 2.412066640
2.422005121, 2.422068039
2.432005118, 2.432086040
2.442005123, 2.442088039
2.452005125, 2.452082281
2.462005138, 2.462068532
2.472005112, 2.472088351
2.482005129, 2.482128503
2.492005140, 2.492115940
2.502005138, 2.502114019
2.512005134, 2.512087146
2.522005131, 2.522122657
2.532016194, 2.532185543
2.542005130, 2.542136093
2.552005120, 2.552080390
