------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.100 sec; SentMessages=1011; ReceivedMessages=1010
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.990 sec; SentMessages=1000; ReceivedMessages=1000
sockperf: [2;35m====> avg-lat= 55.048 (std-dev=12.175)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 1000 observations[0m; each percentile contains 10.00 observations
sockperf: ---> <MAX> observation =   97.554
sockperf: ---> percentile 99.999 =   97.554
sockperf: ---> percentile 99.990 =   97.554
sockperf: ---> percentile 99.900 =   96.075
sockperf: ---> percentile 99.000 =   85.091
sockperf: ---> percentile 90.000 =   71.644
sockperf: ---> percentile 75.000 =   62.631
sockperf: ---> percentile 50.000 =   52.552
sockperf: ---> percentile 25.000 =   48.551
sockperf: ---> <MIN> observation =   29.999
------------------------------
txTime, rxTime
2.061793172, 2.061913031
2.071793173, 2.071870172
2.081793193, 2.081948322
2.091793190, 2.091872406
2.101793188, 2.101921918
2.111793183, 2.111956629
2.121793175, 2.121953256
2.131793189, 2.131951968
2.141793187, 2.141933270
2.151793172, 2.151893008
2.161793175, 2.161935747
2.171793172, 2.171903881
2.181793190, 2.181902735
2.191793179, 2.191892740
2.201793178, 2.201898956
2.211793187, 2.211898553
2.221793171, 2.221898400
2.231793175, 2.231881743
2.241793176, 2.241915863
2.251793190, 2.251975956
2.261793184, 2.261930676
2.271793173, 2.271916896
2.281793173, 2.281902385
2.291793173, 2.291894834
2.301793173, 2.301888729
2.311793170, 2.311887132
2.321793173, 2.321897655
2.331793177, 2.331859749
2.341793179, 2.341939666
2.351793187, 2.351921638
2.361793193, 2.361917673
2.371793198, 2.371915831
2.381793188, 2.381933568
2.391793191, 2.391957982
2.401793186, 2.401896313
2.411793185, 2.411918574
2.421793192, 2.421897494
2.431796399, 2.431875188
2.441793504, 2.441982616
2.451793183, 2.451925521
2.461793191, 2.461915895
2.471793185, 2.471879064
2.481793177, 2.481905919
2.491793178, 2.491893993
2.501793177, 2.501893966
2.511793172, 2.511907809
2.521793173, 2.521924428
2.531793184, 2.531902413
2.541793175, 2.541898999
2.551793179, 2.551897839
2.561793192, 2.561893992
2.571793172, 2.571878513
2.581793170, 2.581920066
2.591793177, 2.591886321
2.601793175, 2.601872782
2.611793178, 2.611898439
2.621793175, 2.621925442
2.631793167, 2.631891200
2.641793176, 2.641906079
2.651793173, 2.651905864
2.661793173, 2.661899649
2.671793176, 2.671897562
2.681793170, 2.681895707
2.691793171, 2.691897806
2.701793170, 2.701919491
