------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.100 sec; SentMessages=1011; ReceivedMessages=1010
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.980 sec; SentMessages=999; ReceivedMessages=999
sockperf: [2;35m====> avg-lat= 71.512 (std-dev=19.965)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 999 observations[0m; each percentile contains 9.99 observations
sockperf: ---> <MAX> observation =  136.880
sockperf: ---> percentile 99.999 =  136.880
sockperf: ---> percentile 99.990 =  136.880
sockperf: ---> percentile 99.900 =  136.167
sockperf: ---> percentile 99.000 =  121.496
sockperf: ---> percentile 90.000 =   98.275
sockperf: ---> percentile 75.000 =   84.909
sockperf: ---> percentile 50.000 =   69.994
sockperf: ---> percentile 25.000 =   56.016
sockperf: ---> <MIN> observation =   31.308
------------------------------
txTime, rxTime
2.071453097, 2.071658093
2.081453096, 2.081688211
2.091453096, 2.091650139
2.101453095, 2.101552302
2.111453099, 2.111627532
2.121453115, 2.121523271
2.131453095, 2.131580144
2.141453097, 2.141635360
2.151453097, 2.151566699
2.161453078, 2.161645186
2.171453096, 2.171603676
2.181453092, 2.181633328
2.191453096, 2.191563251
2.201453095, 2.201664426
2.211453100, 2.211645654
2.221453088, 2.221669562
2.231453096, 2.231556930
2.241453080, 2.241589349
2.251453096, 2.251641744
2.261453095, 2.261629615
2.271453094, 2.271576284
2.281453100, 2.281649651
2.291453094, 2.291591102
2.301453094, 2.301633389
2.311453091, 2.311606270
2.321453094, 2.321558323
2.331453091, 2.331584866
2.341453092, 2.341566798
2.351453096, 2.351585760
2.361453082, 2.361628680
2.371453095, 2.371524646
2.381453091, 2.381592956
2.391453087, 2.391606910
2.401453082, 2.401616224
2.411453078, 2.411563888
2.421453091, 2.421526501
2.431453091, 2.431660783
2.441453091, 2.441575856
2.451453101, 2.451522462
2.461453096, 2.461595401
