------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.100 sec; SentMessages=1011; ReceivedMessages=1010
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.990 sec; SentMessages=1000; ReceivedMessages=1000
sockperf: [2;35m====> avg-lat=103.352 (std-dev=26.034)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 1000 observations[0m; each percentile contains 10.00 observations
sockperf: ---> <MAX> observation =  178.440
sockperf: ---> percentile 99.999 =  178.440
sockperf: ---> percentile 99.990 =  178.440
sockperf: ---> percentile 99.900 =  177.852
sockperf: ---> percentile 99.000 =  162.066
sockperf: ---> percentile 90.000 =  137.717
sockperf: ---> percentile 75.000 =  120.575
sockperf: ---> percentile 50.000 =  102.833
sockperf: ---> percentile 25.000 =   86.136
sockperf: ---> <MIN> observation =   34.378
------------------------------
txTime, rxTime
2.061924698, 2.062073595
2.071924721, 2.072209195
2.081924712, 2.082153868
2.091924713, 2.092056036
2.101924707, 2.102092387
2.111924704, 2.112186093
2.121924700, 2.122085232
2.131924714, 2.132150405
2.141924716, 2.142102688
2.151924705, 2.152028082
2.161924706, 2.162128755
2.171924709, 2.172074995
2.181924709, 2.182161347
2.191924710, 2.192114366
2.201924713, 2.202107889
2.211924711, 2.212115671
2.221924709, 2.222083428
2.231924712, 2.232021231
2.241924709, 2.242053662
2.251924711, 2.252136754
2.261924718, 2.262230390
2.271924706, 2.272056705
2.281924710, 2.282077114
2.291924696, 2.292049547
2.301928791, 2.302054418
2.311924691, 2.312101817
2.321924697, 2.322120086
2.331924711, 2.332199776
2.341924695, 2.342070625
2.351924713, 2.352087086
2.361924718, 2.362147323
2.371924694, 2.372148723
2.381924718, 2.382174371
2.391924715, 2.392047623
2.401924720, 2.402100999
2.411924712, 2.412099821
2.421924716, 2.422113990
2.431924720, 2.432088662
2.441924712, 2.442064048
2.451924701, 2.452085349
2.461924699, 2.462155533
2.471924701, 2.472095943
2.481924696, 2.482025692
2.491924715, 2.492003323
2.501924719, 2.502118151
2.511924715, 2.512143891
2.521924714, 2.522113908
2.531924719, 2.532200554
2.541924714, 2.542148625
2.551924720, 2.552101276
2.561924717, 2.562078298
2.571924709, 2.572217854
2.581924714, 2.582158518
2.591927982, 2.592248583
2.601924715, 2.602112149
