------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.100 sec; SentMessages=1011; ReceivedMessages=1010
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.991 sec; SentMessages=1000; ReceivedMessages=1000
sockperf: [2;35m====> avg-lat=341.296 (std-dev=74.063)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 1000 observations[0m; each percentile contains 10.00 observations
sockperf: ---> <MAX> observation =  514.823
sockperf: ---> percentile 99.999 =  514.823
sockperf: ---> percentile 99.990 =  514.823
sockperf: ---> percentile 99.900 =  514.636
sockperf: ---> percentile 99.000 =  489.537
sockperf: ---> percentile 90.000 =  433.825
sockperf: ---> percentile 75.000 =  395.695
sockperf: ---> percentile 50.000 =  344.558
sockperf: ---> percentile 25.000 =  294.515
sockperf: ---> <MIN> observation =   99.177
------------------------------
txTime, rxTime
2.062218645, 2.062542036
2.072218660, 2.072884636
2.082218657, 2.083009247
2.092218643, 2.092816339
2.102218662, 2.102882064
2.112218660, 2.112755794
2.122218662, 2.122440496
2.132218657, 2.133111304
2.142218647, 2.142748956
2.152218662, 2.153039907
2.162218647, 2.162966858
2.172218650, 2.172772391
2.182218661, 2.182777993
2.192218660, 2.193074569
2.202218645, 2.202965232
2.212224093, 2.212984839
2.222218660, 2.222817371
2.232218655, 2.232834512
2.242218643, 2.242860571
2.252218641, 2.252892774
2.262218655, 2.262939993
2.272218655, 2.272722716
2.282218663, 2.282721504
2.292218643, 2.292738328
2.302218655, 2.303005978
2.312218667, 2.313050193
2.322218662, 2.322858778
2.332218656, 2.332764353
2.342218657, 2.342868114
2.352218641, 2.352856528
2.362218646, 2.363184139
2.372218663, 2.372649699
2.382218646, 2.382869028
2.392218660, 2.393110726
2.402218647, 2.402823486
2.412218647, 2.412823829
2.422218643, 2.423013309
2.432218657, 2.432860549
2.442218648, 2.443213985
2.452218660, 2.452695001
2.462218657, 2.462744804
2.472218662, 2.472808669
2.482218643, 2.483084430
2.492218650, 2.492697371
2.502218662, 2.503117677
2.512218641, 2.512899013
2.522218661, 2.523038838
2.532218663, 2.532892764
2.542218646, 2.543057954
2.552218656, 2.552935150
2.562218660, 2.562709936
2.572218652, 2.572763668
2.582218657, 2.582558727
2.592218656, 2.593009969
2.602219340, 2.603109028
2.612218648, 2.612861811
2.622218645, 2.622994727
2.632218830, 2.632739677
2.642218660, 2.642868521
2.652218647, 2.652778341
2.662218660, 2.663016950
2.672218663, 2.672899343
2.682218640, 2.683012454
2.692218647, 2.692916067
2.702218657, 2.702831217
2.712218663, 2.712890220
2.722218665, 2.723058064
2.732218660, 2.732789112
2.742218662, 2.742962999
2.752218641, 2.752967353
2.762218657, 2.762609531
2.772218643, 2.772719775
2.782218660, 2.783119556
2.792218645, 2.792788579
2.802218657, 2.802761430
2.812218660, 2.812589959
2.822218645, 2.823008521
2.832218647, 2.833172908
2.842218656, 2.842901341
2.852218670, 2.853014872
2.862218641, 2.863041354
2.872218647, 2.872627753
2.882218660, 2.883025472
2.892218666, 2.892906297
2.902218662, 2.902863476
2.912218662, 2.912883984
2.922218662, 2.922744449
2.932218660, 2.932568964
2.942218650, 2.943086950
2.952218662, 2.953099857
2.962218660, 2.962725258
2.972218657, 2.972820212
2.982218660, 2.982713076
2.992218663, 2.992928086
3.002218652, 3.003175502
3.012218650, 3.012811338
3.022218641, 3.022833253
3.032218656, 3.032948021
3.042218656, 3.043150627
3.052218648, 3.053045592
3.062218646, 3.063075370
3.072218655, 3.072788066
3.082218661, 3.082850237
3.092218648, 3.092789907
3.102218642, 3.102752588
3.112218648, 3.112792586
3.122218657, 3.123051675
3.132218650, 3.132904458
3.142218645, 3.143125246
3.152218641, 3.152856315
3.162218647, 3.163041962
3.172218647, 3.172982442
3.182218656, 3.182836407
3.192218655, 3.192902780
3.202218657, 3.203013839
3.212218650, 3.212719931
3.222218663, 3.222910959
3.232218643, 3.232989133
3.242218643, 3.242814735
3.252218643, 3.252671428
3.262218646, 3.262995801
3.272218643, 3.273018950
3.282218902, 3.282767047
3.292218642, 3.292892774
3.302218646, 3.303014476
3.312218660, 3.312782616
3.322218643, 3.322954321
3.332218657, 3.332815628
3.342218650, 3.342722178
3.352218648, 3.352992260
3.362218653, 3.362791125
3.372218658, 3.372629888
3.382218642, 3.382892853
3.392218642, 3.392786081
3.402218660, 3.402822056
3.412218660, 3.412791586
3.422218667, 3.422906638
3.432218650, 3.433058909
3.442218657, 3.442862059
3.452218661, 3.452541209
3.462218655, 3.462999035
3.472222225, 3.472894883
3.482218663, 3.482845803
3.492218663, 3.492917247
3.502218660, 3.503090362
3.512218643, 3.512888484
3.522218660, 3.522517375
3.532218665, 3.532955331
3.542218647, 3.542859075
3.552218647, 3.552901457
3.562218658, 3.563132656
3.572218643, 3.572907760
3.582218642, 3.582618321
3.592218661, 3.592908190
3.602218657, 3.602795756
3.612218647, 3.612964688
3.622218662, 3.623055732
3.632218645, 3.633247061
3.642218663, 3.642553173
3.652218646, 3.652995335
3.662218651, 3.662938493
3.672218661, 3.672794818
3.682218648, 3.682927540
3.692218650, 3.692789711
3.702218642, 3.703076388
3.712218657, 3.712966994
3.722218645, 3.722752010
3.732218642, 3.733068646
3.742218645, 3.742671543
3.752218667, 3.753173577
3.762218656, 3.762871104
3.772218660, 3.772857565
3.782218650, 3.783155318
3.792218642, 3.792799751
3.802218647, 3.802947969
3.812218662, 3.812793992
3.822218643, 3.823212001
3.832218650, 3.832967412
3.842218663, 3.843080095
3.852218642, 3.852672757
3.862218647, 3.862869504
3.872218661, 3.872852233
3.882218661, 3.882898727
3.892218646, 3.892637988
3.902218660, 3.903042286
3.912218662, 3.912882028
3.922218663, 3.922891299
3.932218663, 3.932632501
3.942218662, 3.943007950
3.952218660, 3.952837154
3.962218663, 3.962898199
3.972218646, 3.973058901
3.982218641, 3.983160949
3.992218645, 3.992612320
4.002218658, 4.002954143
4.012218643, 4.012836476
4.022218662, 4.022993234
4.032218663, 4.032625951
4.042218658, 4.043014102
4.052218641, 4.052796908
4.062218645, 4.062836424
4.072218660, 4.072701927
4.082218658, 4.082841141
4.092218648, 4.092830986
4.102218658, 4.103058528
4.112218646, 4.113130136
4.122218648, 4.122824662
4.132218656, 4.133108601
4.142244908, 4.142880571
4.152218641, 4.152764498
4.162218660, 4.162986275
4.172229380, 4.172982058
4.182218655, 4.183102087
4.192218641, 4.193064297
4.202218641, 4.203002534
4.212218643, 4.212807413
4.222218641, 4.222802797
4.232218645, 4.232996928
4.242218646, 4.242742026
4.252218645, 4.252978187
4.262218645, 4.262585145
4.272218647, 4.273090266
4.282218642, 4.282849195
4.292218647, 4.293132829
4.302218645, 4.302727080
4.312218643, 4.312842487
4.322218640, 4.322478193
4.332218645, 4.332947964
4.342218645, 4.342915838
4.352218641, 4.353205083
4.362218645, 4.363018823
4.372218641, 4.372906864
4.382218643, 4.382776950
4.392218642, 4.392988274
4.402218647, 4.402821237
4.412218637, 4.412973422
4.422218643, 4.422909941
4.432218643, 4.432807830
4.442218640, 4.442806981
4.452218637, 4.452747022
4.462218642, 4.462966224
4.472218650, 4.472903782
4.482218656, 4.483112167
4.492218648, 4.493038848
4.502218647, 4.502872456
4.512218645, 4.512993192
4.522218650, 4.522928459
4.532218666, 4.532733150
4.542218663, 4.542854526
4.552218645, 4.552911867
4.562218648, 4.563029917
4.572218645, 4.572921463
4.582218661, 4.582704798
4.592218647, 4.593064033
4.602218640, 4.602705662
4.612218645, 4.612650578
4.622218643, 4.622902307
4.632218658, 4.632805590
4.642218648, 4.642900486
4.652218646, 4.652877177
4.662218652, 4.663171224
4.672218643, 4.672931414
4.682218638, 4.682442099
4.692220603, 4.693036507
4.702218655, 4.702858013
4.712218645, 4.712827255
4.722218641, 4.722817388
4.732218648, 4.732831035
4.742218650, 4.742915412
4.752218645, 4.752995788
4.762218645, 4.763112722
4.772218643, 4.773187181
4.782218640, 4.782613931
4.792218658, 4.792911680
4.802218655, 4.803034258
4.812218643, 4.812927822
4.822218650, 4.822955170
4.832218645, 4.832764954
4.842218645, 4.842900638
4.852218642, 4.852796917
