------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.100 sec; SentMessages=1011; ReceivedMessages=1010
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.991 sec; SentMessages=1000; ReceivedMessages=1000
sockperf: [2;35m====> avg-lat=339.954 (std-dev=68.042)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 1000 observations[0m; each percentile contains 10.00 observations
sockperf: ---> <MAX> observation =  511.133
sockperf: ---> percentile 99.999 =  511.133
sockperf: ---> percentile 99.990 =  511.133
sockperf: ---> percentile 99.900 =  504.822
sockperf: ---> percentile 99.000 =  479.810
sockperf: ---> percentile 90.000 =  422.061
sockperf: ---> percentile 75.000 =  385.288
sockperf: ---> percentile 50.000 =  348.187
sockperf: ---> percentile 25.000 =  298.995
sockperf: ---> <MIN> observation =  117.844
------------------------------
txTime, rxTime
2.062367416, 2.062958137
2.072367411, 2.072887790
2.082367407, 2.082904131
2.092367415, 2.093136578
2.102367422, 2.103137890
2.112367425, 2.112771468
2.122367415, 2.122904928
2.132367426, 2.132953537
2.142368006, 2.142766784
2.152367411, 2.153353728
2.162367425, 2.162992966
2.172367428, 2.173214307
2.182367427, 2.183101159
2.192367422, 2.193085027
2.202367428, 2.202876466
2.212367413, 2.212977534
2.222367415, 2.223102798
2.232367425, 2.233056191
2.242376822, 2.243154650
2.252367413, 2.252871611
2.262367421, 2.263086243
2.272367406, 2.273038990
2.282367413, 2.283263783
2.292367422, 2.293014917
2.302367435, 2.303025262
2.312367430, 2.313137603
2.322367418, 2.322975206
2.332367416, 2.332921169
2.342367427, 2.342994763
2.352367425, 2.352973252
2.362367431, 2.362955954
2.372367422, 2.373102853
2.382367411, 2.383002600
2.392367415, 2.392991574
2.402367423, 2.403120271
2.412367422, 2.412983770
2.422367427, 2.423120331
2.432367426, 2.432982075
2.442367415, 2.442964351
2.452367416, 2.453091820
2.462367417, 2.463052955
2.472367412, 2.473150495
2.482367410, 2.482909264
2.492367413, 2.492967936
2.502367412, 2.503117467
2.512367423, 2.513079702
2.522367426, 2.523280110
2.532367416, 2.533016751
2.542367408, 2.542950633
2.552367415, 2.553054353
2.562367425, 2.563157610
2.572367427, 2.573113594
2.582367413, 2.582994769
2.592367415, 2.592959905
