------------------------------
test was performed using the following parameters: --mps=600000 --burst=1 --reply-every=1 --msg-size=14 --time=30
------------------------------
sockperf: [Total Run] RunTime=30.100 sec; SentMessages=10700; ReceivedMessages=10699
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=30.099 sec; SentMessages=10699; ReceivedMessages=10699
sockperf: [2;35m====> avg-lat=1406.240 (std-dev=607.958)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 10699 observations[0m; each percentile contains 106.99 observations
sockperf: ---> <MAX> observation = 4177.070
sockperf: ---> percentile 99.999 = 4177.070
sockperf: ---> percentile 99.990 = 4171.480
sockperf: ---> percentile 99.900 = 4125.410
sockperf: ---> percentile 99.000 = 3020.120
sockperf: ---> percentile 90.000 = 2811.420
sockperf: ---> percentile 75.000 = 1306.910
sockperf: ---> percentile 50.000 = 1271.230
sockperf: ---> percentile 25.000 = 1227.660
sockperf: ---> <MIN> observation =  728.030
------------------------------
txTime, rxTime
301794.960711691, 301794.968962511
301794.968964351, 301794.977261191
301794.977262371, 301794.985383332
301794.985384712, 301794.993214432
301794.993215552, 301795.001190692
301795.001191712, 301795.008824393
301795.008825353, 301795.016712333
301795.016713233, 301795.024323953
301795.024324793, 301795.032420554
301795.032421854, 301795.040193894
301795.040194714, 301795.048029694
301795.048030854, 301795.056260715
301795.056261835, 301795.064435835
301795.064437015, 301795.072450815
301795.072451735, 301795.080713336
301795.080714436, 301795.089053496
301795.089054336, 301795.097055556
301795.097056656, 301795.105321937
301795.105322597, 301795.111907037
301795.111909657, 301795.120218178
301795.120219318, 301795.128411218
301795.128412918, 301795.136614378
301795.136615558, 301795.144412859
301795.144414579, 301795.152603019
301795.152604219, 301795.160700379
301795.160702119, 301795.169045079
301795.169046159, 301795.177045180
301795.177046340, 301795.184993600
301795.184995240, 301795.193225501
301795.193227301, 301795.201311741
301795.201313941, 301795.208934561
301795.208935901, 301795.216462362
301795.216463662, 301795.224788242
301795.224790402, 301795.233144542
301795.233146442, 301795.241315543
301795.241316703, 301795.249278843
301795.249279883, 301795.257167183
301795.257168763, 301795.265493844
301795.265495044, 301795.273556184
301795.273557424, 301795.281367284
301795.281368704, 301795.289631185
301795.289632445, 301795.297734425
301795.297736085, 301795.305933705
301795.305934845, 301795.313807206
301795.313808766, 301795.322066086
301795.322067226, 301795.329765586
301795.329766946, 301795.335845607
301795.335846427, 301795.341852127
301795.341853127, 301795.347722887
301795.347723807, 301795.353300987
301795.353302387, 301795.359127448
301795.359128128, 301795.364934888
301795.364935608, 301795.370909588
