------------------------------
test was performed using the following parameters: --mps=600000 --burst=1 --reply-every=1 --msg-size=14 --time=30
------------------------------
sockperf: [Total Run] RunTime=30.100 sec; SentMessages=8234; ReceivedMessages=8233
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=30.098 sec; SentMessages=8233; ReceivedMessages=8233
sockperf: [2;35m====> avg-lat=1827.287 (std-dev=67.591)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 8233 observations[0m; each percentile contains 82.33 observations
sockperf: ---> <MAX> observation = 2484.419
sockperf: ---> percentile 99.999 = 2484.419
sockperf: ---> percentile 99.990 = 2185.369
sockperf: ---> percentile 99.900 = 2094.300
sockperf: ---> percentile 99.000 = 1972.449
sockperf: ---> percentile 90.000 = 1906.000
sockperf: ---> percentile 75.000 = 1871.509
sockperf: ---> percentile 50.000 = 1832.270
sockperf: ---> percentile 25.000 = 1787.639
sockperf: ---> <MIN> observation = 1481.839
------------------------------
txTime, rxTime
302250.893716125, 302250.897582565
302250.897583605, 302250.901193885
302250.901194725, 302250.904719624
302250.904720944, 302250.908482964
302250.908484004, 302250.912202444
302250.912203344, 302250.915831464
302250.915832204, 302250.919525183
302250.919526003, 302250.923218363
302250.923219023, 302250.926904483
302250.926905183, 302250.930546382
302250.930547062, 302250.934094262
302250.934094942, 302250.937626982
302250.937627742, 302250.941282301
302250.941283001, 302250.944758821
302250.944759581, 302250.948581701
302250.948582701, 302250.951983660
302250.951984380, 302250.955563920
302250.955564580, 302250.959299500
302250.959300180, 302250.962947479
302250.962948219, 302250.966527199
302250.966527799, 302250.970182999
302250.970183919, 302250.974011019
302250.974011899, 302250.977580518
302250.977581278, 302250.981159538
302250.981160258, 302250.984926098
302250.984926858, 302250.988548977
302250.988549677, 302250.991950597
302250.991951317, 302250.995694457
302250.995695237, 302250.999384476
302250.999385216, 302251.003011536
302251.003012136, 302251.006651516
302251.006652176, 302251.010327875
302251.010328555, 302251.013632775
302251.013633455, 302251.017432035
302251.017432815, 302251.021132634
302251.021133314, 302251.024628834
302251.024629574, 302251.028267534
302251.028268254, 302251.031909194
302251.031909914, 302251.035493133
302251.035493893, 302251.039366853
302251.039367993, 302251.043154953
302251.043155593, 302251.046746752
302251.046747532, 302251.050519832
302251.050520572, 302251.054041592
302251.054042292, 302251.057668451
302251.057669111, 302251.061351011
302251.061351631, 302251.064919351
302251.064920291, 302251.068732930
302251.068733530, 302251.072401110
302251.072401810, 302251.076026370
302251.076026990, 302251.079623869
302251.079624989, 302251.083167549
302251.083168289, 302251.086734969
302251.086735769, 302251.090451468
302251.090452368, 302251.094157528
302251.094158488, 302251.097839128
302251.097839808, 302251.101523987
302251.101525127, 302251.105278127
302251.105278947, 302251.108894847
302251.108896087, 302251.112856647
302251.112858407, 302251.116560626
302251.116561446, 302251.120367686
302251.120368886, 302251.124079826
302251.124080766, 302251.127749805
302251.127750825, 302251.131548425
302251.131549705, 302251.135424445
302251.135425705, 302251.139124164
302251.139125184, 302251.142950184
302251.142951104, 302251.146631424
302251.146632404, 302251.150648463
302251.150649743, 302251.154571003
302251.154571923, 302251.157990603
302251.157991543, 302251.161698442
302251.161699202, 302251.165176502
302251.165177282, 302251.168921722
302251.168922902, 302251.172584101
302251.172585101, 302251.176104201
302251.176105281, 302251.179977501
302251.179978521, 302251.183706160
302251.183707360, 302251.187263760
302251.187264440, 302251.190917180
302251.190918080, 302251.194493679
302251.194494799, 302251.198181459
302251.198182179, 302251.201865339
302251.201866159, 302251.205569519
302251.205570659, 302251.209232158
302251.209233158, 302251.212844998
302251.212845638, 302251.216565318
302251.216566558, 302251.220260377
302251.220261137, 302251.223717197
302251.223718037, 302251.227333377
302251.227333917, 302251.230797396
302251.230797656, 302251.234387616
302251.234387816, 302251.238031756
302251.238032316, 302251.241795575
302251.241796315, 302251.245396335
302251.245397575, 302251.249057575
302251.249058735, 302251.252509914
302251.252510874, 302251.256219514
302251.256220554, 302251.260105534
302251.260106754, 302251.263823653
302251.263824533, 302251.267530173
302251.267531113, 302251.271243333
302251.271244293, 302251.274939352
302251.274965272, 302251.278686592
302251.278687572, 302251.282398752
302251.282399372, 302251.285970832
302251.285972152, 302251.289768631
302251.289769511, 302251.293388451
302251.293389251, 302251.296882831
302251.296883571, 302251.300588190
302251.300589510, 302251.304289510
302251.304290570, 302251.308051390
302251.308052270, 302251.312013449
302251.312014429, 302251.315966969
302251.315968029, 302251.319657289
302251.319658149, 302251.323372148
302251.323373108, 302251.327258048
302251.327259528, 302251.330998648
302251.330999668, 302251.334759947
302251.334761107, 302251.338445787
302251.338446587, 302251.342016487
302251.342017547, 302251.345719826
302251.345720566, 302251.349248966
302251.349249846, 302251.353170106
302251.353171426, 302251.356938665
302251.356946265, 302251.360736825
302251.360737605, 302251.364444625
302251.364445285, 302251.368099185
302251.368100205, 302251.371935264
302251.371936404, 302251.375664864
302251.375665524, 302251.379071884
302251.379072884, 302251.383075623
302251.383076463, 302251.386824323
302251.386825123, 302251.390582363
302251.390583243, 302251.394294682
302251.394295462, 302251.397895662
302251.397896742, 302251.401595102
302251.401595902, 302251.405396121
302251.405397261, 302251.409008861
302251.409009721, 302251.412789001
302251.412789841, 302251.416635060
302251.416636120, 302251.420448660
302251.420449740, 302251.424083180
302251.424083960, 302251.427615979
302251.427616819, 302251.431327179
302251.431328239, 302251.435136339
302251.435137319, 302251.438923098
302251.438923818, 302251.442508578
302251.442509878, 302251.446201898
302251.446203258, 302251.449681057
302251.449687737, 302251.453536457
302251.453537417, 302251.457284297
302251.457285057, 302251.460781716
302251.460782636, 302251.464556976
302251.464557676, 302251.468377416
302251.468378736, 302251.472157636
302251.472158656, 302251.475858015
302251.475858755, 302251.479653615
302251.479654755, 302251.483309115
302251.483310095, 302251.486984254
302251.486985094, 302251.490636074
302251.490636874, 302251.494134494
302251.494135534, 302251.497885073
302251.497885953, 302251.501638333
302251.501639333, 302251.505284113
302251.505285213, 302251.509094832
302251.509095712, 302251.512699492
302251.512700312, 302251.516557812
302251.516558552, 302251.520040791
302251.520041891, 302251.523974891
302251.523975151, 302251.527590411
302251.527590951, 302251.531280790
302251.531281090, 302251.534840850
302251.534841630, 302251.538605610
302251.538605950, 302251.542249329
302251.542249629, 302251.545671849
302251.545672209, 302251.549433689
302251.549434089, 302251.553245889
302251.553246269, 302251.556824508
302251.556824768, 302251.560733188
302251.560733728, 302251.564354948
302251.564355308, 302251.568044147
302251.568044427, 302251.571697327
302251.571697667, 302251.575288367
302251.575288747, 302251.578926066
302251.578926506, 302251.582609126
302251.582609526, 302251.586145906
302251.586146286, 302251.590034285
302251.590034765, 302251.593768665
302251.593769065, 302251.597593085
302251.597593365, 302251.601163644
302251.601163824, 302251.604935184
302251.604935544, 302251.608761904
302251.608762324, 302251.612444803
302251.612445043, 302251.615900923
302251.615901303, 302251.619498623
302251.619498903, 302251.623181803
302251.623182383, 302251.626766442
302251.626766922, 302251.630594662
302251.630594962, 302251.634177982
302251.634178562, 302251.637931761
302251.637931981, 302251.641693081
302251.641693561, 302251.645355701
302251.645355981, 302251.649090660
302251.649090960, 302251.652753160
302251.652753520, 302251.656418860
302251.656419180, 302251.659893179
302251.659893559, 302251.663682439
302251.663682879, 302251.667185039
302251.667185359, 302251.670952618
302251.670953038, 302251.674581138
302251.674581458, 302251.678315118
302251.678315378, 302251.681977477
302251.681977797, 302251.685607797
302251.685608097, 302251.689099137
302251.689099457, 302251.692705097
302251.692705437, 302251.696321716
302251.696322196, 302251.699794776
302251.699795056, 302251.703585116
302251.703585596, 302251.707379815
302251.707380075, 302251.711092275
302251.711092535, 302251.714671195
302251.714671655, 302251.718183694
302251.718183974, 302251.721845374
302251.721845674, 302251.725509514
302251.725509834, 302251.729136253
302251.729136573, 302251.732559633
302251.732560053, 302251.736435593
302251.736435833, 302251.739792652
302251.739793552, 302251.743414652
302251.743415532, 302251.747055472
302251.747056172, 302251.750597492
302251.750598492, 302251.754098411
302251.754099391, 302251.757711911
302251.757712711, 302251.761253611
302251.761254331, 302251.764862630
302251.764863930, 302251.768618250
302251.768619050, 302251.771903310
302251.771904130, 302251.775584309
302251.775585649, 302251.779298489
302251.779299389, 302251.782715909
302251.782716769, 302251.786417668
